year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
2000,double-crested cormorant,Aiktak,double-crested cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,2.3,0,13,4.130923, 8.900388,8.459841,3.523807,493.1500,598.1829, 1.66027612,-1.59571115,-0.6683454, 0.99447119, 0.2410867, 0.5040643, 0.3689127, 1.4399494,-1.22901900, 0.4771336061, 0.2727838,-0.6265371, 0.80707653, 0.13293124
2002,double-crested cormorant,Aiktak,double-crested cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.7,0,13,4.582302, 8.994253,7.535081,3.261954,469.2018,558.7662,-0.09270577,-0.12137171,-0.4970115,-0.22122798,-1.3268573,-0.8118577,-0.5378715,-0.2794307, 0.37075736,-0.9260659793,-0.3381863,-0.2845012,-0.40154318,-1.08489906
2004,double-crested cormorant,Aiktak,double-crested cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.0,1,13,4.783606, 9.361465,8.385156,3.515590,454.4270,588.2469,-0.85963535, 0.53614881, 0.1732709,-0.97125621,-0.1541524, 0.3977884, 0.3404578,-1.0147287, 1.09608234, 0.2239547611,-0.6255394, 0.5029922, 0.24160151, 0.33878479
2006,double-crested cormorant,Aiktak,double-crested cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.0,1,13,4.656504, 9.364144,9.157451,3.313405,479.7280,605.0722,-0.85963535, 0.12099344, 0.1781595, 0.31311870, 0.5151369, 1.4967548,-0.3596997,-0.9850672, 0.69109896, 1.2909480049, 0.9794566, 0.5716007,-0.62708990, 1.15991828
2007,double-crested cormorant,Aiktak,double-crested cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.0,1,13,4.503528, 9.614525,7.336463,3.159959,452.8660,586.3082,-0.85963535,-0.37867239, 0.6351869,-1.05049461,-0.2312710,-1.0944886,-0.8910739,-0.9573759, 0.14397266,-1.3046162387,-0.2055895, 1.0388569,-1.26034716, 0.46621993
2008,double-crested cormorant,Aiktak,double-crested cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.7,0,13,4.436579, 9.529804,7.756707,3.274195,453.9335,565.8547, 1.00290791,-0.59734619, 0.4805448,-0.99630527,-1.0448838,-0.4964868,-0.4954809, 0.9308885,-0.17979409,-0.6832832091,-0.1148869, 0.8409526,-0.89998641,-0.39381807
2009,double-crested cormorant,Aiktak,double-crested cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.0,1,13,4.558556, 8.530921,8.201194,3.915740,467.6694,569.8968,-0.85963535,-0.19893346,-1.3427440,-0.29901946,-0.8840975, 0.1360126, 1.7261554,-0.9079036, 0.05589324, 0.0001997761, 0.4768582,-1.0790895, 1.35306839,-0.37859164
2010,double-crested cormorant,Aiktak,double-crested cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,2.2,0,13,4.212393, 8.424273,8.900745,3.897657,452.1057,570.1554, 1.55071475,-1.32960517,-1.5374107,-1.08909098,-0.8738081, 1.1314652, 1.6635342, 1.5242274,-1.29513636, 1.0742881254,-0.5608079,-1.4240005, 1.38851646,-0.61299682
2011,double-crested cormorant,Aiktak,double-crested cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.8,0,13,4.639246, 8.984181,8.668620,3.460743,472.9202,603.2708, 1.11246928, 0.06462475,-0.5153966,-0.03247046, 0.4434782, 0.8011549, 0.1505251, 1.1057927,-0.17889679, 0.8502657491, 0.1061640,-0.6057218, 0.04022746, 0.36046019
2013,double-crested cormorant,Aiktak,double-crested cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.0,0,13,4.651128, 9.386455,7.885174,3.534126,473.9821,588.6134, 0.23597833, 0.10343476, 0.2188857, 0.02143339,-0.1395737,-0.3136805, 0.4046447, 0.2471424,-0.47570960,-0.1306294151,-0.3716347,-0.1286659, 0.52571796,-0.66555576
2014,double-crested cormorant,Aiktak,double-crested cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.5,0,13,5.186049,10.440952,6.678117,2.923945,506.1507,637.8870,-0.31182851, 1.85064704, 2.1436865, 1.65443354, 1.8204636,-2.0313071,-1.7083769,-0.2847939, 0.87824740,-1.6866636368, 0.5876090, 1.4854174,-1.28928197, 0.75238288
2017,double-crested cormorant,Aiktak,double-crested cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.0,1,13,5.092715, 9.667111,8.302789,3.226188,506.5836,633.2115,-0.85963535, 1.54579127, 0.7311739, 1.67640816, 1.6344782, 0.2805804,-0.6617271,-0.8187003, 0.12250388, 0.8144684564,-0.2062269,-0.2913037, 0.12204031,-0.07483597
