year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1995,fork-tailed storm-petrel,Aiktak,fork-tailed storm-petrel_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.8333333,0,22,3.156012,7.004114,11.07739,4.635780,492.9155,556.1450, 0.4475108,-0.37022124,-0.48733655, 1.7204899, 0.316509432,-1.0804352,-0.41213093,-0.2153436, 0.2354931,-1.750299320, 0.8548114, 0.172983104,-0.7025929, 0.002495771
1999,fork-tailed storm-petrel,Aiktak,fork-tailed storm-petrel_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.8181818,0,22,2.957396,6.354980,13.79974,5.351542,458.3420,540.5997, 0.2250737,-0.89020004,-1.74704396, 0.2800878,-0.263220276, 1.5552935, 1.27121010,-0.3025759,-0.2554505, 0.941036391,-0.2324395,-1.107321781, 1.0183458,-0.343521328
2000,fork-tailed storm-petrel,Aiktak,fork-tailed storm-petrel_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.7777778,0,22,2.600265,6.819080,13.58160,4.974081,466.1741,552.2559,-0.3680920,-1.82517326,-0.84641338, 0.6063904, 0.171476734, 1.3440928, 0.38349084,-0.7698411,-1.1768544, 0.787926947, 0.4033431,-0.235440309, 0.1670537, 0.291445203
2001,fork-tailed storm-petrel,Aiktak,fork-tailed storm-petrel_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.8750000,0,22,2.898437,6.931932,13.17194,5.005269,429.2146,543.1619, 1.0592129,-1.04455645,-0.62741357,-0.9334189,-0.167665997, 0.9474701, 0.45683969, 0.7740599,-0.3981339, 0.451879619,-0.8706575,-0.053341254, 0.2756593, 0.119128902
2004,fork-tailed storm-petrel,Aiktak,fork-tailed storm-petrel_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.8484848,0,22,3.402939,7.388582,13.30626,4.801991,414.0779,530.8623, 0.6699479, 0.27623658, 0.25876017,-1.5640420,-0.626355468, 1.0775171,-0.02123396, 0.4920865, 0.9052970, 0.644986158,-1.2791429, 0.787780081,-0.1683280,-0.206177230
2005,fork-tailed storm-petrel,Aiktak,fork-tailed storm-petrel_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.9000000,0,22,3.633726,7.518910,12.57410,4.623459,468.6299,547.4441, 1.4262342, 0.88043869, 0.51167476, 0.7087021,-0.007970537, 0.3686547,-0.44110876, 1.3463600, 1.4766712, 0.001667445, 1.1720677, 0.987490630,-0.5552869, 0.512147952
2006,fork-tailed storm-petrel,Aiktak,fork-tailed storm-petrel_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.8125000,0,22,3.303251,7.312319,12.45189,5.029649,437.4520,551.4576, 0.1416597, 0.01525138, 0.11076363,-0.5902314, 0.141704638, 0.2503247, 0.51417622, 0.1504683, 0.5631902,-0.048634755, 0.0079294, 0.525223816, 0.4317434, 0.728320286
2007,fork-tailed storm-petrel,Aiktak,fork-tailed storm-petrel_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.8260870,0,22,3.158192,7.373847,10.70850,4.365280,425.4063,526.7303, 0.3411278,-0.36451447, 0.23016519,-1.0920773,-0.780449407,-1.4375856,-1.04829864, 0.4293148, 0.1196650,-1.666033033,-0.4027925, 0.575118044,-1.1001565,-0.160779689
2008,fork-tailed storm-petrel,Aiktak,fork-tailed storm-petrel_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.7000000,0,22,2.920091,7.318438,12.65686,4.486193,429.1891,516.7554,-1.5099360,-0.98786575, 0.12263932,-0.9344803,-1.152443959, 0.4487734,-0.76393285,-1.3516750,-0.5829115, 0.293322163,-0.1977426, 0.389933197,-0.7863862,-0.533163262
2009,fork-tailed storm-petrel,Aiktak,fork-tailed storm-petrel_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.7037037,0,22,3.065271,6.912379,12.64743,4.762471,437.1550,526.1693,-1.4555625,-0.60778342,-0.66535723,-0.6026055,-0.801371070, 0.4396477,-0.11417660,-1.2365319,-0.2975201, 0.359676736, 0.1379139,-0.483873980,-0.1083959,-0.215922483
