year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,fork-tailed storm-petrel,Buldir,fork-tailed storm-petrel_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.743,0,35,3.235652,7.237807, 9.549704,4.207366,490.1095,578.3951, 0.2396955,-0.25267885,-0.06116242, 1.169253815, 0.923720589,-1.83011524,-1.1785635148, 0.04086455,-0.81219388,-0.507519243,-0.758077971, 0.06809365,-1.26806455,-0.53838954
1994,fork-tailed storm-petrel,Buldir,fork-tailed storm-petrel_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.808,0,35,3.436276,6.805431, 9.875392,5.125054,489.4666,586.4900, 0.6025081, 0.28195957,-0.97228279, 1.145614197, 1.206954146,-1.57056639, 0.4954888153, 0.33878702,-0.07936244,-0.518124871,-0.395449552,-0.77093793, 0.38106279, 0.07741296
1995,fork-tailed storm-petrel,Buldir,fork-tailed storm-petrel_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.810,0,35,3.156012,7.004114,11.077390,4.635780,492.9155,556.1450, 0.6136716,-0.46491004,-0.55360856, 1.272436404, 0.145212824,-0.61266447,-0.3970472787, 0.29402316,-0.64721800, 0.190165916, 0.088630505,-0.29047857,-0.53238766,-0.67870944
1996,fork-tailed storm-petrel,Buldir,fork-tailed storm-petrel_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.820,0,35,3.833493,7.649694,10.316544,4.582427,501.0959,603.3112, 0.6694889, 1.34049743, 0.80678369, 1.573244096, 1.795508377,-1.21900157,-0.4943751617, 0.30287597, 1.31802453,-0.645238963, 0.717685861, 1.12139514,-0.64661927, 1.25025502
1997,fork-tailed storm-petrel,Buldir,fork-tailed storm-petrel_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.642,0,35,3.868299,7.626563,10.508163,4.921334,503.9639,575.5000,-0.3240594, 1.43325262, 0.75804023, 1.678703219, 0.822424828,-1.06629610, 0.1238609596,-0.72867408, 1.55143581,-0.701057926, 1.122382461, 1.11382950,-0.04127623, 0.52889037
1998,fork-tailed storm-petrel,Buldir,fork-tailed storm-petrel_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.851,0,35,3.386924,7.003916,12.788437,6.708619,468.0244,545.1757, 0.8425226, 0.15044303,-0.55402565, 0.357149543,-0.238589055, 0.75091074, 3.3842390300, 0.40886904, 0.39010332, 0.928167826, 0.071056074,-0.16736222, 3.21021939,-0.30735464
1999,fork-tailed storm-petrel,Buldir,fork-tailed storm-petrel_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.543,0,35,2.957396,6.354980,13.799742,5.351542,458.3420,540.5997,-0.8766509,-0.99419881,-1.92148986, 0.001110856,-0.398700057, 1.55684509, 0.9086493169,-1.33038058,-0.65224038, 1.566664446,-0.043765509,-1.51425595, 0.72975785,-0.26964678
2000,fork-tailed storm-petrel,Buldir,fork-tailed storm-petrel_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.725,0,35,2.600265,6.819080,13.581601,4.974081,466.1741,552.2559, 0.1392243,-1.94591229,-0.94352012, 0.289111539, 0.009140528, 1.38300253, 0.2200829485,-0.32561863,-1.52083470, 1.245927505, 0.456442090,-0.52601937, 0.04033030, 0.30906265
2001,fork-tailed storm-petrel,Buldir,fork-tailed storm-petrel_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.775,0,35,2.898437,6.931932,13.171943,5.005269,429.2146,543.1619, 0.4183110,-1.15131891,-0.70571430,-1.069952690,-0.309049307, 1.05653618, 0.2769765570,-0.04868252,-0.66230114, 0.793110125,-0.719425409,-0.28825038, 0.10037336, 0.13479164
2002,fork-tailed storm-petrel,Buldir,fork-tailed storm-petrel_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.723,0,35,2.913617,7.105267,12.315580,4.544666,444.1528,519.7396, 0.1280609,-1.11086576,-0.34045456,-0.520650131,-1.128572348, 0.37407938,-0.5632591977,-0.33212029,-0.57708679, 0.004845653,-0.015936308, 0.06666888,-0.73270231,-0.56776259
