year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1995,fork-tailed storm-petrel,St. Lazaria,fork-tailed storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.4716981,0,25,7.058067,11.89181,7.828607,2.762894,424.9931,570.7752,-1.77233569, 0.14234713, 0.1686150,-0.2883942,-0.12031237,-0.39116681,-1.6248079,-0.693191946,-0.45428807, 0.07419338,-0.17651580,-0.18602755,-0.57531185,-0.442270028
1996,fork-tailed storm-petrel,St. Lazaria,fork-tailed storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.6574586,0,25,6.922599,11.50465,7.083279,2.890132,442.3544,585.1844,-0.23243566,-0.04844151,-0.3019876, 0.4724762, 0.36401873,-1.31105971,-1.4501204, 0.617026549,-0.45254613,-0.97740172, 0.66830397,-0.49334208,-0.65441170, 0.186451911
1997,fork-tailed storm-petrel,St. Lazaria,fork-tailed storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.6090909,0,25,6.815370,12.65400,7.923811,2.772085,447.9618,609.2393,-0.63338943,-0.19945987, 1.0950748, 0.7182238, 1.17256942,-0.27366519,-1.6121891, 0.004933724,-0.43021336,-0.05926813, 0.98522662, 1.04894704,-1.04810505, 1.123521462
1998,fork-tailed storm-petrel,St. Lazaria,fork-tailed storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.6315789,0,25,8.157278,12.08900,7.443460,4.192307,407.2872,590.2003,-0.44697014, 1.69044341, 0.4083060,-1.0643666, 0.53261759,-0.86651979, 0.3376552,-0.001243566, 1.61386161,-0.75894235,-0.73896294, 0.48934377, 0.69227748, 0.596216521
1999,fork-tailed storm-petrel,St. Lazaria,fork-tailed storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.4622642,0,25,6.754969,10.40471,9.515341,5.299052,413.4203,534.2283,-1.85054049,-0.28452625,-1.6389867,-0.7955785,-1.34875349, 1.69061922, 1.8571227,-1.578868013,-0.22611580, 1.70381831,-0.42454829,-1.44884486, 2.02444587,-1.188379654
2000,fork-tailed storm-petrel,St. Lazaria,fork-tailed storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.6326531,0,25,6.675122,11.34646,7.765228,4.020431,390.1497,547.2312,-0.43806605,-0.39698071,-0.4942751,-1.8154289,-0.91168891,-0.46938975, 0.1016848,-0.321905193,-0.22275747,-0.53812771,-1.41154631,-0.21309041, 0.10387164,-0.670412154
2001,fork-tailed storm-petrel,St. Lazaria,fork-tailed storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.7563025,0,25,6.725654,10.86734,8.223736,4.570726,414.1183,530.9620, 0.58695196,-0.32581338,-1.0766499,-0.7649885,-1.45854189, 0.09650523, 0.8571930, 0.566143675,-0.05495678,-0.04172851,-0.34102784,-0.72248361, 0.71640622,-1.152234196
2002,fork-tailed storm-petrel,St. Lazaria,fork-tailed storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.8652482,0,25,6.202014,11.01724,9.563147,4.934056,410.7290,539.9586, 1.49008013,-1.06329284,-0.8944455,-0.9135270,-1.15614279, 1.74962237, 1.3560136, 1.350845185,-0.71498232, 1.55433414,-0.48226261,-0.48535905, 1.09441599,-0.800676138
2003,fork-tailed storm-petrel,St. Lazaria,fork-tailed storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.8016529,0,25,7.486423,12.02324,8.037106,4.114433,433.5800,579.2326, 0.96289333, 0.74563168, 0.3283650, 0.0879332, 0.16396378,-0.13383566, 0.2307407, 0.723774202, 1.15221667,-0.37373708, 0.51372716, 0.77431043,-0.12950509, 0.552717416
2004,fork-tailed storm-petrel,St. Lazaria,fork-tailed storm-petrel_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.7857143,0,25,7.208915,12.88950,8.234188,3.754107,445.0004,610.1573, 0.83076692, 0.35479756, 1.3813227, 0.5884385, 1.20342342, 0.10940541,-0.2639563, 0.510306089, 0.80047757,-0.16266792, 0.99598770, 1.84606569,-0.70068744, 1.609592053
