year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1997,glaucous-winged gull,Buldir,glaucous-winged gull_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.2978723,0,22,4.180940,8.579165,10.267906,3.632155,505.4740,595.9451,-0.93465492, 1.1045816, 0.5930443, 1.75114097, 0.87668037,-0.54083143,-0.616187353,-0.52098042, 1.0385086,-1.41891452, 0.65459123, 0.99942665,-1.40638420, 0.56855512
1998,glaucous-winged gull,Buldir,glaucous-winged gull_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.6333333,0,22,3.654102,7.966129,12.928103,4.719593,472.8158,565.1235,-0.35994653,-0.2375623,-0.5485851, 0.45482894,-0.20895145, 1.94833098, 2.482216697, 0.01298348,-0.1278906, 1.22421959,-0.24479667,-0.12490132, 1.82472632,-0.28645018
1999,glaucous-winged gull,Buldir,glaucous-winged gull_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.1000000,0,22,3.208892,7.165568,12.745140,4.133763,460.6419,562.4886,-1.27364781,-1.3717573,-2.0394370,-0.02839146,-0.30175998, 1.77713141, 0.813028885,-0.94025618,-1.1144725, 1.19673475,-0.37800926,-1.60846488, 0.27999033,-0.18166423
2000,glaucous-winged gull,Buldir,glaucous-winged gull_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.6428571,0,22,3.111482,7.757454,11.733089,4.170611,473.5040,572.6958,-0.34363044,-1.6199134,-0.9371925, 0.48214825, 0.05776852, 0.83014874, 0.918019764,-0.04857108,-1.2431472, 0.38320981, 0.43562196,-0.50894513, 0.50117839, 0.34242670
2002,glaucous-winged gull,Buldir,glaucous-winged gull_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,1.5405405,0,22,3.450323,8.021603,10.415453,3.570468,450.0140,538.2796, 1.19427169,-0.7566987,-0.4452798,-0.45024974,-1.15447591,-0.40277150,-0.791948229, 1.45220488,-0.2885826,-0.72650968,-0.24060083,-0.02977024,-1.10084706,-0.73828735
2003,glaucous-winged gull,Buldir,glaucous-winged gull_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,1.6521739,0,22,3.936491,8.418902, 9.755011,4.025416,445.8694,559.1517, 1.38552086, 0.4818354, 0.2945945,-0.61476181,-0.41929746,-1.02075057, 0.504318494, 1.60753398, 1.0131698,-1.23154498,-0.19585399, 0.68735309, 0.29510757, 0.09538943
2004,glaucous-winged gull,Buldir,glaucous-winged gull_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,1.1176471,0,22,3.796661,8.334607,11.850057,3.878355,423.6984,558.5777, 0.46977485, 0.1256134, 0.1376139,-1.49480101,-0.43951342, 0.93959704, 0.085302731, 0.65707402, 0.6920345, 0.83148942,-0.91355060, 0.49760850,-0.03247494, 0.14063976
2005,glaucous-winged gull,Buldir,glaucous-winged gull_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.4358974,0,22,4.010238,8.442513,10.584323,3.773818,473.6917,568.2816,-0.69819172, 0.6697108, 0.3385636, 0.48959778,-0.09771434,-0.24475877,-0.212550237,-0.54440040, 1.2430869,-0.26043659, 1.18627448, 0.65578117,-0.24714929, 0.51487307
2007,glaucous-winged gull,Buldir,glaucous-winged gull_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.3333333,0,22,3.486184,8.439706, 9.651678,3.452430,431.2627,553.0635,-0.87390350,-0.6653418, 0.3333370,-1.19455033,-0.63374204,-1.11743998,-1.128270081,-0.75241393,-0.1131422,-1.05094499,-0.42936365, 0.59776440,-1.08794516,-0.02175244
2008,glaucous-winged gull,Buldir,glaucous-winged gull_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.8200000,0,22,3.311293,8.380829,11.079422,3.558307,432.0619,539.5299,-0.04015108,-1.1108847, 0.2236927,-1.16282617,-1.11043477, 0.21850841,-0.826599866, 0.05024285,-0.6079934, 0.35691923,-0.37604580, 0.42531675,-0.71960562,-0.53207503
2009,glaucous-winged gull,Buldir,glaucous-winged gull_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.4750000,0,22,3.497748,7.749766,11.024960,4.114310,444.7810,547.8950,-0.63120160,-0.6358818,-0.9515102,-0.65796515,-0.81579055, 0.16754832, 0.757601757,-0.57069720,-0.2104302, 0.36761799, 0.10349258,-0.82270248, 0.92301070,-0.30409271
2011,glaucous-winged gull,Buldir,glaucous-winged gull_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.1000000,0,22,3.852823,7.941797,10.479784,4.196205,451.3354,572.2747,-1.27364781, 0.2686891,-0.5938980,-0.39779716, 0.04293615,-0.34257624, 0.990942189,-1.24182685, 0.5885693,-0.09110471, 0.29142163,-0.54791969, 1.20651117, 0.45494003
2012,glaucous-winged gull,Buldir,glaucous-winged gull_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.7358491,0,22,3.026571,7.334059,12.433108,3.845745,412.4957,506.5416,-0.18431763,-1.8362278,-1.7256627,-1.93947464,-2.27238348, 1.48516070,-0.007610289,-0.17997399,-1.6500505, 1.77777710,-1.36941108,-1.77252693, 0.24986410,-1.99310560
2013,glaucous-winged gull,Buldir,glaucous-winged gull_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.2444444,0,22,3.573360,8.317909,10.299480,3.787712,452.6767,561.1050,-1.02618705,-0.4432560, 0.1065190,-0.34455845,-0.35049420,-0.51128806,-0.172961576,-1.04811462,-0.4189133,-0.18778376, 0.05943356,-0.04320077, 0.11816358,-0.23697437
2014,glaucous-winged gull,Buldir,glaucous-winged gull_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,1.5000000,0,22,4.051020,9.229038, 8.974780,3.292831,476.2087,607.3090, 1.12481805, 0.7736052, 1.8032744, 0.58950600, 1.27695254,-1.75081739,-1.583010704, 1.07782536, 0.6079817,-1.40668219, 0.78051015, 1.54068592,-1.26648943, 1.19168228
2015,glaucous-winged gull,Buldir,glaucous-winged gull_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,1.6129032,0,22,4.122117,8.337417, 9.957392,3.912752,495.9112,617.3726, 1.31824271, 0.9547270, 0.1428482, 1.37156251, 1.63142412,-0.83138194, 0.183309065, 1.24739102, 0.5710057,-0.47687282, 1.30266251,-0.24262211, 0.51697182, 1.31433170
2016,glaucous-winged gull,Buldir,glaucous-winged gull_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,1.5937500,0,22,4.097744,9.151350,10.631121,3.546917,484.0710,614.1340, 1.28542960, 0.8926348, 1.6586008, 0.90158671, 1.51735085,-0.20096922,-0.859051545, 1.19192500, 0.2626841, 0.15365684, 0.52586625, 1.14023570,-0.51650195, 0.93540424
2017,glaucous-winged gull,Buldir,glaucous-winged gull_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.2200000,0,22,4.152354,8.592335,10.779388,3.717104,480.2641,603.3275,-1.06806502, 1.0317583, 0.6175698, 0.75047944, 1.13671131,-0.06223501,-0.374143716,-1.18301641, 0.1274467, 0.28225101, 0.02102220,-0.04370331,-0.03096193, 0.25687846
2018,glaucous-winged gull,Buldir,glaucous-winged gull_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.3000000,0,22,4.159987,8.048826,11.474097,4.253211,468.0167,582.4419,-0.93100983, 1.0512032,-0.3945820, 0.26433944, 0.40105528, 0.58780893, 1.153369130,-1.06620191,-0.1556010, 0.91189792,-0.86577087,-1.20877615, 1.48892847,-0.80969585
2019,glaucous-winged gull,Buldir,glaucous-winged gull_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,1.4000000,0,22,4.266741,9.005231, 9.853692,3.386622,492.3495,595.5760, 0.95349906, 1.3231649, 1.3864891, 1.23018588, 0.86367845,-0.92841441,-1.315775114, 0.79927240,-0.2142636,-0.63497944,-0.34749381, 0.40936086,-0.99609286,-0.71102302
