year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1998,glaucous-winged gull,Chowiet,glaucous-winged gull_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.4776786,0,14,5.760583,10.877082, 9.999686,3.781303,362.7363,512.7077,-1.07600219, 0.66449642,-0.3298769, 0.7155167, 0.579338513, 1.3551892, 1.2725821,-0.31723752, 0.79474311, 0.01305974, 0.63128309, 0.03737695, 0.11200954, 0.5400059
2004,glaucous-winged gull,Chowiet,glaucous-winged gull_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.7000000,0,14,5.171828,11.808369, 9.626328,3.482541,338.8441,504.0628,-0.61642515,-0.12897549, 0.6819984,-0.2010304, 0.342680944, 0.9234714, 0.4173182,-0.01833584, 0.15848426,-0.04456858,-0.02466763, 1.12426323,-0.49352190, 0.5115980
2009,glaucous-winged gull,Chowiet,glaucous-winged gull_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,1.3000000,0,14,4.305578,10.412084, 8.598579,3.301708,332.6961,458.2270, 0.62387917,-1.29643019,-0.8351134,-0.4368768,-0.912078529,-0.2649239,-0.1003502, 1.06919181,-0.90055397,-0.89989287,-0.06716051,-0.35498850,-0.77681347,-0.5899192
2010,glaucous-winged gull,Chowiet,glaucous-winged gull_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,1.0389610,0,14,4.915583, 9.947363,10.018434,4.006660,311.9436,446.2374, 0.08426625,-0.47432004,-1.3400478,-1.2329817,-1.240294651, 1.3768672, 1.9177093, 0.38470094,-0.01882394, 1.03395062,-0.73715492,-0.85921371, 1.46026739,-0.8199007
2011,glaucous-winged gull,Chowiet,glaucous-winged gull_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.6760563,0,14,4.772449,10.440091, 8.962531,3.441946,322.0198,468.1690,-0.66592086,-0.66722342,-0.8046829,-0.8464407,-0.639914637, 0.1559172, 0.3011067,-0.50246542,-0.20090405, 0.06403450,-0.29174632,-0.36029057, 0.04733059,-0.1762935
2012,glaucous-winged gull,Chowiet,glaucous-winged gull_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.4400000,0,14,4.051620, 9.702118, 9.478703,3.724521,307.4382,435.2657,-1.15389035,-1.63869276,-1.6065150,-1.4058181,-1.540648047, 0.7527709, 1.1100313,-1.11951546,-1.21034670, 0.87090365,-0.85949906,-1.23571520, 1.04456551,-1.0888073
2013,glaucous-winged gull,Chowiet,glaucous-winged gull_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.8024691,0,14,4.638640,11.018025, 8.709033,3.072535,330.1655,483.7711,-0.40460363,-0.84755987,-0.1767377,-0.5339552,-0.212804802,-0.1372050,-0.7564033,-0.49141056,-0.50598372, 0.14992466,-0.06325449, 0.08331854,-0.64891447, 0.1722480
2014,glaucous-winged gull,Chowiet,glaucous-winged gull_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.8026316,0,14,5.687111,11.988663, 7.088130,2.940782,347.4707,506.0276,-0.40426783, 0.56547623, 0.8778936, 0.1299028, 0.396469471,-2.0114701,-1.1335716,-0.60435789, 0.77148589,-1.59636211, 0.45774216, 0.99005547,-0.86848354, 0.6597268
2015,glaucous-winged gull,Chowiet,glaucous-winged gull_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,1.5569620,0,14,6.124220,11.892541, 8.007260,3.020326,387.0186,543.1708, 1.15506436, 1.15457308, 0.7734537, 1.6470317, 1.413269577,-0.9486718,-0.9058618, 0.84958988, 1.17621964,-0.44660395, 1.76476683, 0.70057028,-0.49853020, 1.4997238
2016,glaucous-winged gull,Chowiet,glaucous-winged gull_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,2.2400000,0,14,6.543307,12.588146, 8.684368,3.196171,368.4582,535.3109, 2.56702261, 1.71938240, 1.5292525, 0.9350197, 1.198103658,-0.1657259,-0.4024722, 2.16406242, 1.50786927, 0.38228329, 0.77540763, 1.23417290, 0.13174745, 1.0527474
2017,glaucous-winged gull,Chowiet,glaucous-winged gull_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.9400000,0,14,5.165834,11.310576, 8.373605,3.073257,329.2517,461.6010,-0.12030342,-0.13705462, 0.1411290,-0.5690128,-0.819713721,-0.5250640,-0.7543372,-0.61285061,-0.63052403, 0.02786801,-1.07321501,-0.41329766,-0.10858509,-1.2518881
2018,glaucous-winged gull,Chowiet,glaucous-winged gull_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.8000000,0,14,5.274671,10.925059, 9.318533,3.451961,347.2230,491.2221,-0.40970776, 0.00962707,-0.2777479, 0.1204015,-0.008833485, 0.5675652, 0.3297756,-0.98394324,-0.81459521, 1.08440149,-0.79563382,-1.12867251, 1.07170466,-0.7828335
2019,glaucous-winged gull,Chowiet,glaucous-winged gull_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,1.4000000,0,14,6.066439,12.438810, 7.894791,2.884207,387.8322,544.3090, 0.83059656, 1.07670119, 1.3669943, 1.6782434, 1.444425710,-1.0787205,-1.2955269, 0.18257149,-0.12707055,-0.63899846, 0.28313205, 0.18242081,-0.47277645, 0.2735925
