year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1994,glaucous-winged gull,St. Lazaria,glaucous-winged gull_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.67241379,0,26,7.870519,12.92300,4.968002,2.121544,499.0740,652.3109,-1.09823660, 0.34298055, 0.21592368, 1.77873572, 1.46411743,-2.28942322,-2.08182092,-0.4716252,-0.41532333,-1.13271929, 1.07319991,-0.08744830,-0.66514161, 0.74570408
1995,glaucous-winged gull,St. Lazaria,glaucous-winged gull_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,1.08695652,0,26,7.915730,12.67619,6.365473,2.662669,448.0902,595.4359,-0.29271752, 0.40397223,-0.08625560,-0.11165388,-0.35139948,-0.86325932,-1.23873863, 0.1362231,-0.13676751, 0.04073874,-0.60401272,-0.24584699,-0.11191734,-0.86862737
1996,glaucous-winged gull,St. Lazaria,glaucous-winged gull_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,1.35000000,0,26,7.702041,12.34850,5.813007,2.793038,463.0004,614.5739, 0.21841565, 0.11569553,-0.48746881, 0.44118864, 0.25950749,-1.42706813,-1.03562040, 0.4690483,-0.22761555,-0.75538718, 0.14186994,-0.51873607,-0.17624825,-0.07496767
1997,glaucous-winged gull,St. Lazaria,glaucous-winged gull_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.68292683,0,26,7.786227,13.70605,6.808420,2.515358,475.0793,640.4620,-1.07780818, 0.22926626, 1.17466656, 0.88905308, 1.08588625,-0.41121705,-1.46825083,-0.9861207, 0.06324833, 0.04853557, 0.76263769, 1.25626695,-0.85391895, 0.91573106
1998,glaucous-winged gull,St. Lazaria,glaucous-winged gull_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,1.78571429,0,26,8.691814,12.89201,6.897675,3.783053,440.0561,624.9947, 1.06507426, 1.45094427, 0.17798579,-0.40954471, 0.59215166,-0.32012991, 0.50684054, 1.0171794, 1.44208400,-0.05191687,-0.38319361, 0.35699738, 0.89854103, 0.56788371
1999,glaucous-winged gull,St. Lazaria,glaucous-winged gull_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,1.21428571,0,26,7.117924,11.28512,9.417112,4.425172,421.7463,563.9230,-0.04529768,-0.67230291,-1.78943006,-1.08844239,-1.35733165, 2.25103644, 1.50727328,-0.2134121,-0.54414103, 2.34809867,-0.92946162,-1.52846375, 1.69875127,-1.25414511
2000,glaucous-winged gull,St. Lazaria,glaucous-winged gull_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,1.01724138,0,26,7.220901,12.40704,7.108944,3.486138,406.5521,582.5499,-0.42818456,-0.53338354,-0.41579407,-1.65181549,-0.76273666,-0.10452273, 0.04424201,-0.6971557,-0.28833500,-0.15822253,-1.38034187,-0.08832951, 0.05790638,-0.55052836
2001,glaucous-winged gull,St. Lazaria,glaucous-winged gull_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,2.05000000,0,26,7.036175,11.93238,7.745115,3.842710,424.3662,560.3499, 1.57862129,-0.78258684,-0.99695237,-0.99129956,-1.47138918, 0.54470926, 0.59978782, 1.2281562,-0.44078715, 0.36063618,-0.62746992,-0.61844603, 0.45804745,-1.16859186
2002,glaucous-winged gull,St. Lazaria,glaucous-winged gull_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,1.72727273,0,26,6.649832,12.12375,9.107033,4.054785,420.8780,571.5342, 0.95151350,-1.30378085,-0.76264561,-1.12063533,-1.11437127, 1.93459096, 0.93020355, 0.5389174,-0.88536550, 1.64053338,-0.68458649,-0.34855396, 0.65546732,-0.73941768
2003,glaucous-winged gull,St. Lazaria,glaucous-winged gull_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,2.03797468,0,26,7.999471,12.96210,7.454864,3.637580,450.2892,609.5718, 1.55525429, 0.51694237, 0.26379718,-0.03012042, 0.09983456, 0.24849964, 0.28019139, 1.0998899, 0.99183788,-0.13515368, 0.45801081, 0.69801767,-0.10513183, 0.52851168
2004,glaucous-winged gull,St. Lazaria,glaucous-winged gull_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.85714286,0,26,8.110070,13.98660,7.267984,3.347007,475.3551,638.7941,-0.73928015, 0.66614564, 1.51815178, 0.89928060, 1.03264527, 0.05778198,-0.17252743,-1.2180500, 1.17738581,-0.39507832, 1.41935738, 1.95704465,-0.64602875, 1.49661318
2005,glaucous-winged gull,St. Lazaria,glaucous-winged gull_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,1.63750000,0,26,8.340789,13.72364,6.973700,2.893756,472.6391,641.1546, 0.77707154, 0.97739503, 1.19619882, 0.79857548, 1.10799701,-0.24254423,-0.87870101, 0.2942590, 1.50484436,-0.74422272, 1.33046098, 1.62430759,-1.41797155, 1.58882297
