year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,great skua,Foula,great skua_Foula,Northern European Seas,North Sea,0.50,0,50,7.394523,13.16366,14.04811,3.225499,85.84151,143.2954,-0.43221380,-0.5646412,-1.83821287, 0.735017165,-1.0555026, 1.35892434, 1.40893192,-1.07450516, 0.43553631, 0.59571024, 1.47585746,-0.75567172, 0.72986520,-0.697118557
1994,great skua,Foula,great skua_Foula,Northern European Seas,North Sea,0.80,0,50,7.037432,14.07082,14.29320,2.801412,80.99288,153.9126, 0.29705583,-1.1763407,-0.37387875,-0.344535257, 0.1775808, 1.61418115, 0.06750701,-0.26808870,-0.32578307, 0.98235343, 0.29452379, 0.55870060,-0.50966011, 0.513502359
1995,great skua,Foula,great skua_Foula,Northern European Seas,North Sea,1.10,0,50,7.317031,14.16488,13.38873,2.806211,79.58419,165.2161, 1.02632546,-0.6973853,-0.22204864,-0.658183519, 1.4903636, 0.67219743, 0.08268807, 0.53831548, 0.01227433, 0.16303478,-0.11553049, 0.56857162,-0.39853909, 1.803210124
1996,great skua,Foula,great skua_Foula,Northern European Seas,North Sea,1.10,0,50,6.238953,13.20393,11.43571,2.888231,77.81989,141.7355, 1.02632546,-2.5441404,-1.77320406,-1.051005756,-1.2366668,-1.36183775, 0.34212376, 0.61543774,-1.96665681,-1.75705666,-0.59938353,-1.11654015,-0.04912309,-0.947508079
1997,great skua,Foula,great skua_Foula,Northern European Seas,North Sea,1.00,0,50,7.451391,14.71179,12.88294,2.515145,74.66568,158.8592, 0.78323558,-0.4672261, 0.66076535,-1.753294664, 0.7520759, 0.14542140,-0.83798099, 0.44945784,-0.01319647,-0.14457506,-1.38732801, 1.19147564,-1.14520717, 1.016934110
1998,great skua,Foula,great skua_Foula,Northern European Seas,North Sea,1.00,0,50,8.188291,13.50296,12.38145,3.183183,78.52136,138.9722, 0.78323558, 0.7950901,-1.29051413,-0.894822530,-1.5575951,-0.37687079, 1.27508336, 0.52655554, 1.13438770,-0.57036612,-0.60913623,-0.87775474, 1.04591820,-1.317649953
1999,great skua,Foula,great skua_Foula,Northern European Seas,North Sea,1.10,0,50,7.826163,14.19035,13.07466,2.956533,83.53669,143.2206, 1.02632546, 0.1747614,-0.18094274, 0.221846878,-1.0641924, 0.34510079, 0.55816714, 0.84673083, 0.40804900, 0.23938527, 0.43262805, 0.12186848, 0.40110336,-0.849773036
2000,great skua,Foula,great skua_Foula,Northern European Seas,North Sea,0.80,0,50,7.974217,13.45346,12.61683,3.403870,82.98673,141.7736, 0.29705583, 0.4283791,-1.37041566, 0.099396857,-1.2322506,-0.13172277, 1.97313541, 0.19453433, 0.56437863,-0.15837979, 0.24064812,-1.16954987, 1.88221337,-1.043969655
2001,great skua,Foula,great skua_Foula,Northern European Seas,North Sea,0.70,0,50,7.367873,13.95072,14.45857,2.832216,77.85639,146.4024, 0.05396595,-0.6102919,-0.56775209,-1.042878715,-0.6946583, 1.78640814, 0.16494179, 0.02850531,-0.56285839, 1.83008831,-0.96578213,-0.46082900, 0.13420185,-0.533128522
2002,great skua,Foula,great skua_Foula,Northern European Seas,North Sea,0.60,0,50,8.183003,15.02756,11.83189,2.529111,85.45139,161.0066,-0.18912392, 0.7860311, 1.17047571, 0.648156188, 1.0014775,-0.94922044,-0.79380730,-0.13753600, 0.75362052,-0.84392438, 0.66647332, 1.19145883,-0.77032480, 1.135643470
2003,great skua,Foula,great skua_Foula,Northern European Seas,North Sea,0.10,0,50,8.011481,15.55726,12.37877,2.180234,76.83903,158.2970,-1.40457331, 0.4922120, 2.02551945,-1.269396304, 0.6867863,-0.37965691,-1.89733685,-1.27594909, 0.38867935,-0.22146628,-1.30448341, 1.96856532,-1.82559154, 0.792975897
2004,great skua,Foula,great skua_Foula,Northern European Seas,North Sea,0.02,1,50,8.111609,14.51059,11.45076,2.487103,82.57380,155.0383,-1.59904521, 0.6637325, 0.33598265, 0.007458381, 0.3083160,-1.34616398,-0.92668232,-1.39339699, 0.49779981,-1.14380010,-0.07565773, 0.20909401,-0.81263385, 0.385916425
2005,great skua,Foula,great skua_Foula,Northern European Seas,North Sea,0.10,0,50,7.449773,13.92647,12.94042,2.876992,87.78190,148.0161,-1.40457331,-0.4699967,-0.60689419, 1.167046715,-0.5072372, 0.20529316, 0.30657267,-1.12191336,-0.68960749, 0.44310899, 1.04127682,-0.79571461, 0.45696465,-0.458838554
2006,great skua,Foula,great skua_Foula,Northern European Seas,North Sea,0.40,0,50,7.267125,14.87641,12.65367,2.602703,77.14599,154.7302,-0.67530368,-0.7828743, 0.92649913,-1.201051567, 0.2725358,-0.09335715,-0.56102765,-0.31564429,-1.04744124, 0.17118931,-1.36410002, 0.68374965,-0.38025179, 0.291120045
2007,great skua,Foula,great skua_Foula,Northern European Seas,North Sea,0.61,0,50,8.694175,14.41082,12.41275,2.985270,87.71099,146.9150,-0.16481494, 1.6616730, 0.17493575, 1.151259112,-0.6351290,-0.34426590, 0.64906668, 0.27183161, 1.36087187,-0.06171012, 0.95630732,-0.11374005, 0.85426677,-0.646971882
2008,great skua,Foula,great skua_Foula,Northern European Seas,North Sea,1.13,0,50,8.339017,14.63199,11.90733,2.660631,91.12785,162.6850, 1.09925243, 1.0532852, 0.53195280, 1.912028750, 1.1964002,-0.87065712,-0.37779675, 1.61287386, 0.72497197,-0.57881333, 1.69054884, 0.20535341,-0.15413207, 1.153517550
2009,great skua,Foula,great skua_Foula,Northern European Seas,North Sea,1.03,0,50,8.081373,14.77875,12.33889,2.574755,84.40162,152.9552, 0.85616255, 0.6119378, 0.76885122, 0.414423883, 0.0663856,-0.42118812,-0.64943115, 1.44674657, 0.26483442,-0.12877763, 0.17179109, 0.41233096,-0.41326153,-0.008149523
2010,great skua,Foula,great skua_Foula,Northern European Seas,North Sea,0.23,0,50,7.290786,14.29219,12.30289,2.539810,81.69181,154.4775,-1.08855647,-0.7423435,-0.01654584,-0.188918884, 0.2431891,-0.45868245,-0.75996266,-0.42102213,-1.09951509,-0.17442657,-0.44732935,-0.39498423,-0.51724774, 0.136388820
2011,great skua,Foula,great skua_Foula,Northern European Seas,North Sea,0.66,0,50,7.875981,14.18208,11.37745,2.927939,89.67678,149.2591,-0.04327000, 0.2600996,-0.19428325, 1.588945722,-0.3628790,-1.42250919, 0.46772377, 0.70120238,-0.09841807,-1.15512924, 1.32013282,-0.58663704, 0.71102434,-0.502556983
2012,great skua,Foula,great skua_Foula,Northern European Seas,North Sea,0.24,0,50,7.822141,13.82785,13.33433,3.296508,84.31628,150.6711,-1.06424748, 0.1678715,-0.76608165, 0.395422468,-0.1988889, 0.61553973, 1.63354080,-0.24284936,-0.18327042, 0.85732244, 0.12158235,-1.16434811, 1.87146738,-0.372057413
2013,great skua,Foula,great skua_Foula,Northern European Seas,North Sea,0.07,0,50,6.533567,14.14000,14.08012,2.546913,80.76651,155.7360,-1.47750027,-2.0394649,-0.26221501,-0.394936951, 0.3893447, 1.39226361,-0.73749510,-0.57918868,-2.37450903, 1.59972777,-0.66842907,-0.65839142,-0.51090214, 0.182073130
2014,great skua,Foula,great skua_Foula,Northern European Seas,North Sea,0.17,0,50,8.585929,15.22070,12.32839,2.395759,85.92042,163.7739,-1.23441040, 1.4762475, 1.48224412, 0.752587662, 1.3228699,-0.43212393,-1.21561073,-0.25919761, 1.16602313,-0.26769963, 0.48481877, 1.09616049,-1.00631105, 1.080882493
2015,great skua,Foula,great skua_Foula,Northern European Seas,North Sea,0.07,0,50,7.627945,13.53230,14.68136,3.325589,79.89277,141.8856,-1.47750027,-0.1647881,-1.24315113,-0.589476686,-1.2192436, 2.01844455, 1.72552518,-0.42539859,-0.44147067, 2.13110767,-0.84614712,-1.61113923, 1.91157194,-1.496559398
2016,great skua,Foula,great skua_Foula,Northern European Seas,North Sea,0.26,0,50,8.007032,14.50346,13.58444,2.579850,79.94105,153.7479,-1.01562951, 0.4845913, 0.32448691,-0.578726193, 0.1584483, 0.87602265,-0.63331515, 0.11334880, 0.25017256, 0.92820329,-0.81892295,-0.01740294,-0.47648095,-0.154808653
2017,great skua,Foula,great skua_Foula,Northern European Seas,North Sea,0.04,1,50,8.271513,14.63458,11.99195,2.565788,80.29877,149.4425,-1.55042724, 0.9376498, 0.53613448,-0.499081315,-0.3415813,-0.78252461,-0.67779298,-0.34458458, 0.75421679,-0.79954777,-0.71742917, 0.22834560,-0.55613099,-0.691391958
2018,great skua,Foula,great skua_Foula,Northern European Seas,North Sea,0.22,0,50,7.320413,15.25241,11.62817,2.427897,91.54736,175.3106,-1.11286546,-0.6915913, 1.53342394, 2.005432145, 2.6627385,-1.16138798,-1.11395504, 0.16982926,-0.81531658,-1.25633625, 1.81430842, 1.26773877,-1.03342490, 2.275761336
2019,great skua,Foula,great skua_Foula,Northern European Seas,North Sea,0.26,0,50,8.283114,14.44794,12.26550,2.946738,79.69858,147.0221,-1.01562951, 0.9575225, 0.23486848,-0.632713587,-0.6226873,-0.49762788, 0.52718710, 0.34390498, 0.90222693,-0.67922257,-0.79123797, 0.01928975, 0.56062575,-1.047443592
