year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1996,horned puffin,Aiktak,horned puffin_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.50,0,22,5.314457, 9.733697, 7.403619,3.860932,537.4917,674.5766,-0.3512416, 1.3825403, 0.276741472, 1.8899427, 1.72540901,-0.842616083, 0.45644619, 0.40874601, 1.00246594,-1.25031002, 0.89259324, 0.28685460,-0.28643469, 1.1335084
1998,horned puffin,Aiktak,horned puffin_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.60,0,22,4.467263, 9.231064,11.174495,4.387532,489.1140,608.1318, 0.0878104,-0.6428565,-0.656404058, 0.1940422,-0.30608884, 2.869354013, 2.03925664, 0.73202393,-0.77131599, 2.52204204,-0.42374413,-0.52350651, 1.35011112,-0.6140813
2000,horned puffin,Aiktak,horned puffin_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.63,0,22,4.130923, 9.265554, 8.459841,3.839144,493.1500,616.2233, 0.2195260,-1.4469491,-0.592371641, 0.3355256,-0.05869751, 0.197106668, 0.39095800, 0.75689354,-1.35906163,-0.09273447, 0.05153925,-0.35733116,-0.24037506,-0.1197156
2002,horned puffin,Aiktak,horned puffin_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.00,1,22,4.582302, 9.207126, 7.535081,3.660984,469.2018,572.7008,-2.5465016,-0.3678324,-0.700844214,-0.5039875,-1.38936529,-0.713206951,-0.14453891,-2.10705197,-0.09886569,-0.94848839,-0.49993711,-0.38430230,-0.71398239,-1.2403428
2004,horned puffin,Aiktak,horned puffin_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.40,0,22,4.783606, 9.706960, 8.385156,3.729539,454.4270,612.3297,-0.7902936, 0.1134282, 0.227103261,-1.0219270,-0.17774271, 0.123588313, 0.06151682,-0.43983377, 0.52820621,-0.06004457,-0.77560293, 0.60450511,-0.44195999, 0.1443865
2005,horned puffin,Aiktak,horned puffin_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.29,0,22,4.924605, 9.741516, 7.779293,3.928207,489.2338,625.4225,-1.2732508, 0.4505169, 0.291256924, 0.1982401, 0.22256182,-0.472810051, 0.65865738,-1.00285269, 0.97583841,-0.60770551, 0.64107469, 0.70887722, 0.22522435, 0.6808639
2006,horned puffin,Aiktak,horned puffin_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.57,0,22,4.656504, 9.579347, 9.157451,3.688122,479.7280,616.8159,-0.0439052,-0.1904375,-0.009812744,-0.1349891,-0.04058071, 0.883818818,-0.06297069, 0.15535929, 0.41015973, 0.79474965, 0.45859274, 0.42738451,-0.42228284, 0.5169605
2007,horned puffin,Aiktak,horned puffin_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.50,0,22,4.503528, 9.611266, 7.336463,3.663216,452.8660,601.2396,-0.3512416,-0.5561591, 0.049446614,-1.0766459,-0.51681471,-0.908722129,-0.13783284,-0.21418265, 0.08444597,-0.95487615,-0.37807985, 0.48557932,-0.41894700, 0.1030319
2008,horned puffin,Aiktak,horned puffin_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.82,0,22,4.436579, 9.854858, 7.756707,3.323865,453.9335,584.1494, 1.0537248,-0.7162135, 0.501677046,-1.0392249,-1.03933231,-0.495043274,-1.15782380, 1.13750631,-0.07086847,-0.50119328,-0.28143787, 0.91610372,-1.35666287,-0.3941142
2009,horned puffin,Aiktak,horned puffin_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.77,0,22,4.558556, 8.678615, 8.201194,4.247250,467.6694,578.4693, 0.8341988,-0.4246023,-1.682031547,-0.5577072,-1.21299862,-0.057499966, 1.61761014, 0.87363096, 0.19021486,-0.02655709, 0.21353762,-1.30995240, 1.50512327,-0.5793428
