year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,horned puffin,Buldir,horned puffin_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.56,0,34,4.806550, 9.245634, 6.221672,3.612220,524.3151,634.1402, 0.488003616, 0.2617613,-0.44639346, 1.32293431, 0.4726656,-1.941986462,-0.3782414182,-0.54907409,-0.15615082,-1.46498272,-0.438697462,-0.141970044,-0.46581811,-0.78272638
1994,horned puffin,Buldir,horned puffin_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.60,0,34,4.559845, 8.942125, 7.874854,4.001392,521.2396,659.8615, 0.768039447,-0.3553547,-1.00313150, 1.21252017, 1.3385679,-0.318824291, 0.8790192620,-0.04154672,-0.59976299, 0.04602061,-0.186922848,-0.661170674, 0.71033730, 0.37726282
1995,horned puffin,Buldir,horned puffin_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.54,0,34,4.433012, 9.273131, 7.775324,3.617406,500.6985,625.3427, 0.347985701,-0.6726212,-0.39595519, 0.47507101, 0.1765009,-0.416546599,-0.3614885000,-0.25169622,-0.76048839,-0.15480458,-0.589384697,-0.023771493,-0.60073471,-0.51441948
1996,horned puffin,Buldir,horned puffin_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.58,0,34,5.314457, 9.733697, 7.403619,3.860932,537.4917,674.5766, 0.628021531, 1.5322594, 0.44887803, 1.79599246, 1.8339474,-0.781502715, 0.4252478172, 0.22065659, 1.58397041,-0.61380764, 1.039322641, 0.843970035, 0.12597840, 1.38970961
1997,horned puffin,Buldir,horned puffin_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.62,0,34,5.133124, 9.784360, 8.176469,3.577357,521.4161,636.5778, 0.908057362, 1.0786650, 0.54180990, 1.21885667, 0.5547263,-0.022686533,-0.4908712315, 0.67542211, 1.25299138, 0.06001755, 0.742771299, 0.952495675,-0.83962282, 0.33346874
1998,horned puffin,Buldir,horned puffin_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.41,0,34,4.467263, 9.231064,11.174495,4.387532,489.1140,608.1318,-0.562130748,-0.5869427,-0.47312062, 0.05917687,-0.4029009, 2.920900013, 2.1264858586,-0.63762358,-0.30696368, 2.92766905,-0.163525487,-0.054155640, 1.73879312,-0.42488030
1999,horned puffin,Buldir,horned puffin_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.38,0,34,4.058391, 8.410713, 9.938417,3.707759,479.4865,606.2866,-0.772157621,-1.6097102,-1.97791853,-0.28646133,-0.4650197, 1.707267638,-0.0695923108,-0.70809532,-1.24104146, 1.64715758,-0.282982109,-1.557988892,-0.48568516,-0.31142319
2000,horned puffin,Buldir,horned puffin_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.57,0,34,4.130923, 9.265554, 8.459841,3.839144,493.1500,616.2233, 0.558012574,-1.4282765,-0.40985310, 0.20407370,-0.1305024, 0.255540217, 0.3548597305, 0.74404274,-0.98788076, 0.13760702, 0.406533070, 0.003726638,-0.07909219, 0.17496781
2001,horned puffin,Buldir,horned puffin_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.65,0,34,4.406398, 8.997483, 8.264696,4.234483,472.8734,611.6930, 1.118084235,-0.7391933,-0.90158672,-0.52387938,-0.2830149, 0.063938903, 1.6320433443, 1.40849498,-0.24403341,-0.10276149,-0.149641292,-0.501671426, 1.19077338, 0.15062692
2002,horned puffin,Buldir,horned puffin_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.44,0,34,4.582302, 9.207126, 7.535081,3.660984,469.2018,572.7008,-0.352103875,-0.2991810,-0.51702991,-0.65569346,-1.5956785,-0.652427127,-0.2207036352, 0.02510018, 0.23378030,-0.85883877,-0.136878089,-0.138093627,-0.65875061,-1.05756737
2003,horned puffin,Buldir,horned puffin_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.57,0,34,4.830914, 9.856603, 7.944957,3.759058,469.9703,605.9309, 0.558012574, 0.3227053, 0.67432814,-0.62810613,-0.4769941,-0.249994227, 0.0961342707, 1.00442265, 0.87650507,-0.48706116, 0.008085081, 1.024970876,-0.32814868, 0.14188421
2004,horned puffin,Buldir,horned puffin_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.23,0,34,4.783606, 9.706960, 8.385156,3.729539,454.4270,612.3297,-1.822291985, 0.2043689, 0.39983277,-1.18612866,-0.2615811, 0.182211351, 0.0007694085,-1.32426316, 0.76204447,-0.07645493,-0.459763036, 0.714867395,-0.39920848, 0.41436211
2005,horned puffin,Buldir,horned puffin_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.53,0,34,4.924605, 9.741516, 7.779293,3.928207,489.2338,625.4225, 0.277976743, 0.5570697, 0.46322008, 0.06347608, 0.1791875,-0.412649835, 0.6425886674, 0.81003704, 1.10165820,-0.68385952, 0.852814691, 0.735332052, 0.27745687, 0.88849350
