year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
2004,horned puffin,Chowiet,horned puffin_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.13,0,16,6.750586,13.10842,7.332474,3.212350,372.0720,558.9494,-1.0212774,-0.01831803, 0.97466512,-0.01381366, 0.788472557, 0.76377825,-0.4395125,-1.2275926,-0.06778999, 0.303521693,-0.029390754, 0.386269754,-0.541233454, 0.5422038
2005,horned puffin,Chowiet,horned puffin_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.53,0,16,7.572811,13.11116,5.789230,3.243164,389.1651,541.8887, 0.6764305, 1.04817288, 0.97754358, 0.55467499, 0.318028628,-1.35419353,-0.3320427, 0.5527002, 1.19831640,-1.801787390, 0.742496169, 0.767922723,-0.538279397, 0.3485292
2006,horned puffin,Chowiet,horned puffin_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.65,0,16,6.585960,11.42833,7.678941,3.835313,372.8519,514.8419, 1.1857429,-0.23185145,-0.78949562, 0.01212669,-0.427776287, 1.23927503, 1.7331426, 1.1321487, 0.07347338, 0.816594993, 0.356921609,-0.688353814, 1.449862652,-0.1762575
2007,horned puffin,Chowiet,horned puffin_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.44,0,16,5.635041,11.72743,7.491644,3.436526,324.7082,492.4823, 0.2944462,-1.46526795,-0.47543312,-1.58905204,-1.044336351, 0.98222611, 0.3423270, 0.2985392,-1.04919598, 0.596711025,-1.133707920,-0.131540506, 0.009476239,-0.6275504
2009,horned puffin,Chowiet,horned puffin_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.27,0,16,6.081614,11.25616,6.725181,3.217411,359.9295,493.0104,-0.4270796,-0.88602819,-0.97028017,-0.41764993,-1.029772536,-0.06968056,-0.4218612,-0.3777482,-0.40364324,-0.405779555, 0.101818867,-0.451648610,-0.776810415,-0.5034706
2010,horned puffin,Chowiet,horned puffin_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.57,0,16,6.218878,11.13876,8.158482,3.697835,340.4946,500.6165, 0.8462013,-0.70798482,-1.09355551,-1.06402234,-0.820037536, 1.89740491, 1.2536710, 0.9283222,-0.20372106, 1.622973143,-0.526853397,-0.468196847, 0.904095899,-0.2399706
2011,horned puffin,Chowiet,horned puffin_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.05,0,16,6.314275,11.19977,7.005382,3.304216,357.5611,501.9394,-1.3608190,-0.58424796,-1.02949686,-0.49641969,-0.783559279, 0.31487228,-0.1191192,-1.2583574,-0.10253955, 0.114358874, 0.012024862,-0.365422953,-0.435847790,-0.2054785
2012,horned puffin,Chowiet,horned puffin_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.40,0,16,5.697030,10.60318,7.021029,3.903674,333.2815,478.7387, 0.1246754,-1.38486352,-1.65594062,-1.30391640,-1.423310347, 0.33634697, 1.9715575, 0.2350288,-0.97014463, 0.222003051,-0.870620772,-1.021163320, 1.715147937,-0.9029668
2013,horned puffin,Chowiet,horned puffin_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.16,0,16,6.200620,12.04915,6.633137,3.209096,362.9273,530.4773,-0.8939493,-0.73166802,-0.13760987,-0.31795004, 0.003362882,-0.19600303,-0.4508606,-0.7881529,-0.42837283,-0.211926319,-0.006227863, 0.399858965,-0.619478690, 0.4102181
2014,horned puffin,Chowiet,horned puffin_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.54,0,16,7.424026,13.16651,5.361947,2.953832,380.3665,556.3282, 0.7188732, 0.85518701, 1.03566124, 0.26204902, 0.716191351,-1.94060414,-1.3411217, 0.8076637, 1.00262436,-1.845855672, 0.405773219, 1.407809762,-1.394475962, 0.9538071
2015,horned puffin,Chowiet,horned puffin_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.03,1,16,7.647987,12.58153,6.629005,3.108869,424.1821,583.3693,-1.4457044, 1.14568142, 0.42141022, 1.71927929, 1.461841161,-0.20167359,-0.8004139,-1.3863686, 1.09282674, 0.015997775, 1.648580965, 0.560226571,-0.711031784, 1.4744664
2016,horned puffin,Chowiet,horned puffin_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.74,0,16,8.213429,13.48613,6.525558,3.414754,414.7325,571.3570, 1.5677271, 1.87910479, 1.37128205, 1.40500234, 1.130605222,-0.34364601, 0.2663947, 1.5851593, 1.58152393, 0.009199384, 1.073456969, 1.208754380, 0.525985641, 0.8624889
2017,horned puffin,Chowiet,horned puffin_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.06,0,16,6.751874,12.12438,6.183637,3.077005,355.9749,498.1615,-1.3183763,-0.01664801,-0.05861514,-0.54917384,-0.887732521,-0.81290306,-0.9115416,-1.3552966,-0.60338922,-0.312632501,-1.187990787,-0.590498685,-0.454269383,-1.4923415
