year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,horned puffin,Talan,horned puffin_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.6129,0,29,1.4211396,10.28875,7.848949,4.522423,178.3025,305.8937, 0.22353070,-0.96513058,-2.01202028,-2.12653399,-3.24591413, 0.20978772, 0.22675916,-0.39087784, 0.02753479, 0.83386703,-1.63690635,-0.621015384, 0.75227719,-2.42098127
1994,horned puffin,Talan,horned puffin_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.6400,0,29,1.2629510,10.93433,6.963613,4.573152,187.7216,339.7288, 0.34674066,-1.35553065,-0.66067155,-1.12187231,-0.38136525,-1.07693767, 0.36410472,-0.13143715,-0.43822189,-0.51076152,-0.78552248, 0.572938029, 0.79538979, 0.34551017
1996,horned puffin,Talan,horned puffin_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.5000,0,29,2.1562348,11.29484,7.559572,3.711365,193.3739,335.6124,-0.28976840, 0.84904106, 0.09396364,-0.51899077,-0.72986820,-0.21078509,-1.96912344,-0.64294586, 1.68886669, 0.29765487,-0.32038072, 1.174597936,-1.62543439,-0.09775542
1999,horned puffin,Talan,horned puffin_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.8125,0,29,1.1066960,10.85174,6.255301,4.198180,208.6746,355.7333, 1.13101076,-1.74115882,-0.83355660, 1.11301620, 0.97361324,-2.10638160,-0.65110575, 0.89160328,-0.98094286,-1.65551088, 1.18942449, 0.098522477,-0.38837577, 1.51425816
2000,horned puffin,Talan,horned puffin_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.7244,0,29,1.5911525,11.05996,7.929648,4.243604,202.3152,341.7454, 0.73046470,-0.54554884,-0.39768777, 0.43470833,-0.21063272, 0.32707414,-0.52812420, 0.59359682, 0.13293093, 0.72054256, 0.40445290, 0.390256121,-0.33971635, 0.24183914
2001,horned puffin,Talan,horned puffin_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.1553,0,29,0.8729059,10.08248,6.905707,4.757621,218.2068,357.8876,-1.85694465,-2.31813896,-2.44378630, 2.12974967, 1.15599969,-1.16109776, 0.86353976,-1.90250331,-1.72352190,-0.82486468, 2.00836855,-1.795557537, 0.98426242, 1.52359328
2002,horned puffin,Talan,horned puffin_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.5700,0,29,2.0144531,10.91579,6.513374,4.024604,219.4303,357.3451, 0.02848613, 0.49913216,-0.69947000, 2.26024506, 1.11006733,-1.73130463,-1.12104939, 0.06300631, 1.00775996,-1.45213993, 2.06327628,-0.186536322,-1.06137498, 1.39607744
2003,horned puffin,Talan,horned puffin_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.6740,0,29,1.5674270,10.83754,8.161990,4.401367,207.5861,346.2660, 0.50132144,-0.60410188,-0.86327716, 0.99691526, 0.17208873, 0.66475459,-0.10099176, 0.60469008,-0.18358986, 0.88701785, 0.73989684,-0.481218521,-0.09572866, 0.37981016
2004,horned puffin,Talan,horned puffin_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.7605,0,29,1.7405946,10.84380,8.669067,4.219570,192.3678,336.9806, 0.89459311,-0.17673455,-0.85016465,-0.62629610,-0.61403475, 1.40172856,-0.59319315, 1.05557984, 0.15353517, 1.56725734,-0.92782613,-0.594561005,-0.63570441,-0.48130722
2006,horned puffin,Talan,horned puffin_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.9050,0,29,1.6201456,11.18781,8.319591,5.239464,192.0588,335.4085, 1.55156139,-0.47399553,-0.13007265,-0.65926380,-0.74713010, 0.89380833, 2.16809532, 1.75893583,-0.23609465, 1.00276958,-0.98976740, 0.003496056, 2.08444663,-0.68610168
