year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
2008,least auklet,St. George,least auklet_St. George,Arctic,Eastern Bering Sea,0.6195652,0,13,-0.73557687,6.566785, 6.966678,6.643900,77.43370,134.1984, 0.2878863,-1.1584934,-0.9638085, 0.1223050, 0.1232435,-0.995392987, 1.1510044,-0.43108653,-0.005878562,-0.17756880, 0.150567479, 0.24151853,-0.20434948, 0.5510930
2009,least auklet,St. George,least auklet_St. George,Arctic,Eastern Bering Sea,0.7763158,0,13,-0.44789882,6.605929, 6.777709,6.317197,76.01623,126.3847, 0.9414604,-0.8329009,-0.9327944,-0.1506653,-1.0719377,-1.066106475, 0.7398806, 0.22730288, 0.185169568,-0.23350998,-0.406491614, 0.10165343,-0.29449943,-0.7732984
2010,least auklet,St. George,least auklet_St. George,Arctic,Eastern Bering Sea,0.6571429,0,13,-0.51428781,6.817097, 8.252537,5.982134,84.26032,138.8013, 0.4445669,-0.9080397,-0.7654872, 1.4369471, 0.8272924,-0.514216774, 0.3182374,-0.22227512,-0.047020098, 0.28411175, 0.980717052, 0.08360015,-0.41753257, 1.0121472
2011,least auklet,St. George,least auklet_St. George,Arctic,Eastern Bering Sea,0.8428571,0,13, 0.06474563,6.482137,10.595822,7.146625,71.91680,122.4099, 1.2189058,-0.2526927,-1.0308745,-0.9401168,-1.6799025, 0.362654747, 1.7836333, 0.64187973, 0.428769330, 1.07767501,-1.513065511,-0.38162904, 1.32410974,-1.5934062
2012,least auklet,St. George,least auklet_St. George,Arctic,Eastern Bering Sea,0.6538462,0,13,-0.86129040,6.289843, 6.269072,6.142230,84.24441,136.1709, 0.4308212,-1.3007754,-1.1832279, 1.4338843, 0.4249486,-1.256441665, 0.5197025,-0.01388850,-0.821377493,-0.67376994, 0.827901876,-0.74830568, 0.31406151, 0.4285122
2013,least auklet,St. George,least auklet_St. George,Arctic,Eastern Bering Sea,0.6406250,0,13,-0.39841127,7.182307, 6.935692,5.868866,77.59307,131.4221, 0.3756954,-0.7768912,-0.4761329, 0.1529949,-0.3014179,-1.006988091, 0.1757016, 0.10580236,-0.522064082,-0.60570520,-0.402336138,-0.27001524, 0.20157934,-0.3653613
2014,least auklet,St. George,least auklet_St. George,Arctic,Eastern Bering Sea,0.7288136,0,13, 0.61074965,8.626793, 9.618002,4.975569,81.17947,140.7646, 0.7433991, 0.3652718, 0.6683264, 0.8436496, 1.1275909,-0.003251349,-0.9484242, 0.69082314, 0.373021564, 0.16760242, 0.422655040, 0.63115811,-0.71339136, 1.0115664
2015,least auklet,St. George,least auklet_St. George,Arctic,Eastern Bering Sea,0.4823529,0,13, 0.72566209,8.291786,10.736310,5.842815,77.90119,128.4890,-0.2842227, 0.4953291, 0.4029016, 0.2123313,-0.7500595, 0.415226003, 0.1429181,-0.07698119, 0.233494937, 0.30661038, 0.009358255, 0.10796586, 0.56474214,-0.9027393
2016,least auklet,St. George,least auklet_St. George,Arctic,Eastern Bering Sea,0.0952381,0,13, 1.39138156,9.691738,10.869082,4.419928,79.59109,145.3147,-1.8983047, 1.2487868, 1.5120774, 0.5377667, 1.8235611, 0.464910192,-1.6476427,-1.38874536, 0.694862189, 0.02778488, 0.636500164, 0.94489304,-1.06139108, 1.6496519
2017,least auklet,St. George,least auklet_St. George,Arctic,Eastern Bering Sea,0.3300000,0,13, 0.65072099,8.594311,10.486352,4.958528,71.83281,131.2979,-0.9194609, 0.4105111, 0.6425911,-0.9562910,-0.3204160, 0.321690512,-0.9698677,-0.06508340,-0.458010625,-0.49298477,-0.472165981,-0.21132337,-0.24155236,-0.5001289
2018,least auklet,St. George,least auklet_St. George,Arctic,Eastern Bering Sea,0.2400000,0,13, 1.45959837,8.592383,13.742066,4.995850,67.64050,128.6593,-1.2947174, 1.3259943, 0.6410636,-1.7636302,-0.7240125, 1.539998352,-0.9229019,-0.05302139, 0.120368796, 0.29873281,-0.810428552,-0.51406234,-0.07488663,-0.8941032
2019,least auklet,St. George,least auklet_St. George,Arctic,Eastern Bering Sea,0.2900000,0,13, 1.51076133,9.658023,14.270970,5.457278,71.97362,136.7996,-1.0862416, 1.3839002, 1.4853653,-0.9291754, 0.5211095, 1.737917535,-0.3422414, 0.58527339,-0.181335525, 0.02102145, 0.576787931, 0.01454655, 0.60311018, 0.3760668
