year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1994,northern gannet,Bonaventure,northern gannet_Bonaventure,Cold Temperate Northwest Atlantic,Gulf of St. Lawrence - Eastern Scotian Shelf,0.730,0,19,1.407058,13.29158, 5.801068,2.462454,401.6890,578.2440, 0.8841206,-1.64875711,-0.83103016, 1.90538590, 1.3806412,-1.8817266, 1.07833991,-0.40337917,-0.4143106,-0.54760755, 0.92448325,-0.1551308, 0.1519303, 1.0586707
1999,northern gannet,Bonaventure,northern gannet_Bonaventure,Cold Temperate Northwest Atlantic,Gulf of St. Lawrence - Eastern Scotian Shelf,0.740,0,19,3.008951,14.79295, 8.059171,2.173222,368.0497,559.6418, 0.9290599, 0.96929007, 1.31181306, 0.65288738, 0.6095806,-0.5443679,-0.48555074, 0.13635875, 1.6386398, 0.46372853,-0.07543979, 1.5572726,-0.7792879, 0.1943217
2004,northern gannet,Bonaventure,northern gannet_Bonaventure,Cold Temperate Northwest Atlantic,Gulf of St. Lawrence - Eastern Scotian Shelf,0.729,0,19,1.706313,13.04452, 8.713815,2.342910,327.2151,506.6894, 0.8796267,-1.15967094,-1.18365127,-0.86751888,-1.5852927,-0.1566557, 0.43196326, 0.51667008,-0.9532224, 0.55045469,-1.36553944,-1.2763669, 0.6316283,-2.0482914
2005,northern gannet,Bonaventure,northern gannet_Bonaventure,Cold Temperate Northwest Atlantic,Gulf of St. Lawrence - Eastern Scotian Shelf,0.678,0,19,2.218184,13.82272, 6.656387,2.187907,350.3314,550.8053, 0.6504365,-0.32309617,-0.07295633,-0.00682283, 0.2433099,-1.3751648,-0.40614652, 0.65217023,-0.4773532,-0.94400365,-0.29680563,-0.4115823, 0.1476503,-0.2218801
2009,northern gannet,Bonaventure,northern gannet_Bonaventure,Cold Temperate Northwest Atlantic,Gulf of St. Lawrence - Eastern Scotian Shelf,0.497,0,19,2.391902,14.09178, 9.405764,2.192679,342.5988,549.1660,-0.1629639,-0.03918165, 0.31105841,-0.29473361, 0.1753592, 0.2531504,-0.38034605, 0.13840594,-0.4519487, 0.43339885,-0.39894753,-0.1812133, 0.3883123,-0.2464736
2011,northern gannet,Bonaventure,northern gannet_Bonaventure,Cold Temperate Northwest Atlantic,Gulf of St. Lawrence - Eastern Scotian Shelf,0.228,0,19,2.546355,13.48164,10.387907,2.087005,358.3464,565.8445,-1.3718298, 0.21324802,-0.55977164, 0.29160245, 0.8666824, 0.8348233,-0.95173272,-0.83587794,-0.3558334, 0.78919577, 0.35088856,-1.1134243,-0.1074831, 0.5337554
2012,northern gannet,Bonaventure,northern gannet_Bonaventure,Cold Temperate Northwest Atlantic,Gulf of St. Lawrence - Eastern Scotian Shelf,0.080,0,19,3.340242,15.26772, 8.276416,1.957296,394.7487,578.6913,-2.0369307, 1.51073431, 1.98943919, 1.64697509, 1.3991843,-0.4157048,-1.65307599,-1.33145104, 0.8875340,-0.66217167, 1.84749237, 1.4666702,-0.8725054, 1.2007117
2013,northern gannet,Bonaventure,northern gannet_Bonaventure,Cold Temperate Northwest Atlantic,Gulf of St. Lawrence - Eastern Scotian Shelf,0.366,0,19,3.314425,14.24298,10.807680,2.128508,319.0207,539.7614,-0.7516681, 1.46854011, 0.52686238,-1.17262113,-0.2144587, 1.0834332,-0.72732460, 0.05828522, 0.8934165, 0.66116369,-0.85314155, 0.1272419,-0.1497034,-0.2329285
2014,northern gannet,Bonaventure,northern gannet_Bonaventure,Cold Temperate Northwest Atlantic,Gulf of St. Lawrence - Eastern Scotian Shelf,0.426,0,19,2.100534,14.26550, 8.607166,2.389485,340.0559,533.4663,-0.4820326,-0.51537735, 0.55900960,-0.38941220,-0.4753909,-0.2198182, 0.68379381, 0.36734022,-0.9402286,-0.79285377, 0.02676082, 0.3748023, 0.9191953,-0.2683093
2017,northern gannet,Bonaventure,northern gannet_Bonaventure,Cold Temperate Northwest Atlantic,Gulf of St. Lawrence - Eastern Scotian Shelf,0.502,0,19,2.609127,13.70376,10.091225,2.338557,329.1844,541.7167,-0.1404943, 0.31583930,-0.24274183,-0.79419579,-0.1334137, 0.6591134, 0.40842343, 0.68324386, 0.1434559,-0.03965143,-0.30359819,-0.1192713, 0.1623350, 0.3447679
2018,northern gannet,Bonaventure,northern gannet_Bonaventure,Cold Temperate Northwest Atlantic,Gulf of St. Lawrence - Eastern Scotian Shelf,0.639,0,19,2.542926,13.60137, 9.212844,2.249786,353.0916,530.2808, 0.4751735, 0.20764429,-0.38888250, 0.09594837,-0.6074300, 0.1388936,-0.07156624, 1.20822276, 0.3899244,-0.66056399, 0.63870169, 0.1345306,-0.9384149, 0.1874001
2019,northern gannet,Bonaventure,northern gannet_Bonaventure,Cold Temperate Northwest Atlantic,Gulf of St. Lawrence - Eastern Scotian Shelf,0.140,0,19,1.804492,12.87952,11.720457,2.646451,321.8442,504.9167,-1.7672952,-0.99921287,-1.41914890,-1.06749474,-1.6587716, 1.6240241, 2.07322245,-1.18998892,-0.3600738, 0.74891054,-0.49485457,-0.4035285, 0.4463432,-0.5017445
