year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,northern gannet,Shetland,northern gannet_Shetland,Northern European Seas,North Sea,0.67,0,35,7.394523,13.16184,14.04811,3.464405,85.84151,144.4983,-0.8875350,-0.5646412,-2.0672537, 0.735017165,-1.064399988, 1.35892434, 1.53300630,-0.226034393, 0.43553631, 0.59571024, 1.47585746,-0.95554138, 0.96737493,-0.84252133
1994,northern gannet,Shetland,northern gannet_Shetland,Northern European Seas,North Sea,0.71,0,35,7.037432,14.03353,14.29320,3.097971,80.99288,152.7714, 0.5742874,-1.1763407,-0.5842968,-0.344535257,-0.001819285, 1.61418115, 0.43428959, 1.189334811,-0.32578307, 0.98235343, 0.29452379, 0.37039575,-0.03937545, 0.21099866
1995,northern gannet,Shetland,northern gannet_Shetland,Northern European Seas,North Sea,0.69,0,35,7.317031,14.31313,13.38873,2.915734,79.58419,167.6757,-0.1566238,-0.6973853,-0.1086276,-0.658183519, 1.912465059, 0.67219743,-0.11213203, 0.411010230, 0.01227433, 0.16303478,-0.11553049, 0.69762569,-0.49964548, 2.11526147
1996,northern gannet,Shetland,northern gannet_Shetland,Northern European Seas,North Sea,0.67,0,35,6.238953,13.43537,11.43571,2.946254,77.81989,146.0210,-0.8875350,-2.5441404,-1.6019166,-1.051005756,-0.868827517,-1.36183775,-0.02061878,-0.368274497,-1.96665681,-1.75705666,-0.59938353,-0.93552222,-0.32779539,-0.67701346
1997,northern gannet,Shetland,northern gannet_Shetland,Northern European Seas,North Sea,0.66,0,35,7.451391,14.71300,12.88294,2.757438,74.66568,155.9245,-1.2529907,-0.4672261, 0.5716484,-1.753294664, 0.403157720, 0.14542140,-0.58676753,-0.783063763,-0.01319647,-0.14457506,-1.38732801, 1.10676426,-0.81942205, 0.58302859
1998,northern gannet,Shetland,northern gannet_Shetland,Northern European Seas,North Sea,0.66,0,35,8.188291,13.61302,12.38145,3.232900,78.52136,142.2637,-1.2529907, 0.7950901,-1.2996831,-0.894822530,-1.351407883,-0.37687079, 0.83885852,-0.833357570, 1.13438770,-0.57036612,-0.60913623,-0.88726529, 0.67491134,-1.18444102
1999,northern gannet,Shetland,northern gannet_Shetland,Northern European Seas,North Sea,0.71,0,35,7.826163,14.46112,13.07466,2.884440,83.53669,146.3384, 0.5742874, 0.1747614, 0.1431370, 0.221846878,-0.828058201, 0.34510079,-0.20596180, 0.942666510, 0.40804900, 0.23938527, 0.43262805, 0.44143715,-0.30701638,-0.67495618
2000,northern gannet,Shetland,northern gannet_Shetland,Northern European Seas,North Sea,0.65,0,35,7.974217,13.64596,12.61683,3.447676,82.98673,144.7313,-1.6184463, 0.4283791,-1.2436428, 0.099396857,-1.034476167,-0.13172277, 1.48284352,-1.302281227, 0.56437863,-0.15837979, 0.24064812,-1.05087996, 1.43886679,-0.89619981
2001,northern gannet,Shetland,northern gannet_Shetland,Northern European Seas,North Sea,0.73,0,35,7.367873,13.98409,14.45857,3.091114,77.85639,148.1761, 1.3051986,-0.6102919,-0.6683992,-1.042878715,-0.592026968, 1.78640814, 0.41372876, 1.568189379,-0.56285839, 1.83008831,-0.96578213,-0.57259322, 0.42101513,-0.46953710
2002,northern gannet,Shetland,northern gannet_Shetland,Northern European Seas,North Sea,0.68,0,35,8.183003,15.21060,11.83189,2.561561,85.45139,163.3780,-0.5220794, 0.7860311, 1.4181808, 0.648156188, 1.360470143,-0.94922044,-1.17408499,-0.313223043, 0.75362052,-0.84392438, 0.66647332, 1.42561038,-1.12135027, 1.46621270
2003,northern gannet,Shetland,northern gannet_Shetland,Northern European Seas,North Sea,0.69,0,35,8.011481,15.53435,12.37877,2.345440,76.83903,157.7193,-0.1566238, 0.4922120, 1.9689706,-1.269396304, 0.633677870,-0.37965691,-1.82210047,-0.002861974, 0.38867935,-0.22146628,-1.30448341, 1.89660409,-1.72973214, 0.72171229
2004,northern gannet,Shetland,northern gannet_Shetland,Northern European Seas,North Sea,0.66,0,35,8.111609,14.56369,11.45076,2.880193,82.57380,154.0402,-1.2529907, 0.6637325, 0.3176297, 0.007458381, 0.161147522,-1.34616398,-0.21869764,-1.155283476, 0.49779981,-1.14380010,-0.07565773, 0.17404748,-0.09251045, 0.23051298
2005,northern gannet,Shetland,northern gannet_Shetland,Northern European Seas,North Sea,0.68,0,35,7.449773,14.06775,12.94042,2.981177,87.78190,148.5151,-0.5220794,-0.4699967,-0.5260871, 1.167046715,-0.548483340, 0.20529316, 0.08409234,-0.481387092,-0.68960749, 0.44310899, 1.04127682,-0.73230456, 0.23828365,-0.49874768
2006,northern gannet,Shetland,northern gannet_Shetland,Northern European Seas,North Sea,0.69,0,35,7.267125,15.02090,12.65367,2.547141,77.14599,156.0541,-0.1566238,-0.7828743, 1.0954508,-1.201051567, 0.419808503,-0.09335715,-1.21732169,-0.173906461,-1.04744124, 0.17118931,-1.36410002, 0.83517849,-1.04094102, 0.44895355
2007,northern gannet,Shetland,northern gannet_Shetland,Northern European Seas,North Sea,0.69,0,35,8.694175,14.28223,12.41275,3.382963,87.71099,143.8196,-0.1566238, 1.6616730,-0.1611990, 1.151259112,-1.151573492,-0.34426590, 1.28881038,-0.232841582, 1.36087187,-0.06171012, 0.95630732,-0.46694572, 1.48156566,-1.14397989
2008,northern gannet,Shetland,northern gannet_Shetland,Northern European Seas,North Sea,0.71,0,35,8.339017,14.68219,11.90733,2.829177,91.12785,162.5524, 0.5742874, 1.0532852, 0.5192229, 1.912028750, 1.254432101,-0.87065712,-0.37166456, 0.438174363, 0.72497197,-0.57881333, 1.69054884, 0.17658213,-0.16834941, 1.23951344
2009,northern gannet,Shetland,northern gannet_Shetland,Northern European Seas,North Sea,0.72,0,35,8.081373,14.77103,12.33889,2.890019,84.40162,152.0787, 0.9397430, 0.6119378, 0.6703711, 0.414423883,-0.090789218,-0.42118812,-0.18923420, 0.742774556, 0.26483442,-0.12877763, 0.17179109, 0.29941668, 0.01882608,-0.12918098
2010,northern gannet,Shetland,northern gannet_Shetland,Northern European Seas,North Sea,0.72,0,35,7.290786,14.27264,12.30289,2.874053,81.69181,153.8988, 0.9397430,-0.7423435,-0.1775147,-0.188918884, 0.142981630,-0.45868245,-0.23710765, 0.680958997,-1.09951509,-0.17442657,-0.44732935,-0.56820232,-0.03011699, 0.08015595
2011,northern gannet,Shetland,northern gannet_Shetland,Northern European Seas,North Sea,0.70,0,35,7.875981,14.17662,11.37745,3.249585,89.67678,148.5661, 0.2088318, 0.2600996,-0.3408709, 1.588945722,-0.541936168,-1.42250919, 0.88888913,-0.112727921,-0.09841807,-1.15512924, 1.32013282,-0.74271135, 1.08899541,-0.63015659
2012,northern gannet,Shetland,northern gannet_Shetland,Northern European Seas,North Sea,0.75,0,35,7.822141,13.90450,13.33433,3.584805,84.31628,148.3633, 2.0361098, 0.1678715,-0.8038147, 0.395422468,-0.567985647, 0.61553973, 1.89401108, 1.650814259,-0.18327042, 0.85732244, 0.12158235,-1.20822755, 2.08141825,-0.68256164
2013,northern gannet,Shetland,northern gannet_Shetland,Northern European Seas,North Sea,0.66,0,35,6.533567,14.23714,14.08012,2.684162,80.76651,154.7490,-1.2529907,-2.0394649,-0.2379002,-0.394936951, 0.252177370, 1.39226361,-0.80647740,-1.702982196,-2.37450903, 1.59972777,-0.66842907,-0.63630509,-0.63758410, 0.11028498
2014,northern gannet,Shetland,northern gannet_Shetland,Northern European Seas,North Sea,0.71,0,35,8.585929,15.20282,12.32839,2.405256,85.92042,164.1673, 0.5742874, 1.4762475, 1.4049565, 0.752587662, 1.461857822,-0.43212393,-1.64275086, 0.058639692, 1.16602313,-0.26769963, 0.48481877, 1.02114004,-1.49818617, 1.29168821
2015,northern gannet,Shetland,northern gannet_Shetland,Northern European Seas,North Sea,0.73,0,35,7.627945,13.75281,14.68136,3.378057,79.89277,145.1400, 1.3051986,-0.1647881,-1.0618626,-0.589476686,-0.981976814, 2.01844455, 1.27409919, 0.722934614,-0.44147067, 2.13110767,-0.84614712,-1.42251031, 1.38852052,-1.18138447
2016,northern gannet,Shetland,northern gannet_Shetland,Northern European Seas,North Sea,0.72,0,35,8.007032,14.82174,13.58444,2.620434,79.94105,156.8547, 0.9397430, 0.4845913, 0.7566450,-0.578726193, 0.522635751, 0.87602265,-0.99755978, 0.289902572, 0.25017256, 0.92820329,-0.81892295, 0.42774651,-0.91909657, 0.29302922
2017,northern gannet,Shetland,northern gannet_Shetland,Northern European Seas,North Sea,0.69,0,35,8.271513,14.69880,11.99195,2.758994,80.29877,150.1653,-0.1566238, 0.9376498, 0.5474962,-0.499081315,-0.336532645,-0.78252461,-0.58210130,-0.875000829, 0.75421679,-0.79954777,-0.71742917, 0.25892733,-0.54541095,-0.59729888
2018,northern gannet,Shetland,northern gannet_Shetland,Northern European Seas,North Sea,0.73,0,35,7.320413,15.14724,11.62817,2.706020,91.54736,171.2590, 1.3051986,-0.6915913, 1.3103963, 2.005432145, 2.372691611,-1.16138798,-0.74093706, 0.517324868,-0.81531658,-1.25633625, 1.81430842, 1.07073742,-0.75183430, 2.07980486
2019,northern gannet,Shetland,northern gannet_Shetland,Northern European Seas,North Sea,0.70,0,35,8.283114,14.47042,12.26550,3.217568,79.69858,145.4886, 0.2088318, 0.9575225, 0.1589640,-0.632713587,-0.937209769,-0.49762788, 0.79288892,-0.649498825, 0.90222693,-0.67922257,-0.79123797,-0.02320446, 0.72858933,-1.26317788
