year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1998,parakeet auklet,Chowiet,parakeet auklet_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.3000000,0,17,5.760583,10.877082, 9.999686,3.781303,362.7363,512.7077,-0.3180148, 0.777498239,-0.2602243, 0.81510638, 0.7738593, 1.2726557, 1.26349960, 0.31893135, 0.536548661, 0.41022074, 0.57933144,-0.31501559, 0.98975424, 0.69250451
2002,parakeet auklet,Chowiet,parakeet auklet_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.0000000,1,17,4.689467,10.726319, 9.709534,3.055792,310.5317,447.1435,-1.8392880,-0.636273335,-0.4289962,-1.05614995,-1.0253437, 0.9450336,-0.77972883,-1.37013895,-0.625621187, 0.22394522,-1.03661115,-0.29012014,-1.11633681,-0.89887018
2005,parakeet auklet,Chowiet,parakeet auklet_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.3333333,0,17,5.786934,12.324531, 7.738764,2.992001,360.5263,501.2810,-0.1489845, 0.812279043, 1.3601203, 0.73589186, 0.4602897,-1.2802359,-0.95938246, 0.16991991, 1.027502535,-1.86562523, 0.96277072, 1.65272898,-1.33756120, 0.75238137
2006,parakeet auklet,Chowiet,parakeet auklet_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.7391304,0,17,4.880208,10.730562, 9.616205,3.662004,339.5164,476.8618, 1.9087764,-0.384513926,-0.4242453,-0.01720177,-0.2098189, 0.8396530, 0.92752042, 2.09498845,-0.011749471, 0.38431514, 0.36904351,-0.01783867, 0.52906279, 0.20568072
2007,parakeet auklet,Chowiet,parakeet auklet_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.2500000,0,17,4.081790,10.430664, 9.763151,3.717370,295.1128,440.8182,-0.5715604,-1.438348813,-0.7599659,-1.60883617,-1.1989207, 1.0055751, 1.08344707,-0.50048825,-0.955073778, 0.67464120,-1.11119814,-0.27969592, 0.68600239,-0.70222344
2009,parakeet auklet,Chowiet,parakeet auklet_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.2285714,0,17,4.305578,10.412084, 8.598579,3.301708,332.6961,458.2270,-0.6802227,-1.142970029,-0.7807658,-0.26167328,-0.7211918,-0.3093863,-0.08716485,-0.70673818,-0.596214796,-0.52156392, 0.29938385,-0.26656723,-0.46230473,-0.18550711
2010,parakeet auklet,Chowiet,parakeet auklet_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.5806452,0,17,4.915583, 9.947363,10.018434,4.006660,311.9436,446.2374, 1.1051117,-0.337821864,-1.3009961,-1.00554210,-1.0502077, 1.2938243, 1.89816323, 0.99856109, 0.225383186, 1.19475550,-0.42903953,-0.79280352, 1.56662002,-0.51774575
2011,parakeet auklet,Chowiet,parakeet auklet_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.1515152,0,17,4.772449,10.440091, 8.962531,3.441946,322.0198,468.1690,-1.0709682,-0.526745213,-0.7494136,-0.64436381,-0.4483647, 0.1015653, 0.30778071,-1.24000167, 0.005879272, 0.10995782,-0.10038947,-0.28716175, 0.04112603, 0.03866418
2012,parakeet auklet,Chowiet,parakeet auklet_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.4117647,0,17,4.051620, 9.702118, 9.478703,3.724521,307.4382,435.2657, 0.2487340,-1.478170953,-1.5755353,-1.16703784,-1.3512929, 0.6843936, 1.10358523, 0.03477016,-1.023157416, 0.79459980,-0.70356537,-1.19915887, 0.92311092,-0.95190720
2013,parakeet auklet,Chowiet,parakeet auklet_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.3272727,0,17,4.638640,11.018025, 8.709033,3.072535,330.1655,483.7711,-0.1797173,-0.703360915,-0.1024462,-0.35238189,-0.0202142,-0.1846687,-0.73257726,-0.42105916,-0.372988708, 0.02170361,-0.01738495, 0.14812014,-0.80557933, 0.24931808
2014,parakeet auklet,Chowiet,parakeet auklet_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.4444444,0,17,5.687111,11.988663, 7.088130,2.940782,347.4707,506.0276, 0.4144501, 0.680521067, 0.9841328, 0.26791726, 0.5905447,-2.0148905,-1.10362809, 0.16328249, 0.839221563,-1.71799959, 0.42646500, 1.06895437,-1.04786607, 0.68801327
2015,parakeet auklet,Chowiet,parakeet auklet_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.2903226,0,17,6.124220,11.892541, 8.007260,3.020326,387.0186,543.1708,-0.3670882, 1.257463514, 0.8765291, 1.68550034, 1.6098223,-0.9770669,-0.87961162,-0.61052900, 1.197461917,-0.59530494, 1.61962523, 0.75567127,-0.67379364, 1.49301708
2016,parakeet auklet,Chowiet,parakeet auklet_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.7391304,0,17,6.543307,12.588146, 8.684368,3.196171,368.4582,535.3109, 1.9087764, 1.810619551, 1.6552232, 1.02020673, 1.3941321,-0.2125194,-0.38438660, 1.69061465, 1.484885478, 0.24846601, 0.68193511, 1.28875116,-0.00722082, 1.02084278
2017,parakeet auklet,Chowiet,parakeet auklet_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.4600000,0,17,5.165834,11.310576, 8.373605,3.073257,329.2517,461.6010, 0.4933309,-0.007514992, 0.2250496,-0.38513926,-0.6286019,-0.5634134,-0.73054464, 0.31800063,-0.646011922,-0.02885208,-1.04378104,-0.42697116,-0.16073919,-1.30058561
2018,parakeet auklet,Chowiet,parakeet auklet_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.1400000,0,17,5.274671,10.925059, 9.318533,3.451961,347.2230,491.2221,-1.1293605, 0.136140324,-0.2065162, 0.25903938, 0.1842541, 0.5035401, 0.33598469,-1.24430694,-0.862149845, 1.10602979,-0.76794623,-1.18402042, 1.11972165,-0.82863409
2019,parakeet auklet,Chowiet,parakeet auklet_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.4300000,0,17,6.066439,12.438810, 7.894791,2.884207,387.8322,544.3090, 0.3412036, 1.181198301, 1.4880498, 1.71466411, 1.6410544,-1.1040596,-1.26295660, 0.30419341,-0.223915489,-0.43928907, 0.27136102, 0.14512737,-0.24399625, 0.24505141
