year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,parakeet auklet,Talan,parakeet auklet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.7118,0,29,-0.637907132, 8.347273,6.134773,6.408856,153.3411,268.1621, 1.31577246,-0.60591547,-1.97272885,-1.78729690,-3.03326421,-1.14896239, 1.907123405, 0.93030875, 0.074973376,-0.150423520,-1.30237138,-0.48971290, 1.78419653,-2.36925608
1994,parakeet auklet,Talan,parakeet auklet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.2200,0,29,-0.686858440, 8.691098,6.499306,5.634873,158.9968,294.8514,-0.89621170,-0.82066572,-1.26809634,-1.13505996,-0.54495393,-0.74476671, 0.374510703,-1.21470064,-0.131878748, 0.159487160,-0.81923930, 0.02348221, 0.25635462,-0.00911946
1996,parakeet auklet,Talan,parakeet auklet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.4400,0,29,-0.270664439, 9.453469,7.333315,4.769613,163.3507,291.7758, 0.09328915, 1.00518465, 0.29429782,-0.63294610,-0.83170308, 0.17998766,-1.338845287,-0.16195040, 1.691898722, 0.990457785,-0.46837018, 1.40252722,-1.45131568,-0.41435523
1999,parakeet auklet,Talan,parakeet auklet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.7058,0,29,-0.929437014, 8.780308,5.574315,4.981131,178.8316,315.8423, 1.28878608,-1.88486216,-1.08527187, 1.15237028, 1.41207427,-1.77040158,-0.920004558, 1.09307056,-1.210191999,-1.053213962, 1.18356155,-0.15230337,-1.02587434, 1.72062255
2000,parakeet auklet,Talan,parakeet auklet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.5555,0,29,-0.687946963, 9.181713,6.767698,5.450381,170.2824,301.4221, 0.61277709,-0.82544108,-0.26263488, 0.16644255, 0.06764836,-0.44717135, 0.009186196, 0.47286024,-0.172785844, 0.177235019, 0.08210927, 0.50316098,-0.08916806, 0.27708410
2001,parakeet auklet,Talan,parakeet auklet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.0000,1,29,-0.964593831, 8.150176,5.421739,5.651586,185.0402,320.5845,-1.88571254,-2.03909573,-2.37665648, 1.86836731, 1.85419981,-1.93957860, 0.407605688,-1.97355611,-1.418426435,-1.407452241, 1.68636958,-1.76994501, 0.31768186, 1.97421006
2002,parakeet auklet,Talan,parakeet auklet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.1590,0,29,-0.553628675, 9.277970,5.833587,4.875876,188.5659,318.3012,-1.17057329,-0.23618441,-0.06536820, 2.27496925, 1.64132750,-1.48291948,-1.128427406,-1.21006894, 0.342527937,-1.042571876, 2.01316718, 0.39034714,-1.20900589, 1.68159929
2003,parakeet auklet,Talan,parakeet auklet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.6087,0,29,-0.629150047, 8.912215,7.744237,5.251143,180.6371,307.4523, 0.85205638,-0.56749798,-0.81494289, 1.36059021, 0.62985933, 0.63562073,-0.385336395, 0.85718328,-0.040713612, 0.984690824, 1.03684390,-0.50213544,-0.45565462, 0.60007971
2004,parakeet auklet,Talan,parakeet auklet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.1800,0,29,-0.510482530, 9.102194,8.528411,5.104180,165.7557,295.7425,-1.07612094,-0.04690151,-0.42560196,-0.35559295,-0.46187680, 1.50511740,-0.676347466,-1.03009687, 0.417983874, 1.763411231,-0.72342340,-0.24761414,-0.73549052,-0.55202080
2006,parakeet auklet,Talan,parakeet auklet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.8333,0,29,-0.573270238, 9.212362,7.444517,6.517052,164.4357,292.1813, 1.86224679,-0.32235229,-0.19982456,-0.50781909,-0.79389837, 0.30328909, 2.121367658, 1.94544267, 0.070663097, 0.471307916,-0.90187358,-0.14856812, 2.07431469,-0.93471970
2007,parakeet auklet,Talan,parakeet auklet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.7631,0,29,-0.571007370, 9.348659,7.196473,5.561117,176.0408,298.3252, 1.54650607,-0.31242504, 0.07950259, 0.83052808,-0.22108683, 0.02825667, 0.228461727, 1.66314838,-0.001250677, 0.106501730, 0.42810967, 0.01211590, 0.19441375,-0.40289845
2008,parakeet auklet,Talan,parakeet auklet_Talan,Cold Temperate Northwest Pacific,Sea of Okhotsk,0.3888,0,29,-0.449492030, 9.983758,7.389411,5.508039,161.9774,292.0213,-0.13699469, 0.22066488, 1.38106765,-0.79131803,-0.80880797, 0.24218694, 0.123358020, 0.00936869, 0.440027212, 0.231159484,-1.18424027, 1.20312609, 0.10322995,-1.02192285
