year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1995,pelagic cormorant,Aiktak,pelagic cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,2.30,0,16,3.532203,7.930229, 9.781056,3.787732,490.2084,576.4507, 1.67225163,-0.5437689,-0.7929250, 1.0411965, 0.07572154,-0.8493095,-0.02500088, 0.59202645,-1.43669745, 0.07634049,-0.68885509,-0.97451724, 0.11430349,-1.11986409
1996,pelagic cormorant,Aiktak,pelagic cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,2.00,0,16,4.282414,8.493932, 9.198836,3.920838,511.3745,627.4302, 1.31294958, 1.6420678, 0.5777230, 1.7776090, 1.86412215,-1.5160272, 0.44195770, 0.53229542, 1.17046305,-0.96263872, 0.68158212, 0.55829174, 0.54013821, 1.18685590
1997,pelagic cormorant,Aiktak,pelagic cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.33,0,16,4.180940,8.579165,10.267906,3.632155,505.4740,595.9451,-0.68716517, 1.3464089, 0.7849682, 1.5723167, 0.75960128,-0.2918027,-0.57079094,-1.20157852, 1.23135657,-0.05735263, 1.02388201, 0.89813749,-0.50890216, 0.52374558
2001,pelagic cormorant,Aiktak,pelagic cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.50,0,16,3.353321,7.858793,11.344112,4.029704,444.0655,568.1998, 0.71411283,-1.0649673,-0.9666209,-0.5642061,-0.21372526, 0.9405934, 0.82387874, 0.43261007,-0.88823864, 0.90942838,-0.65148089,-0.75041145, 0.85430792,-0.08507927
2002,pelagic cormorant,Aiktak,pelagic cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.28,0,16,3.450323,8.021603,10.415453,3.570468,450.0140,538.2796, 0.45062466,-0.7823371,-0.5707489,-0.3572482,-1.26335002,-0.1228430,-0.78719683, 0.36870228,-0.37859884,-0.36630006,-0.06979552,-0.28105979,-0.78339512,-0.84711120
2004,pelagic cormorant,Aiktak,pelagic cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.00,1,16,3.796661,8.334607,11.850057,3.878355,423.6984,558.5777,-1.08239743, 0.2267632, 0.1903226,-1.2728192,-0.55127566, 1.5199666, 0.29291997,-0.99806964, 0.79273951, 1.11754083,-0.69707137, 0.52393097, 0.27492635, 0.07564715
2006,pelagic cormorant,Aiktak,pelagic cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.00,1,16,3.591107,8.386134,11.725459,3.535191,446.7421,578.7318,-1.08239743,-0.3721450, 0.3156121,-0.4710829, 0.15574470, 1.3772846,-0.91095424,-0.86514969, 0.29129798, 0.86921323, 0.30652767, 0.66357924,-0.94591106, 0.91644264
2007,pelagic cormorant,Aiktak,pelagic cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.00,1,16,3.486184,8.439706, 9.651678,3.452430,431.2627,553.0635,-1.08239743,-0.6778521, 0.4458741,-1.0096432,-0.74471968,-0.9974644,-1.20129371,-0.76555995, 0.01828608,-1.55785828,-0.11660227, 0.77863963,-1.24838161, 0.07284454
2008,pelagic cormorant,Aiktak,pelagic cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.75,0,16,3.311293,8.380829,11.079422,3.558307,432.0619,539.5299, 1.01353120,-1.1874195, 0.3027138,-0.9818363,-1.21948678, 0.6374881,-0.82986173, 1.39662821,-0.52335753, 0.07809509,-0.05979737, 0.59071731,-0.88424857,-0.42196513
2009,pelagic cormorant,Aiktak,pelagic cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.00,1,16,3.497748,7.749766,11.024960,4.114310,444.7810,547.8950,-1.08239743,-0.6441588,-1.2317230,-0.5393151,-0.92603279, 0.5751225, 1.12068934,-0.66637111,-0.07694443, 0.07005337, 0.32528946,-1.01804192, 1.06383568,-0.22546256
