year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,pelagic cormorant,Buldir,pelagic cormorant_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.6190476,0,24,3.688806,8.157002, 7.972107,3.652708,501.1323,598.6049,-1.2330940, 0.21507039, 0.1335210, 1.44952021, 1.09089997,-2.13125745,-0.70625180,-1.0426168,-0.396360105,-0.811537381,-0.51334343, 0.22678788,-0.73274321,-0.52326092
1994,pelagic cormorant,Buldir,pelagic cormorant_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,1.2857143,0,24,3.681065,7.660133, 9.535872,4.072642,496.6567,610.4853, 0.9250871, 0.19231037,-0.9235771, 1.29089710, 1.52424942,-0.90775246, 0.56746430, 1.1099422,-0.300213545, 0.097050180,-0.32653305,-0.80934361, 0.48813560, 0.21274301
1995,pelagic cormorant,Buldir,pelagic cormorant_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,1.2142857,0,24,3.532203,7.930229, 9.781056,3.787732,490.2084,576.4507, 0.6938534,-0.24538062,-0.3489429, 1.06235642, 0.28280078,-0.71591772,-0.29670604, 0.8722775,-0.628099223, 0.002351963,-0.23341437,-0.21822025,-0.42056798,-0.74838987
1996,pelagic cormorant,Buldir,pelagic cormorant_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.7647059,0,24,4.282414,8.493932, 9.198836,3.920838,511.3745,627.4302,-0.7615587, 1.96042702, 0.8503475, 1.81252671, 2.14233239,-1.17145216, 0.10702315,-0.5903744, 1.678412465,-0.711330966, 0.81464117, 0.99308193,-0.05306799, 1.36911876
1997,pelagic cormorant,Buldir,pelagic cormorant_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,1.0909091,0,24,4.180940,8.579165,10.267906,3.632155,505.4740,595.9451, 0.2944497, 1.66206682, 1.0316830, 1.60339906, 0.99388083,-0.33500158,-0.76859240, 0.4575853, 1.471655043,-0.104644408, 0.87962466, 1.18195189,-0.95660870, 0.45630549
1998,pelagic cormorant,Buldir,pelagic cormorant_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.6206897,0,24,3.654102,7.966129,12.928103,4.719593,472.8158,565.1235,-1.2277783, 0.11303239,-0.2725636, 0.44592713,-0.13037049, 1.74636204, 2.52975747,-1.0735003, 0.005122126, 1.775339658,-0.02751024,-0.11923756, 2.32212005,-0.45464627
1999,pelagic cormorant,Buldir,pelagic cormorant_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,1.2916667,0,24,3.208892,7.165568,12.745140,4.133763,460.6419,562.4886, 0.9443565,-1.19599791,-1.9757769, 0.01446153,-0.22648053, 1.60321005, 0.75285384, 1.0889682,-1.230507918, 1.459192592,-0.23241293,-1.82387119, 0.53389934,-0.35979548
2000,pelagic cormorant,Buldir,pelagic cormorant_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,1.0833333,0,24,3.111482,7.757454,11.733089,4.170611,473.5040,572.6958, 0.2699250,-1.48240715,-0.7165254, 0.47032043, 0.14583759, 0.81137129, 0.86461997, 0.4040613,-1.452618171, 0.522743225, 0.42623478,-0.57051731, 0.64265244, 0.18114473
2001,pelagic cormorant,Buldir,pelagic cormorant_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.8593750,0,24,3.353321,7.858793,11.344112,4.029704,444.0655,568.1998,-0.4550890,-0.77134104,-0.5009234,-0.57303836,-0.01815834, 0.50703232, 0.43722947,-0.3322368,-0.686354342, 0.102178126,-0.43810933,-0.36529036, 0.22055295, 0.16343217
2002,pelagic cormorant,Buldir,pelagic cormorant_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.8939394,0,24,3.450323,8.021603,10.415453,3.570468,450.0140,538.2796,-0.3431947,-0.48612852,-0.1545431,-0.36221408,-1.10953038,-0.21955997,-0.95569546,-0.2324355,-0.355045366,-0.712255833,-0.07204447,-0.03376247,-1.15877693,-0.80399523
2003,pelagic cormorant,Buldir,pelagic cormorant_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.5342466,0,24,3.936491,8.418902, 9.755011,4.025416,445.8694,559.1517,-1.5076180, 0.94332474, 0.6907210,-0.50910626,-0.34819920,-0.73629570, 0.42422179,-1.4097607, 1.111403075,-1.288448757,-0.08747019, 0.79217194, 0.24303940, 0.05894184
2004,pelagic cormorant,Buldir,pelagic cormorant_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.9113924,0,24,3.796661,8.334607,11.850057,3.878355,423.6984,558.5777,-0.2866945, 0.53219143, 0.5113796,-1.29488982,-0.36913431, 0.90288870,-0.02183385,-0.2025479, 0.728163696, 0.319662924,-0.76556139, 0.58902344,-0.17281311, 0.11727390
2005,pelagic cormorant,Buldir,pelagic cormorant_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.8095238,0,24,4.010238,8.442513,10.584323,3.773818,473.6917,568.2816,-0.6164709, 1.16016105, 0.7409533, 0.47697209,-0.01517631,-0.08743442,-0.33890783,-0.5468438, 1.374925977,-0.673348452, 1.09021875, 0.79031259,-0.45137992, 0.52816035
