year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,pelagic cormorant,Cape Peirce,pelagic cormorant_Cape Peirce,Arctic,Eastern Bering Sea,0.91,0,27,-0.30455454,5.212766, 7.284286,7.946228,74.41480,114.3885, 1.352247788, 0.06206069, 0.56990634, 0.610494052, 0.56142462,-0.474626069, 0.2563613, 1.13053881,-0.299387969,-0.2717912,-0.51917160, 0.18489991, 1.29433763,-0.247347202
1994,pelagic cormorant,Cape Peirce,pelagic cormorant_Cape Peirce,Arctic,Eastern Bering Sea,0.87,0,27,-0.25894437,4.325902, 7.090873,6.840912,75.45156,126.5701, 1.207076058, 0.16111397,-0.47979414, 0.790338118, 2.56539612,-0.571415934,-1.0126813, 0.99528877,-0.111332018,-0.4240548,-0.14860178,-0.75529438,-0.16058885, 1.912269004
1995,pelagic cormorant,Cape Peirce,pelagic cormorant_Cape Peirce,Arctic,Eastern Bering Sea,0.15,0,27,-0.72107747,4.522909, 6.810538,6.323300,80.95986,116.6924,-1.406015096,-0.84251738,-0.24661480, 1.745849169, 0.94042760,-0.711704922,-1.6069649,-1.60533556,-1.033811464,-0.6146580, 0.98502222,-0.42297621,-0.92771659, 0.431311094
1996,pelagic cormorant,Cape Peirce,pelagic cormorant_Cape Peirce,Arctic,Eastern Bering Sea,0.53,0,27, 0.06727365,4.997605, 9.423431,6.774977,71.30761,108.3791,-0.026883654, 0.86957357, 0.31523998, 0.071499004,-0.42718293, 0.595873212,-1.0883829,-0.21119215, 0.751580612, 0.6477654,-0.52382781, 0.22765003,-0.56893896,-0.803922922
1997,pelagic cormorant,Cape Peirce,pelagic cormorant_Cape Peirce,Arctic,Eastern Bering Sea,0.54,0,27,-0.41482611,5.431331, 7.052408,6.310959,79.15063,109.9233, 0.009409279,-0.17742009, 0.82860172, 1.432006807,-0.17315565,-0.590665207,-1.6211343,-0.15734211,-0.229962709,-0.5787684, 0.98956732, 0.81941585,-1.24845493,-0.429153237
1998,pelagic cormorant,Cape Peirce,pelagic cormorant_Cape Peirce,Arctic,Eastern Bering Sea,0.43,0,27,-0.35576278,4.264503, 7.514526,7.840698,79.16716,110.0193,-0.389812981,-0.04915012,-0.55246597, 1.434874066,-0.15735431,-0.359405978, 0.1351990,-0.53646213,-0.044093158,-0.3823451, 1.13270908,-0.49361511, 0.37415367,-0.304243583
1999,pelagic cormorant,Cape Peirce,pelagic cormorant_Cape Peirce,Arctic,Eastern Bering Sea,0.47,0,27,-0.63197361,3.493144, 7.409371,7.419295,70.94073,111.3329,-0.244641250,-0.64900726,-1.46545424, 0.007857223, 0.05874606,-0.412029010,-0.3486248,-0.36864301,-0.594201503,-0.4646446,-0.16664607,-1.34893403,-0.23035512, 0.009331002
2000,pelagic cormorant,Cape Peirce,pelagic cormorant_Cape Peirce,Arctic,Eastern Bering Sea,0.71,0,27,-0.52846170,4.571798, 9.152187,7.220919,71.38423,111.2014, 0.626389135,-0.42420666,-0.18874894, 0.084789554, 0.03710487, 0.460133983,-0.5763855, 0.52757990,-0.327502884, 0.3830013, 0.02533514,-0.02492676,-0.56576108, 0.073529931
2001,pelagic cormorant,Cape Peirce,pelagic cormorant_Cape Peirce,Arctic,Eastern Bering Sea,0.49,0,27, 0.45349529,4.686250,13.466290,9.719446,59.29957,102.0148,-0.172055385, 1.70834523,-0.05328223,-2.011504104,-1.47415929, 2.619054309, 2.2922388,-0.24312695, 1.839096243, 2.5225640,-1.96852245, 0.14747457, 2.20825785,-1.363528218
2002,pelagic cormorant,Cape Peirce,pelagic cormorant_Cape Peirce,Arctic,Eastern Bering Sea,0.81,0,27,-0.40105239,5.255222, 9.004226,8.434038,69.89684,102.0682, 0.989318461,-0.14750720, 0.62015814,-0.173223536,-1.46538385, 0.386089228, 0.8164279, 0.94852970, 0.009440284, 0.2754007,-0.04041862, 0.84748217, 0.65088129,-1.292180853
2003,pelagic cormorant,Cape Peirce,pelagic cormorant_Cape Peirce,Arctic,Eastern Bering Sea,0.48,0,27, 0.32420562,5.735740,10.413239,7.968688,68.87282,103.8802,-0.208348317, 1.42756213, 1.18890398,-0.350859071,-1.16728643, 1.091205829, 0.2821475,-0.21630913, 1.602855308, 0.9714786,-0.14084372, 1.43242788, 0.04807506,-0.943145619
