year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
2002,pelagic cormorant,Middleton,pelagic cormorant_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,1.6,0,20,3.846837, 8.659313,11.191750,4.102662,300.2746,391.1101, 0.5901795,-0.75046627,-0.3131779021,-1.12381957,-0.93062430, 1.53258333,-0.68676318, 0.19220995,-1.00850326, 1.09987403,-1.1810355,-0.885612672,-0.08873570,-0.96060085
2003,pelagic cormorant,Middleton,pelagic cormorant_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,1.9,0,20,5.237775, 9.224679, 9.683310,4.601417,335.6151,424.0137, 1.0500596, 1.06244420, 0.3505883485, 0.31405331, 0.07684067,-0.54615193, 0.13842144, 0.76899799, 1.04414400,-1.01298401, 0.4325189, 0.075050489, 0.43195951, 0.21902637
2004,pelagic cormorant,Middleton,pelagic cormorant_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,0.4,0,20,4.351353, 9.342367,10.499365,4.586978,325.4658,432.6108,-1.2493409,-0.09289451, 0.4887600450,-0.09888670, 0.34007109, 0.57842843, 0.11453171,-1.42116713, 0.08704565, 0.09511585, 0.1615545, 0.465050582, 0.14952758, 0.62073599
2005,pelagic cormorant,Middleton,pelagic cormorant_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,1.2,0,20,4.776286,10.219176, 9.259742,3.560208,354.3468,442.6332,-0.0229940, 0.46095244, 1.5181746517, 1.07617240, 0.64694551,-1.12985818,-1.58424737,-0.09325742, 0.79763652,-1.61200897, 1.4448833, 1.701225073,-1.76184652, 1.03240658
2006,pelagic cormorant,Middleton,pelagic cormorant_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,1.1,0,20,4.278504, 8.785111,10.475091,4.888238,330.0347,422.2868,-0.1762874,-0.18784403,-0.1654850526, 0.08700727, 0.02396533, 0.54497792, 0.61296305,-0.15266058, 0.26408754, 0.08163121, 0.5302820, 0.179256741, 0.26871609, 0.48053954
2007,pelagic cormorant,Middleton,pelagic cormorant_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,1.6,0,20,3.549454, 8.074715,11.036234,4.948291,290.1053,379.0193, 0.5901795,-1.13806699,-0.9995235434,-1.53757027,-1.30083003, 1.31827074, 0.71231955, 0.70002388,-0.61238436, 0.89137041,-1.0534376,-0.538158891, 0.24737196,-0.80682572
2008,pelagic cormorant,Middleton,pelagic cormorant_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,1.6,0,20,3.614298, 7.643312,11.029183,5.964133,322.2038,397.2646, 0.5901795,-1.05355224,-1.5060108603,-0.23160261,-0.74218382, 1.30855431, 2.39301946, 0.77856894,-0.49561499, 0.93574265, 0.2596820,-0.973091862, 1.85331843,-0.24443244
2009,pelagic cormorant,Middleton,pelagic cormorant_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,1.4,0,20,3.399316, 8.558288,10.265992,4.156852,324.6453,407.1976, 0.2835927,-1.33375311,-0.4317858202,-0.13226761,-0.43804563, 0.25682447,-0.59710591, 0.54285468,-0.78505766,-0.04425625, 0.3324631, 0.127619012,-1.16561318, 0.02976977
2010,pelagic cormorant,Middleton,pelagic cormorant_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,0.1,1,20,4.440834, 8.108621,10.165089,5.547458,303.0968,388.6255,-1.7092210, 0.02373306,-0.9597164175,-1.00899595,-1.00670024, 0.11777287, 1.70363573,-1.38675918, 0.52169027,-0.09393461,-0.6045251,-0.418894265, 1.15226941,-0.60250384
2011,pelagic cormorant,Middleton,pelagic cormorant_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,0.5,0,20,4.183043, 8.461653,10.088298,4.537746,312.5560,410.9831,-1.0960476,-0.31226470,-0.5452397436,-0.62413727,-0.32213941, 0.01194956, 0.03307885,-0.71805840, 0.09345782,-0.09274238,-0.3136321,-0.068068783,-0.45519932,-0.01524504
2012,pelagic cormorant,Middleton,pelagic cormorant_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,0.5,0,20,3.288307, 7.710338,10.757849,4.913856,297.9707,380.0458,-1.0960476,-1.47843963,-1.4273186445,-1.21755595,-1.26939951, 0.93463697, 0.65534789,-0.67020366,-1.20644822, 0.95460284,-1.0347224,-1.058867388, 0.27610505,-1.09349020
2013,pelagic cormorant,Middleton,pelagic cormorant_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,1.9,0,20,4.148625, 8.599051, 9.645558,4.284833,318.9976,418.4958, 1.0500596,-0.35712378,-0.3839286309,-0.36205110,-0.09211166,-0.59817594,-0.38536321, 1.51608562,-0.26035991,-0.43590995,-0.3405951,-0.169265592,-0.60962351,-0.08087046
2015,pelagic cormorant,Middleton,pelagic cormorant_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,0.6,0,20,5.593846, 9.803810, 8.758425,4.210732,371.5814,480.3180,-0.9427542, 1.52653748, 1.0305157807, 1.77738243, 1.80080546,-1.82070679,-0.50796290,-0.44421855, 1.40657737,-1.49849840, 1.6037549, 1.046322089,-0.53129348, 1.61369553
2016,pelagic cormorant,Middleton,pelagic cormorant_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,0.9,0,20,5.795746,10.577266, 9.743950,4.189016,351.8804,476.0540,-0.4828741, 1.78968807, 1.9385897757, 0.97582463, 1.67024560,-0.46258559,-0.54389079, 0.04049856, 1.41150755, 0.03720748, 0.5734078, 1.710470841,-0.32034445, 1.25110149
2017,pelagic cormorant,Middleton,pelagic cormorant_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,1.6,0,20,4.575208, 9.081613, 9.596003,4.042866,326.8005,405.1054, 0.5901795, 0.19887212, 0.1826222568,-0.04458083,-0.50210742,-0.66646739,-0.78569575, 1.13071654,-0.47902524, 0.02855266,-0.7094930,-0.334490433,-0.26932530,-1.18696873
