year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,pelagic cormorant,SE Farallon,pelagic cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.00,1,50,14.01865,15.62305, 1.997962, 5.476389,567.6795,618.8058,-1.08810767, 1.05398323, 0.5471499, 0.37949559, 0.42861884,-2.32098794,-2.2165142,-0.44173709,-0.0815880339,-0.83335642,-0.30930871,-0.002863657,-1.42142411,-0.13145024
1994,pelagic cormorant,SE Farallon,pelagic cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.86,0,50,13.65462,15.00569, 4.041293, 7.662410,559.6811,572.8192,-0.13904824, 0.58064656,-0.4322605, 0.20269706,-0.67289554,-1.55184909,-0.7682593, 0.34718362,-0.2975525743,-0.32573879,-0.41618604,-0.831799423,-0.13186967,-1.16843781
1995,pelagic cormorant,SE Farallon,pelagic cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,1.21,0,50,13.70058,15.58111, 3.894263, 7.723359,583.4438,634.3070, 0.24719687, 0.64040876, 0.4806115, 0.72795293, 0.79991959,-1.60719354,-0.7278805, 0.58597875,-0.0008207121,-0.62495389, 0.17695869, 0.218567227,-0.23848657, 0.36633077
1996,pelagic cormorant,SE Farallon,pelagic cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.13,0,50,14.03102,14.90129, 7.395281,10.803627,609.5727,615.9502,-0.94464520, 1.07007562,-0.5978935, 1.30550962, 0.36021968,-0.28936045, 1.3128198,-0.74062455, 0.6454133578, 0.46665910, 0.82037188,-0.735423051, 1.66692279,-0.01398903
1997,pelagic cormorant,SE Farallon,pelagic cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.91,0,50,13.51656,16.25647,11.538177, 8.413109,611.1508,679.5958,-0.08387037, 0.40113526, 1.5520359, 1.34039219, 1.88472048, 1.27008431,-0.2709158,-0.00192220, 0.1726377525, 1.81753433, 0.91907860, 1.526041253,-0.04039901, 1.56731853
1998,pelagic cormorant,SE Farallon,pelagic cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.06,1,50,13.82535,15.81574, 3.968340, 6.876354,592.8579,661.7381,-1.02189422, 0.80263918, 0.8528471, 0.93604408, 1.45697686,-1.57930973,-1.2890270,-1.04932978, 0.7499039706,-1.22277867, 0.57652230, 0.925407480,-1.17039161, 1.19380833
1999,pelagic cormorant,SE Farallon,pelagic cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,1.27,0,50,11.85969,14.49075,13.119591,10.550414,482.9889,534.8279, 0.31341032,-1.75324644,-1.2491968,-1.49252286,-1.58290104, 1.86535103, 1.1450641, 0.18927978,-1.6506218181, 2.04861368,-1.79228519,-1.091061338, 1.16352283,-1.79440951
2000,pelagic cormorant,SE Farallon,pelagic cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,1.22,0,50,13.14285,15.15197, 7.530364,10.019185,549.1481,615.8644, 0.25823245,-0.08478829,-0.2001905,-0.03012590, 0.35816355,-0.23851338, 0.7931214, 0.05009568, 0.1527937037,-0.21086857,-0.27216114, 0.030540101, 0.72310830, 0.19574180
2001,pelagic cormorant,SE Farallon,pelagic cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,2.26,0,50,12.44912,14.90961, 9.116040, 9.071406,498.3613,559.4778, 1.40593223,-0.98683090,-0.5846912,-1.15272891,-0.99246288, 0.35835752, 0.1652105, 1.12647798,-0.6346939940, 0.24803505,-1.33906940,-0.294345376, 0.01843021,-1.10837126
2002,pelagic cormorant,SE Farallon,pelagic cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,2.59,0,50,12.39765,14.53399, 9.529252, 9.426141,538.1713,576.1241, 1.77010619,-1.05374483,-1.1805897,-0.27276003,-0.59373457, 0.51389658, 0.4002255, 1.43202322,-0.6074554720, 0.28325740,-0.40543813,-0.843608412, 0.18838284,-0.66570294
2003,pelagic cormorant,SE Farallon,pelagic cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,2.21,0,50,13.40312,15.56238, 7.936668, 9.395223,592.0703,632.7476, 1.35075435, 0.25363067, 0.4509052, 0.91863423, 0.76256723,-0.08557474, 0.3797420, 0.96673140, 0.7736700338,-0.41888007, 0.83758619, 0.821541920, 0.11454182, 0.73196553
2004,pelagic cormorant,SE Farallon,pelagic cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,2.31,0,50,13.41176,15.71788, 9.424785, 9.405775,624.0299,672.9701, 1.46111010, 0.26486307, 0.6975887, 1.62507571, 1.72601494, 0.47457358, 0.3867329, 1.04383593, 0.8382499630, 0.05625266, 1.59362536, 1.088900942, 0.07987986, 1.73420657
2005,pelagic cormorant,SE Farallon,pelagic cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.00,1,50,14.00450,15.45570, 5.511635,10.114910,598.8531,648.4708,-1.08810767, 1.03558672, 0.2816508, 1.06856282, 1.13918406,-0.99839182, 0.8565396,-1.52594432, 1.6419186995,-1.48407776, 1.08467781, 0.680658746, 0.51973848, 1.18359566
2006,pelagic cormorant,SE Farallon,pelagic cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.09,1,50,13.08329,15.42320, 7.976605, 9.532657,588.9326,619.4843,-0.98878750,-0.16222831, 0.2300937, 0.84927850, 0.44487075,-0.07054178, 0.4707926,-1.43449788, 0.4566462844,-0.60594219, 0.91092648, 0.623817437, 0.11574810, 0.52292898
2007,pelagic cormorant,SE Farallon,pelagic cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.12,0,50,12.59451,15.08651,11.676087, 9.388765,502.7288,572.1961,-0.95568078,-0.79778240,-0.3040520,-1.05618761,-0.68782262, 1.32199561, 0.3754634,-1.39657613,-0.1867676452, 0.75453130,-0.95103899, 0.071407563, 0.01388042,-0.57869111
2008,pelagic cormorant,SE Farallon,pelagic cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.41,0,50,11.74946,14.40017,11.748959, 9.458555,505.7014,545.0995,-0.63564911,-1.89656651,-1.3928866,-0.99048070,-1.33686469, 1.34942574, 0.4217001,-1.05904068,-1.3138140569, 0.76754809,-0.84386378,-1.048671065, 0.06528329,-1.19923325
2009,pelagic cormorant,SE Farallon,pelagic cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,1.77,0,50,12.18924,15.20092, 9.375265, 7.652820,492.5780,567.4498, 0.86518906,-1.32473453,-0.1225379,-1.28056447,-0.80150886, 0.45593347,-0.7746129, 0.47199001,-0.7906468298,-0.12270695,-1.09451162, 0.177453673,-1.11415875,-0.63795084
2010,pelagic cormorant,SE Farallon,pelagic cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,2.01,0,50,12.92462,14.13276, 7.855275,10.216362,571.9749,564.3516, 1.13004286,-0.36854317,-1.8171199, 0.47444199,-0.87571987,-0.11621226, 0.9237524, 0.77972508, 0.0964773096,-0.67396489, 0.69789843,-1.574332189, 0.61278233,-0.68880862
2011,pelagic cormorant,SE Farallon,pelagic cormorant_SE Farallon,Cold Temperate Northeast Pacific,Northern California,1.09,0,50,12.45987,14.61007, 9.600751, 9.163752,548.0874,599.0918, 0.11476998,-0.97285256,-1.0599015,-0.05357183,-0.04358913, 0.54080979, 0.2263907,-0.17997777,-0.5973017561, 0.02159551, 0.20525584,-0.887297512,-0.04429889, 0.16410201
