year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1994,pelagic cormorant,St. Lazaria,pelagic cormorant_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.25000000,0,23,7.870519,12.92300,4.968002,2.121544,499.0740,652.3109,-0.7904546, 0.294953401, 0.15678959, 1.71683127, 1.36643706,-2.24916498,-2.223772798,-1.3582362,-0.57892797,-0.88302413, 0.92635783,-0.12692723,-0.74785168, 0.60901802
1995,pelagic cormorant,St. Lazaria,pelagic cormorant_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.56000000,0,23,7.915730,12.67619,6.365473,2.662669,448.0902,595.4359,-0.2379692, 0.354308812,-0.13946517,-0.14659890,-0.40943723,-0.76962897,-1.244362337,-0.7713485,-0.25369468, 0.25611795,-0.69139149,-0.26984228,-0.10797457,-0.93745345
1996,pelagic cormorant,St. Lazaria,pelagic cormorant_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,2.20000000,0,23,7.702041,12.34850,5.813007,2.793038,463.0004,614.5739, 2.6848565, 0.073765905,-0.53281220, 0.39835936, 0.18813032,-1.35453751,-1.008399465, 2.1891850,-0.29575737,-0.63764172, 0.07368796,-0.52879747,-0.18169964,-0.13407324
1997,pelagic cormorant,St. Lazaria,pelagic cormorant_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.78651685,0,23,7.786227,13.70605,6.808420,2.515358,475.0793,640.4620, 0.1657316, 0.184289792, 1.09673537, 0.83983667, 0.99646473,-0.30066968,-1.510987141,-0.2889266, 0.02584907, 0.13891776, 0.70972681, 1.21619408,-0.96412983, 0.85648368
1998,pelagic cormorant,St. Lazaria,pelagic cormorant_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,1.06060606,0,23,8.691814,12.89201,6.897675,3.783053,440.0561,624.9947, 0.6542163, 1.373193042, 0.11959551,-0.44024142, 0.51351105,-0.20617374, 0.783480624, 0.2438770, 1.39843721,-0.01235186,-0.40134938, 0.33555035, 1.08034083, 0.53216236
1999,pelagic cormorant,St. Lazaria,pelagic cormorant_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,1.16875000,0,23,7.117924,11.28512,9.417112,4.425172,421.7463,563.9230, 0.8469516,-0.693092381,-1.80924722,-1.10945713,-1.39340442, 2.46121476, 1.945685429, 0.4842366,-0.51156098, 2.44081388,-0.92712285,-1.51574412, 2.02239394,-1.23971089
2000,pelagic cormorant,St. Lazaria,pelagic cormorant_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,1.73684211,0,23,7.220901,12.40704,7.108944,3.486138,406.5521,582.5499, 1.8594115,-0.557899893,-0.46254271,-1.66479579,-0.81179268, 0.01750223, 0.246078947, 1.5476263,-0.24747892,-0.18557862,-1.36457891,-0.11043920, 0.13248119,-0.54664709
2001,pelagic cormorant,St. Lazaria,pelagic cormorant_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.94238683,0,23,7.036175,11.93238,7.745115,3.842710,424.3662,560.3499, 0.4435247,-0.800417651,-1.03230684,-1.01369968,-1.50497145, 0.69103077, 0.891457683, 0.1859748,-0.38850478, 0.33681274,-0.62115985,-0.64055077, 0.61739907,-1.15196395
2003,pelagic cormorant,St. Lazaria,pelagic cormorant_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.89440994,0,23,7.999471,12.96210,7.454864,3.637580,450.2892,609.5718, 0.3580198, 0.464248226, 0.20372448,-0.06622821, 0.03194392, 0.38373595, 0.520181839, 0.1580106, 0.95025534,-0.09007647, 0.39307492, 0.61618525, 0.11550778, 0.44922318
2004,pelagic cormorant,St. Lazaria,pelagic cormorant_St. Lazaria,Cold Temperate Northeast Pacific,North American Pacific Fijordland,0.18243243,0,23,8.110070,13.98660,7.267984,3.347007,475.3551,638.7941,-0.9108742, 0.609448720, 1.43348623, 0.84991833, 0.94438629, 0.18588095,-0.005742565,-1.0500371, 1.14215242,-0.37598307, 1.35042512, 1.84770384,-0.51118666, 1.40234716
