year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
2008,pelagic cormorant,Yaquina Head,pelagic cormorant_Yaquina Head,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",0.84,0,14, 8.971978,13.08254,8.128401,8.119981,519.4392,634.8408,-0.34422187,-1.40461055,-1.72666261,-0.4527001,-2.18382164, 1.82608776, 1.1226100, 0.6510297, 0.21319381, 0.214541988, 0.45589647,-0.1750921, 0.48047572,-0.49095635
2009,pelagic cormorant,Yaquina Head,pelagic cormorant_Yaquina Head,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",0.14,0,14, 9.196923,14.05067,7.563366,7.451936,511.6649,668.1783,-1.17102929,-1.15363446,-0.36005665,-0.6978653,-0.66226404, 1.39776657, 0.2972555,-0.3787803,-0.04837296, 0.319618605,-0.19773534, 0.8131377,-0.20089579, 0.39474284
2010,pelagic cormorant,Yaquina Head,pelagic cormorant_Yaquina Head,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",0.35,0,14,10.252601,13.22544,4.837536,8.428863,548.3905,686.2377,-0.92298706, 0.02420734,-1.52494149, 0.4602921, 0.16198706,-0.66852948, 1.5042275,-0.3166724, 0.68244497,-1.285396481, 0.62493562,-0.7012416, 1.14188987, 0.68155493
2011,pelagic cormorant,Yaquina Head,pelagic cormorant_Yaquina Head,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",0.00,1,14, 9.449219,14.05034,5.767523,6.181784,521.8140,689.8008,-1.33639078,-0.87214266,-0.36052575,-0.3778103, 0.32460973, 0.03644009,-1.2719894,-0.8989422,-0.59540993,-0.191262793,-0.47567311, 0.1425615,-1.50668290, 0.40515802
2012,pelagic cormorant,Yaquina Head,pelagic cormorant_Yaquina Head,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",1.06,0,14, 9.394952,13.75401,6.725525,6.336493,489.1906,653.7520,-0.08436810,-0.93268911,-0.77881933,-1.4066042,-1.32069685, 0.76264729,-1.0808490, 0.2012828,-0.97194229, 0.851991681,-1.69399306,-0.5674631,-1.19606768,-1.58074872
2013,pelagic cormorant,Yaquina Head,pelagic cormorant_Yaquina Head,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",2.13,0,14, 9.941019,14.25050,6.649047,6.875730,542.2587,695.4656, 1.17946610,-0.32343134,-0.07798313, 0.2669243, 0.58315905, 0.70467357,-0.4146336, 1.3303877,-0.61315144, 1.038948383,-0.13701051,-0.1294761,-0.41854686, 0.08092643
2014,pelagic cormorant,Yaquina Head,pelagic cormorant_Yaquina Head,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",1.21,0,14,10.969389,14.77964,4.094725,8.190560,547.1231,700.7642, 0.09280492, 0.82394250, 0.66894394, 0.4203257, 0.82499240,-1.23161220, 1.2098085, 0.1260654, 0.34927445,-0.724523803,-0.02717484, 0.3834834, 1.30903126, 0.17899847
2015,pelagic cormorant,Yaquina Head,pelagic cormorant_Yaquina Head,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",0.00,1,14,11.793207,15.27268,4.991699,6.980357,600.2339,706.9095,-1.33639078, 1.74309412, 1.36491166, 2.0951989, 1.10546985,-0.55166754,-0.2853704,-1.4037230, 1.14899712, 0.056117590, 1.67711273, 0.8743654,-0.09118092, 0.41413401
2016,pelagic cormorant,Yaquina Head,pelagic cormorant_Yaquina Head,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",1.37,0,14,11.515342,14.69182,4.694387,7.679067,580.4429,710.1066, 0.28178947, 1.43307372, 0.54498386, 1.4710810, 1.25139025,-0.77704282, 0.5778710, 0.1309328, 0.78506674,-0.140677808, 1.15538948,-0.1217665, 0.85885765, 0.61313192
2017,pelagic cormorant,Yaquina Head,pelagic cormorant_Yaquina Head,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",1.65,0,14,10.282094,14.48218,4.015949,6.895217,507.0684,676.4041, 0.61251244, 0.05711311, 0.24905710,-0.8428186,-0.28682714,-1.29132825,-0.3905586, 0.3951997,-0.57928486,-0.698500202,-0.98313538,-0.5650156,-0.03094405,-0.77358854
2018,pelagic cormorant,Yaquina Head,pelagic cormorant_Yaquina Head,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",2.27,0,14,10.466318,14.82104,5.831449,7.420764,522.4726,683.7975, 1.34482759, 0.26265582, 0.72738221,-0.3570416, 0.05061332, 0.08489892, 0.2587438, 1.0781270,-0.29661414, 0.562073165,-0.24900344,-0.2051311, 0.68881681,-0.18623174
2019,pelagic cormorant,Yaquina Head,pelagic cormorant_Yaquina Head,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",0.61,0,14,10.537810,15.20807,5.333808,5.975284,515.4348,686.0055,-0.61588716, 0.34242151, 1.27371018,-0.5789819, 0.15138800,-0.29233391,-1.5271152,-0.9149072,-0.07420147,-0.002930326,-0.14960863, 0.2516380,-1.03475310, 0.26287872
