year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,pigeon guillemot,SE Farallon,pigeon guillemot_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.46,0,51,14.01865,15.74548, 1.997962, 5.413764,567.6795,625.3721,-0.7740573, 1.05398323, 0.22059325, 0.37949559, 0.30961277,-2.32098794,-2.0489008,-0.08927246,-0.0815880339,-0.83335642,-0.30930871,-0.37135729,-1.29215783,-0.33282415
1994,pigeon guillemot,SE Farallon,pigeon guillemot_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.49,0,51,13.65462,15.52390, 4.041293, 7.048750,559.6811,591.4478,-0.7035628, 0.58064656,-0.11950183, 0.20269706,-0.51663574,-1.55184909,-0.8480486,-0.17336565,-0.2975525743,-0.32573879,-0.41618604,-0.54140147,-0.24531041,-1.06356008
1995,pigeon guillemot,SE Farallon,pigeon guillemot_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.85,0,51,13.70058,15.90719, 3.894263, 7.529771,583.4438,644.0861, 0.1423713, 0.64040876, 0.46879601, 0.72795293, 0.76540529,-1.60719354,-0.4947516, 0.53131405,-0.0008207121,-0.62495389, 0.17695869, 0.20200533,-0.03452284, 0.30846220
1996,pigeon guillemot,SE Farallon,pigeon guillemot_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.46,0,51,14.03102,15.17303, 7.395281,10.206949,609.5727,626.0688,-0.7740573, 1.07007562,-0.65804934, 1.30550962, 0.32658350,-0.28936045, 1.4715621,-0.51303552, 0.6454133578, 0.46665910, 0.82037188,-0.78467302, 1.80077656,-0.04590966
1997,pigeon guillemot,SE Farallon,pigeon guillemot_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.68,0,51,13.51656,16.80397,11.538177, 7.220430,611.1508,703.0735,-0.2570976, 0.40113526, 1.84526901, 1.34039219, 2.20208323, 1.27008431,-0.7219544,-0.11066350, 0.1726377525, 1.81753433, 0.91907860, 1.84387039,-0.51225892, 1.90850868
1998,pigeon guillemot,SE Farallon,pigeon guillemot_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.05,1,51,13.82535,16.03948, 3.968340, 6.585597,592.8579,667.0316,-1.7374822, 0.80263918, 0.67185194, 0.93604408, 1.32425948,-1.57930973,-1.1882215,-1.69230242, 0.7499039706,-1.22277867, 0.57652230, 0.78073642,-1.08654978, 1.10407222
1999,pigeon guillemot,SE Farallon,pigeon guillemot_SE Farallon,Cold Temperate Northeast Pacific,Northern California,1.14,0,51,11.85969,14.87515,13.119591, 9.807602,482.9889,551.1514, 0.8238181,-1.75324644,-1.11527260,-1.49252286,-1.49808015, 1.86535103, 1.1782524, 0.78107689,-1.6506218181, 2.04861368,-1.79228519,-0.91104697, 1.18339570,-1.65041145
2000,pigeon guillemot,SE Farallon,pigeon guillemot_SE Farallon,Cold Temperate Northeast Pacific,Northern California,1.18,0,51,13.14285,15.45258, 7.530364, 9.026373,549.1481,619.4345, 0.9178108,-0.08478829,-0.22897895,-0.03012590, 0.16499855,-0.23851338, 0.6044610, 0.80048190, 0.1527937037,-0.21086857,-0.27216114, 0.05564590, 0.52457101, 0.07499190
2001,pigeon guillemot,SE Farallon,pigeon guillemot_SE Farallon,Cold Temperate Northeast Pacific,Northern California,1.32,0,51,12.44912,15.19371, 9.116040, 8.532316,498.3613,572.7546, 1.2467851,-0.98683090,-0.62630928,-1.15272891,-0.97192111, 0.35835752, 0.2415898, 1.06820192,-0.6346939940, 0.24803505,-1.33906940,-0.27622718, 0.08816181,-1.00513444
2002,pigeon guillemot,SE Farallon,pigeon guillemot_SE Farallon,Cold Temperate Northeast Pacific,Northern California,1.46,0,51,12.39765,14.86246, 9.529252, 8.462177,538.1713,586.5574, 1.5757595,-1.05374483,-1.13474646,-0.27276003,-0.63574314, 0.51389658, 0.1900749, 1.34925529,-0.6074554720, 0.28325740,-0.40543813,-0.73414905,-0.02539580,-0.61769447
