year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,razorbill,Hornoya,razorbill_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.79411765,0,29,4.957812, 9.054296,16.86423,5.806679,161.1390,283.7424, 0.6852256,-0.77877919,-1.04691729,-2.2319878687,-0.7156704, 2.5818810, 1.35131176,-0.51056383, 0.84477156, 2.021831817,-1.61085272,-0.263315473, 1.11472142,-0.43336541
1996,razorbill,Hornoya,razorbill_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.80952381,0,29,4.390482, 8.714890,14.47150,4.771484,175.5172,274.7369, 0.7483195,-2.29227767,-1.73096641, 0.0005677255,-1.3561107,-0.1168119, 0.05203419,-0.27161391,-0.98131574,-0.585391668, 0.48611447,-1.096134853,-0.02178286,-1.14045884
1997,razorbill,Hornoya,razorbill_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.84090909,0,29,4.442390, 9.205443,12.83367,4.882089,170.1544,287.1180, 0.8768538,-2.15379912,-0.74229196,-0.8321238667,-0.4756102,-1.9640759, 0.19085497, 0.02363866,-1.13173127,-2.346905906,-0.47070063,-0.245109432, 0.25877508,-0.32064634
1999,razorbill,Hornoya,razorbill_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.77500000,0,29,5.001371, 9.248852,15.09151,4.210381,183.6988,303.9694, 0.6069318,-0.66257373,-0.65480313, 1.2709667797, 0.7227875, 0.5824791,-0.65220936,-0.08870270, 0.09429479, 0.279679097, 1.51973141,-0.284148404,-0.46358822, 0.82302833
2002,razorbill,Hornoya,razorbill_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.78000000,0,29,5.262785,10.313937,15.21087,3.463566,181.8175,322.4602, 0.6274087, 0.03481711, 1.49179994, 0.9788460920, 2.0377831, 0.7171082,-1.58954006, 0.08021702, 0.55018102, 0.488618548, 1.12641703, 1.747048090,-1.30125402, 2.08926592
2003,razorbill,Hornoya,razorbill_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.78688525,0,29,5.227861,10.033665,15.15009,3.793700,170.6501,298.8317, 0.6556063,-0.05835287, 0.92693181,-0.7551665694, 0.3574152, 0.6485482,-1.17518692, 0.24771980, 0.23920119, 0.488649163,-0.69732443, 1.077894609,-0.80827212, 0.36610503
2004,razorbill,Hornoya,razorbill_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.82352941,0,29,5.540072,10.128011,13.99523,3.731670,175.3615,297.2754, 0.8056776, 0.77455217, 1.11707936,-0.0235938179, 0.2467371,-0.6539817,-1.25304148, 0.52795858, 0.87799112,-0.751009875,-0.04401558, 1.174878030,-0.82853404, 0.21859903
2005,razorbill,Hornoya,razorbill_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.83000000,0,29,5.390583, 9.675997,14.25720,4.631017,181.4847,295.7098, 0.8321771, 0.37575127, 0.20607747, 0.9271703260, 0.1354030,-0.3585128,-0.12426688, 0.67548776, 0.30876985,-0.398389875, 0.83994957, 0.181833244, 0.33679705, 0.07640202
2006,razorbill,Hornoya,razorbill_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.68750000,0,29,5.569406, 9.471920,14.18187,4.587588,181.8585,283.0572, 0.2485872, 0.85280715,-0.20522629, 0.9852196305,-0.7644032,-0.4434735,-0.17877487, 0.20378991, 0.63910009,-0.431919130, 0.84266478,-0.300392182, 0.29780943,-0.84830201
2007,razorbill,Hornoya,razorbill_Hornoya,Northern European Seas,Northern Norway and Finnmark,0.53225806,0,29,5.480755, 9.670563,15.34248,4.611035,169.8142,289.5803,-0.3871856, 0.61630828, 0.19512609,-0.8849602663,-0.3005012, 0.8655419,-0.14934611,-0.32922856, 0.27957033, 0.922808036,-1.07138431, 0.040159753, 0.32172244,-0.40333282
