year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1995,razorbill,Machias Seal,razorbill_Machias Seal,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.6896552,0,27,6.233115,14.39700, 9.695049,2.192229,230.7518,404.8833, 1.41418514, 0.13881589,-0.42992045,-0.101459801,-0.72137579,-1.3787628, 0.7751977, 0.125218741, 0.73339628,-0.06449263,-1.06156134, 0.4357608171, 1.46007049,-1.06654491
1996,razorbill,Machias Seal,razorbill_Machias Seal,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.4166667,0,27,4.983557,13.08090,11.582980,1.981263,267.4631,438.4458,-0.99925475,-1.30767913,-2.04098232, 1.091040346, 0.72033372,-0.8490743,-0.4937133,-2.134814436,-0.71813100, 0.29228706, 0.21836701,-1.2447141826, 0.10641463, 0.46474960
1997,razorbill,Machias Seal,razorbill_Machias Seal,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.7222222,0,27,5.136890,14.09734,11.374172,2.184856,272.6712,422.4927, 1.70210428,-1.13018007,-0.79673423, 1.260216088, 0.03505127,-0.9076588, 0.7308540, 0.712674478,-0.55147066, 0.06906158, 0.47400316,-0.0702349135, 1.24984658,-0.13888101
1998,razorbill,Machias Seal,razorbill_Machias Seal,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.7000000,0,27,5.009183,14.21210, 8.945630,1.766792,314.6857,479.9093, 1.50564181,-1.27801406,-0.65625530, 2.624982698, 2.50143741,-1.5890240,-1.7837136, 0.655065064,-0.71594981,-0.76867690, 1.92426238, 0.0001194929,-1.34224706, 2.40122380
1999,razorbill,Machias Seal,razorbill_Machias Seal,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.6727273,0,27,6.632388,15.96908,13.617596,1.865415,233.5727,428.6159, 1.26452877, 0.60101601, 1.49450016,-0.009826681, 0.29808035,-0.2782314,-1.1905174, 0.545528262, 1.14062866, 0.39401023,-0.62602218, 2.0803947455,-0.82296746, 0.26365226
2000,razorbill,Machias Seal,razorbill_Machias Seal,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.6307692,0,27,7.051863,14.48490,15.160431,1.837680,213.0105,385.6949, 0.89358563, 1.08660234,-0.32231683,-0.677752373,-1.54563189, 0.1546351,-1.3573371, 0.298884540, 1.59795694, 0.68703901,-1.21039084, 0.1927418598,-1.06009443,-1.52220763
2001,razorbill,Machias Seal,razorbill_Machias Seal,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.5740741,0,27,5.924826,14.40191,12.915184,1.811422,272.5221,425.1549, 0.39235445,-0.21806110,-0.42390620, 1.255374201, 0.14940833,-0.4753039,-1.5152721,-0.085324058, 0.25922899,-0.07446988, 0.80532498, 0.0199609002,-1.28472726, 0.22275179
2002,razorbill,Machias Seal,razorbill_Machias Seal,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.6415094,0,27,6.262934,14.86017,12.138706,2.002049,263.7588,425.4010, 0.98853774, 0.17333419, 0.13706292, 0.970714327, 0.15998081,-0.6931567,-0.3686951, 0.620605003, 0.61075332,-0.41562487, 0.60228655, 0.5093827370,-0.20123864, 0.27531029
2003,razorbill,Machias Seal,razorbill_Machias Seal,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.5322581,0,27,4.939843,14.40736,15.571408,2.031186,218.9170,390.0646, 0.02266699,-1.35828262,-0.41723414,-0.485891762,-1.35792960, 0.2699409,-0.1934381,-0.242796807,-0.96654088, 0.43243839,-0.77366588,-0.1168173029,-0.08546070,-1.20854725
2004,razorbill,Machias Seal,razorbill_Machias Seal,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.6875000,0,27,4.640307,13.31698,13.866875,1.890997,206.1215,396.5631, 1.39513166,-1.70502700,-1.75198635,-0.901530064,-1.07877809,-0.2082921,-1.0366470, 1.224859978,-1.36476911,-0.15256120,-1.10961832,-1.5238281819,-0.98453919,-0.90327603
2005,razorbill,Machias Seal,razorbill_Machias Seal,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.4523810,0,27,5.263735,14.04984,10.900390,2.159302,226.3807,420.1033,-0.68351149,-0.98334280,-0.85488019,-0.243446269,-0.06758737,-1.0405858, 0.5771479,-0.765867881,-0.70037522,-1.08335368,-0.37281646,-0.6993363880, 0.57699559, 0.12610123
2006,razorbill,Machias Seal,razorbill_Machias Seal,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.5555556,0,27,6.080853,14.72747,12.922980,2.120955,245.2432,438.4074, 0.22863572,-0.03744399,-0.02538659, 0.369267742, 0.71868195,-0.4731166, 0.3465046, 0.226917792, 0.18242686,-0.60611554, 0.31764784, 0.0571871642, 0.29770151, 0.92262393
2007,razorbill,Machias Seal,razorbill_Machias Seal,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.4166667,0,27,5.063908,13.59163,18.880698,2.202854,231.5391,388.8523,-0.99925475,-1.21466353,-1.41578147,-0.075883666,-1.41000333, 1.1984138, 0.8391071,-0.927611033,-1.06369588, 0.98345159,-0.05072108,-1.4065334611, 0.74526254,-1.20374112
2008,razorbill,Machias Seal,razorbill_Machias Seal,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,0.5576923,0,27,5.768698,14.32765,16.174581,2.434482,242.4163,412.6365, 0.24752634,-0.39879555,-0.51481371, 0.277441365,-0.38833029, 0.4391706, 2.2322985, 0.385254878,-0.32253755, 0.15051290, 0.37841865,-0.5792471473, 2.09702196,-0.18768103
