year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1997,red-faced cormorant,Aiktak,red-faced cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.6,0,14,4.180940,8.579165,10.267906,3.632155,505.4740,595.9451,-0.32312858, 1.2217584, 0.57824632, 1.7523453, 0.89379317,-0.33963783,-0.45463474,-0.6371019, 0.89548911,-0.5996577, 1.08387667, 0.39614541, 0.04745346, 0.67579258
2001,red-faced cormorant,Aiktak,red-faced cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.5,0,14,3.353321,7.858793,11.344112,4.029704,444.0655,568.1998, 1.03401146,-1.0722834,-0.95157122,-0.5025981,-0.12256136, 1.02087817, 0.80398231, 0.8835081,-1.00962836, 0.6925063,-0.67583242,-0.85785863, 1.02088248, 0.01257705
2002,red-faced cormorant,Aiktak,red-faced cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.8,0,14,3.450323,8.021603,10.415453,3.570468,450.0140,538.2796, 1.48639147,-0.8034055,-0.60582125,-0.2841692,-1.21858704,-0.15311309,-0.64992984, 1.4705665,-0.43650846,-0.5227481,-0.06026741,-0.29824464,-0.66623179,-0.81020973
2004,red-faced cormorant,Aiktak,red-faced cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.0,1,14,3.796661,8.334607,11.850057,3.878355,423.6984,558.5777,-1.22788861, 0.1565932, 0.05888976,-1.2504874,-0.47503390, 1.66048298, 0.32481956,-1.1378269, 0.74305008, 1.2766735,-0.72754774, 0.51838088, 0.12730142, 0.12668218
2007,red-faced cormorant,Aiktak,red-faced cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.0,1,14,3.486184,8.439706, 9.651678,3.452430,431.2627,553.0635,-1.22788861,-0.7040047, 0.28208543,-0.9727244,-0.67702953,-1.11866011,-1.02363079,-1.0607317, 0.01732969,-1.4895552,-0.24884515, 0.83154157,-1.35037920, 0.03812522
2008,red-faced cormorant,Aiktak,red-faced cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.6,0,14,3.311293,8.380829,11.079422,3.558307,432.0619,539.5299,-0.32312858,-1.1887772, 0.15705090,-0.9433763,-1.17278474, 0.68626206,-0.68843269,-0.1076681,-0.41724754, 0.3553700,-0.11665567, 0.73452256,-1.09242543,-0.42409143
2009,red-faced cormorant,Aiktak,red-faced cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.0,1,14,3.497748,7.749766,11.024960,4.114310,444.7810,547.8950,-1.22788861,-0.6719508,-1.18310832,-0.4763275,-0.86635799, 0.61741285, 1.07183849,-0.9929161, 0.06509187, 0.3536126, 0.35513617,-0.63957063, 0.64258733,-0.16402624
2010,red-faced cormorant,Aiktak,red-faced cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.5,0,14,3.267454,7.508070,11.533866,4.331637,428.4347,543.1828, 1.03401146,-1.3102922,-1.69638625,-1.0765695,-1.03897611, 1.26076118, 1.75988233, 1.2597043,-0.69241871, 1.0911415,-0.33846103,-1.24873202, 1.35735868,-0.46290604
2011,red-faced cormorant,Aiktak,red-faced cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.5,0,14,3.852823,7.941797,10.479784,4.196205,451.3354,572.2747,-0.47392192, 0.3122666,-0.77530017,-0.2356452, 0.02670835,-0.07178677, 1.33111258,-0.2863002, 0.72628852,-0.1201372, 0.31100988,-0.48547891, 1.00730237, 0.39661663
2013,red-faced cormorant,Aiktak,red-faced cormorant_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,1.4,0,14,3.573360,8.317909,10.299480,3.787712,452.6767,561.1050, 0.88321812,-0.4623645, 0.02343030,-0.1863938,-0.38245489,-0.29972351, 0.03785153, 1.0039771,-0.33687634,-0.1997158, 0.07070951, 0.09346911,-0.15525931,-0.29860851
