year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
2000,red-faced cormorant,St. George,red-faced cormorant_St. George,Arctic,Eastern Bering Sea,1.1142857,0,21, 0.09203733,6.288971,10.540979,6.367615,77.60702,122.9185, 0.01516630,-0.31603000,-0.4924953, 0.4833288, 0.10585376, 0.07039964,-0.1096033,-0.535637442,-1.13172312,-1.43877807, 1.75360562,-1.0753824, 0.189120497, 0.766658841
2001,red-faced cormorant,St. George,red-faced cormorant_St. George,Arctic,Eastern Bering Sea,0.5900000,0,21, 0.63012906,6.384880,14.984493,7.498857,65.49873,114.3467,-0.88987316, 0.42919576,-0.4071894,-1.9027342,-1.27996676, 1.85313553, 1.2587873,-1.388514903,-0.02644910, 0.79998249,-0.96621067,-0.6944978, 1.349760611,-0.754087805
2002,red-faced cormorant,St. George,red-faced cormorant_St. George,Arctic,Eastern Bering Sea,1.8064516,0,21, 0.34239785,7.105917,11.574189,6.341646,71.34272,114.7090, 1.21000611, 0.03070475, 0.2341315,-0.7511160,-1.22139599, 0.48492306,-0.1410162, 0.764533015,-0.11058947,-0.16173260,-0.11500563, 0.2033648,-0.228409155,-0.819548545
2003,red-faced cormorant,St. George,red-faced cormorant_St. George,Arctic,Eastern Bering Sea,2.3235294,0,21, 0.96285951,7.447852,12.314556,5.899029,72.36703,116.4342, 2.10260302, 0.89000808, 0.5382629,-0.5492648,-0.94248175, 0.78195808,-0.6764225, 1.711305230, 1.01736685, 0.49227248,-0.18022775, 0.7250008,-0.912797375,-0.653771203
2004,red-faced cormorant,St. George,red-faced cormorant_St. George,Arctic,Eastern Bering Sea,2.1188119,0,21, 0.61588930,8.106455,10.556966,5.729331,72.52266,126.9255, 1.74921280, 0.40947452, 1.1240520,-0.5185959, 0.75368555, 0.07681359,-0.8816947, 1.413096977, 0.75978864, 0.09457074,-0.38329207, 1.4892575,-1.237667118, 0.940153816
2005,red-faced cormorant,St. George,red-faced cormorant_St. George,Arctic,Eastern Bering Sea,1.3125000,0,21, 0.68294403,7.479453,12.545285,6.627486,74.51623,122.3386, 0.35733039, 0.50234142, 0.5663701,-0.1257438, 0.01210998, 0.87452624, 0.2047462, 0.077403187, 1.02991325, 1.15019882,-0.19083334, 1.0710062,-0.241439449, 0.107230586
2006,red-faced cormorant,St. George,red-faced cormorant_St. George,Arctic,Eastern Bering Sea,0.4000000,0,21,-0.12972129,6.205713,10.116415,6.717293,70.09561,121.5375,-1.21785748,-0.62315280,-0.5665480,-0.9968716,-0.11740668,-0.09993516, 0.3133792,-1.440589411, 0.03597911, 0.38412554,-1.22901441, 0.0384817,-0.193635385,-0.102739114
2007,red-faced cormorant,St. George,red-faced cormorant_St. George,Arctic,Eastern Bering Sea,1.3793103,0,21,-0.24814189,6.649026, 9.156946,6.163755,77.55329,134.6538, 0.47266063,-0.78715844,-0.1722469, 0.4727407, 2.00314080,-0.48487382,-0.3562002, 0.308130641,-0.04216410, 0.15804769, 0.10688447, 0.4941393,-0.894659427, 1.948249932
2008,red-faced cormorant,St. George,red-faced cormorant_St. George,Arctic,Eastern Bering Sea,0.4666667,0,21,-0.73557687,5.300659, 6.966678,7.739464,77.43370,122.9070,-1.10277526,-1.46222755,-1.3715408, 0.4491744, 0.10399844,-1.36360821, 1.5498341,-1.208096665,-0.67706842,-0.61135319,-0.01705516,-0.6828351, 1.009314595,-0.009556234
2009,red-faced cormorant,St. George,red-faced cormorant_St. George,Arctic,Eastern Bering Sea,0.9268293,0,21,-0.44789882,5.504068, 6.777709,7.419557,76.01623,117.3775,-0.30842726,-1.06381017,-1.1906207, 0.1698477,-0.78996763,-1.43942264, 1.1628637,-0.353533416,-0.28418389,-0.62736143,-0.36341529,-0.5186325, 0.649668216,-0.951291504
