year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1996,red-faced cormorant,St. Paul,red-faced cormorant_St. Paul,Arctic,Eastern Bering Sea,1.52,0,36, 0.71487193,7.447839,10.225622,4.997936,77.03571,128.4560, 0.3921827, 0.575690330,-0.3411907, 0.27626976,-0.51779482,-0.04640156,-0.96757756, 1.09083625, 0.06859087,-0.407356887,-0.1313825,-0.289911815,-0.154964269, 0.29863313
1997,red-faced cormorant,St. Paul,red-faced cormorant_St. Paul,Arctic,Eastern Bering Sea,0.63,0,36, 0.13186869,8.284006, 8.058931,4.625524,83.37508,127.7320,-1.1591177,-0.320536173, 0.4727473, 1.54985854,-0.63601995,-1.01181263,-1.50366581,-0.64428881,-0.59245829,-1.235411747, 1.2019526, 0.633240518,-0.945194583, 0.07329820
1998,red-faced cormorant,St. Paul,red-faced cormorant_St. Paul,Arctic,Eastern Bering Sea,0.49,0,36, 0.16685912,6.897685, 9.899870,5.729010,83.35860,128.8322,-1.4031425,-0.266746853,-0.8767190, 1.54654869,-0.45636164,-0.19154641, 0.08480810,-1.05524134,-0.33050269,-0.292723898, 1.2551481,-0.623279452, 0.414889846, 0.15054516
1999,red-faced cormorant,St. Paul,red-faced cormorant_St. Paul,Arctic,Eastern Bering Sea,0.76,0,36,-0.45069171,6.009112, 8.359048,6.218940,77.58140,126.2771,-0.9325233,-1.216081909,-1.7416702, 0.38589960,-0.87360536,-0.87808974, 0.79006467,-0.73465297,-1.09868253,-0.871780189, 0.1477633,-1.411552307, 0.917509535,-0.36441146
2000,red-faced cormorant,St. Paul,red-faced cormorant_St. Paul,Arctic,Eastern Bering Sea,2.11,0,36, 0.09203733,7.203956,10.540979,5.905807,77.60702,132.1907, 1.4205728,-0.381767248,-0.5785904, 0.39104684, 0.09207521, 0.09411190, 0.33930803, 1.48530919,-0.11022370, 0.192973909, 0.2029339,-0.188062177, 0.289868592, 0.50825463
2001,red-faced cormorant,St. Paul,red-faced cormorant_St. Paul,Arctic,Eastern Bering Sea,1.68,0,36, 0.63012906,7.283729,14.984493,6.773712,65.49873,124.2551, 0.6710682, 0.445418661,-0.5009373,-2.04152708,-1.20378497, 2.07400563, 1.58866192, 0.61956745, 0.84409533, 2.250485510,-2.1828577,-0.066266743, 1.388090778,-0.87592159
2002,red-faced cormorant,St. Paul,red-faced cormorant_St. Paul,Arctic,Eastern Bering Sea,1.55,0,36, 0.34239785,8.122048,11.574189,5.708736,71.34272,125.3177, 0.4444737, 0.003101495, 0.3150952,-0.86746062,-1.03027347, 0.55447864, 0.05562291, 0.29363285, 0.50190022, 0.793641814,-0.9652500, 0.777640069,-0.270327343,-0.78602769
2003,red-faced cormorant,St. Paul,red-faced cormorant_St. Paul,Arctic,Eastern Bering Sea,2.01,0,36, 0.96285951,8.444818,12.314556,5.139648,72.36703,127.7777, 1.2462694, 0.956911261, 0.6292845,-0.66167485,-0.62855070, 0.88436361,-0.76358172, 1.01298531, 1.52882099, 1.171275488,-0.7191639, 1.103435656,-1.189158502,-0.46322408
2004,red-faced cormorant,St. Paul,red-faced cormorant_St. Paul,Arctic,Eastern Bering Sea,1.07,0,36, 0.61588930,9.078537,10.556966,5.217491,72.52266,136.2866,-0.3921827, 0.423528476, 1.2461567,-0.63040807, 0.76093533, 0.10123518,-0.65152649,-0.69101315, 1.04153816, 0.420961182,-0.6508378, 1.715646164,-1.150977205, 0.85204123
2005,red-faced cormorant,St. Paul,red-faced cormorant_St. Paul,Arctic,Eastern Bering Sea,0.93,0,36, 0.68294403,8.491729,12.545285,6.046062,74.51623,132.0373,-0.6362075, 0.526608903, 0.6749487,-0.22989828, 0.06703130, 0.98716915, 0.54120529,-0.98368738, 1.16370748, 1.324774683,-0.2165098, 1.123508451,-0.006366766, 0.08861492
