year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,red-legged kittiwake,Buldir,red-legged kittiwake_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.01595745,1,34,3.688806,8.157002, 7.972107,3.652708,501.1323,598.6049,-1.143181101,-0.07368883,-0.07108619, 1.3310497, 0.82641237,-2.28536369,-0.64094034, 0.19781820,-0.57206155,-1.25678622,-0.570271831, 0.13759166,-0.85412787,-0.51395861
1994,red-legged kittiwake,Buldir,red-legged kittiwake_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.01119403,1,34,3.681065,7.660133, 9.535872,4.072642,496.6567,610.4853,-1.176458526,-0.09434271,-1.05478469, 1.1677248, 1.24182514,-0.95924151, 0.63945847,-0.05225996,-0.40643154,-0.13989390,-0.357208060,-0.79891068, 0.41632512, 0.20493910
1995,red-legged kittiwake,Buldir,red-legged kittiwake_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.04281346,0,34,3.532203,7.930229, 9.781056,3.787732,490.2084,576.4507,-0.955563928,-0.49153131,-0.52005022, 0.9324098, 0.05176103,-0.75131730,-0.22924585,-0.03353556,-0.63508995,-0.12558653,-0.243750319,-0.22456984,-0.45916365,-0.70568561
1996,red-legged kittiwake,Buldir,red-legged kittiwake_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.13197970,0,34,4.282414,8.493932, 9.198836,3.920838,511.3745,627.4302,-0.332644942, 1.51015861, 0.59596747, 1.7048163, 1.83432517,-1.24505810, 0.17660156, 0.40184378, 1.51737646,-0.79733114, 0.849812882, 0.92346442,-0.05693930, 1.33227239
1997,red-legged kittiwake,Buldir,red-legged kittiwake_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.17551020,0,34,4.180940,8.579165,10.267906,3.632155,505.4740,595.9451,-0.028539034, 1.23940762, 0.76471195, 1.4894898, 0.73340892,-0.33845316,-0.70360803, 0.53304058, 1.37964825,-0.05311700, 0.928027124, 1.11663568,-0.93761055, 0.46270446
1998,red-legged kittiwake,Buldir,red-legged kittiwake_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.18055556,0,34,3.654102,7.966129,12.928103,4.719593,472.8158,565.1235, 0.006707997,-0.16628459,-0.44897429, 0.2977086,-0.34430876, 1.91747752, 2.61204705, 0.41000904, 0.08922512, 2.05603592, 0.002170753,-0.08021359, 2.38074423,-0.40771044
1999,red-legged kittiwake,Buldir,red-legged kittiwake_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.00800000,1,34,3.208892,7.165568,12.745140,4.133763,460.6419,562.4886,-1.198772149,-1.35418180,-2.03392512,-0.1465463,-0.43644072, 1.76231916, 0.82582067,-0.93911913,-1.00115672, 1.76971281,-0.203775358,-1.65591723, 0.60037895,-0.31658515
2000,red-legged kittiwake,Buldir,red-legged kittiwake_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.32575758,0,34,3.111482,7.757454,11.733089,4.170611,473.5040,572.6958, 1.021095229,-1.61408773,-0.86210966, 0.3228250,-0.07953314, 0.90406770, 0.93817320, 1.15173077,-1.18130098, 0.79590962, 0.476288690,-0.48244439, 0.72175396, 0.19953414
2001,red-legged kittiwake,Buldir,red-legged kittiwake_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.00000000,1,34,3.353321,7.858793,11.344112,4.029704,444.0655,568.1998,-1.254660475,-0.96882119,-0.66147800,-0.7514605,-0.23674115, 0.57420338, 0.50854035,-1.23841188,-0.47402647, 0.36610659,-0.414920014,-0.28774514, 0.30430496, 0.17749231
2002,red-legged kittiwake,Buldir,red-legged kittiwake_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.19444444,0,34,3.450323,8.021603,10.415453,3.570468,450.0140,538.2796, 0.103736341,-0.71000124,-0.33914862,-0.5343871,-1.28294045,-0.21332930,-0.89169274, 0.02022854,-0.17095225,-0.50575177,-0.042385758, 0.02106203,-1.08058288,-0.75758635
2003,red-legged kittiwake,Buldir,red-legged kittiwake_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.11764706,0,34,3.936491,8.418902, 9.755011,4.025416,445.8694,559.1517,-0.432773326, 0.58717541, 0.44742467,-0.6856334,-0.55312137,-0.77340442, 0.49546441,-0.60140699, 1.15272496,-1.13453956,-0.065787194, 0.78652331, 0.32508090, 0.05930783
