year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,red-legged kittiwake,St. George,red-legged kittiwake_St. George,Arctic,Eastern Bering Sea,0.46215139,0,37, 0.45959708,7.895247, 9.388979,5.719133,82.14826,137.1553, 1.24341813, 0.2997058,-0.0450664, 0.96551656, 0.1435941,-0.24841207, 0.183076754, 1.019684413,-0.13941677,-0.20014020, 0.02181319,-0.0209970052, 0.97943477,-0.11456645
1994,red-legged kittiwake,St. George,red-legged kittiwake_St. George,Arctic,Eastern Bering Sea,0.23595506,0,37,-0.11791625,7.139736, 7.844167,5.603009,84.25581,147.9540,-0.05332398,-0.5842724,-0.8241219, 1.35113943, 1.8487455,-0.92139444, 0.007879449,-0.287140083,-0.85105263,-0.83429735, 0.54328561,-0.7069316740, 0.60964111, 1.69768482
1995,red-legged kittiwake,St. George,red-legged kittiwake_St. George,Arctic,Eastern Bering Sea,0.08000000,0,37,-0.18665232,7.761027, 7.811703,4.591880,84.68673,142.8982,-0.94738571,-0.6894841,-0.1834691, 1.42998484, 1.0504285,-0.93553712,-1.517624147,-1.187732239,-0.80054968,-0.81471943, 0.75038973, 0.0154452662,-1.09445828, 0.99599876
1996,red-legged kittiwake,St. George,red-legged kittiwake_St. George,Arctic,Eastern Bering Sea,0.11520737,0,37, 0.71487193,7.655687,10.225622,5.121426,77.03571,132.3079,-0.74554829, 0.6904456,-0.2920923, 0.03006211,-0.6218194, 0.11606346,-0.718690774,-0.988873301, 0.71846705, 0.26549715,-0.52886512,-0.0228504624,-0.45812014,-0.59008717
1997,red-legged kittiwake,St. George,red-legged kittiwake_St. George,Arctic,Eastern Bering Sea,0.25000000,0,37, 0.13186869,8.426960, 8.058931,4.751915,83.37508,132.0715, 0.02719311,-0.2019358, 0.5032171, 1.18998931,-0.6591473,-0.82783453,-1.276177020,-0.215558418,-0.05145494,-0.65488946, 0.74413911, 0.8313897689,-1.16220105,-0.55172208
1998,red-legged kittiwake,St. George,red-legged kittiwake_St. George,Arctic,Eastern Bering Sea,0.49532710,0,37, 0.16685912,7.028453, 9.899870,5.927641,83.35860,131.3973, 1.43360838,-0.1483773,-0.9388731, 1.18697486,-0.7656073,-0.02584701, 0.497654644, 1.194982293, 0.10793538, 0.16550483, 0.84661085,-0.5631663882, 0.48103652,-0.59295804
1999,red-legged kittiwake,St. George,red-legged kittiwake_St. George,Arctic,Eastern Bering Sea,0.26699029,0,37,-0.45069171,6.394166, 8.359048,6.000756,77.58140,128.2315, 0.12459533,-1.0936394,-1.5929273, 0.12990803,-1.2655023,-0.69709151, 0.607964044,-0.106353371,-0.74812259,-0.49243751,-0.11256061,-1.1810831436, 0.47675239,-1.03809798
2000,red-legged kittiwake,St. George,red-legged kittiwake_St. George,Arctic,Eastern Bering Sea,0.52040816,0,37, 0.09203733,7.325920,10.540979,5.939176,77.60702,133.0247, 1.57739350,-0.2629042,-0.6321360, 0.13459590,-0.5086273, 0.25344573, 0.515058269, 1.357674144, 0.15518908, 0.46629727,-0.01756822,-0.1955510588, 0.28525365,-0.23693695
2001,red-legged kittiwake,St. George,red-legged kittiwake_St. George,Arctic,Eastern Bering Sea,0.22093023,0,37, 0.63012906,7.481815,14.984493,6.704690,65.49873,127.6926,-0.13945854, 0.5607328,-0.4713824,-2.08088266,-1.3505866, 2.18921979, 1.669998611,-0.344396596, 1.03477495, 2.40516426,-2.15033310,-0.0214533588, 1.35760160,-1.04507907
2002,red-legged kittiwake,St. George,red-legged kittiwake_St. George,Arctic,Eastern Bering Sea,0.45283019,0,37, 0.34239785,8.304194,11.574189,5.692803,71.34272,127.4292, 1.18998137, 0.1203133, 0.3766256,-1.01159591,-1.3921869, 0.70355373, 0.143352011, 1.003376564, 0.63367668, 0.91748651,-1.00592350, 0.8285020316,-0.23563683,-1.06333127
