year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1996,red-legged kittiwake,St. Paul,red-legged kittiwake_St. Paul,Arctic,Eastern Bering Sea,0.00000000,1,31, 0.71487193,7.655687,10.225622,5.121426,77.03571,132.3079,-1.00460561, 0.62265331,-0.3207057, 0.1966589741,-0.51718438, 0.02772711,-0.76423019,-1.04169352,-0.020594612,-0.49189383,-0.0002728524,-0.31984183,-0.11331687, 0.48554642
1997,red-legged kittiwake,St. Paul,red-legged kittiwake_St. Paul,Arctic,Eastern Bering Sea,0.25000000,0,31, 0.13186869,8.426960, 8.058931,4.751915,83.37508,132.0715, 0.12806702,-0.23236796, 0.4385085, 1.4219232984,-0.55618225,-0.89573153,-1.31470190, 0.05579812,-0.631171813,-1.25736320, 1.2451638484, 0.54995304,-0.87664702, 0.32867349
1998,red-legged kittiwake,St. Paul,red-legged kittiwake_St. Paul,Arctic,Eastern Bering Sea,0.48571429,0,31, 0.16685912,7.028453, 9.899870,5.927641,83.35860,131.3973, 1.19601551,-0.18105168,-0.9381323, 1.4187390395,-0.66740504,-0.11111040, 0.43681063, 1.09279479,-0.361117300,-0.33013528, 1.2617363474,-0.73119649, 0.68331489, 0.10375943
1999,red-legged kittiwake,St. Paul,red-legged kittiwake_St. Paul,Arctic,Eastern Bering Sea,0.23809524,0,31,-0.45069171,6.394166, 8.359048,6.000756,77.58140,128.2315, 0.07413023,-1.08673976,-1.5625022, 0.3021290747,-1.18966436,-0.76781964, 0.54573207,-0.05581314,-1.073772989,-0.85962021, 0.1644675218,-1.27516450, 0.62199352,-0.52800738
2000,red-legged kittiwake,St. Paul,red-legged kittiwake_St. Paul,Arctic,Eastern Bering Sea,0.54545455,0,31, 0.09203733,7.325920,10.540979,5.939176,77.60702,133.0247, 1.46668014,-0.29078386,-0.6453165, 0.3070810101,-0.39892832, 0.16213448, 0.45399528, 1.31424330,-0.110490523, 0.18217574, 0.1883449779,-0.29266644, 0.38132172, 0.15740495
2001,red-legged kittiwake,St. Paul,red-legged kittiwake_St. Paul,Arctic,Eastern Bering Sea,0.14285714,0,31, 0.63012906,7.481815,14.984493,6.704690,65.49873,127.6926,-0.35736411, 0.49837106,-0.4918587,-2.0331924613,-1.27855516, 2.05599090, 1.59440365,-0.52806525, 0.820285110, 2.17249152,-2.1334185914,-0.08898568, 1.39410290,-0.82336182
2002,red-legged kittiwake,St. Paul,red-legged kittiwake_St. Paul,Arctic,Eastern Bering Sea,0.43243243,0,31, 0.34239785,8.304194,11.574189,5.692803,71.34272,127.4292, 0.95461192, 0.07639002, 0.3176623,-0.9036742355,-1.32201663, 0.60249575, 0.08696599, 0.76987565, 0.514218964, 0.80007324,-0.9858060822, 0.75566887,-0.21965414,-0.96377944
2003,red-legged kittiwake,St. Paul,red-legged kittiwake_St. Paul,Arctic,Eastern Bering Sea,0.08333333,0,31, 0.96285951,8.762851,12.314556,4.927917,72.36703,132.8896,-0.62704807, 0.98634709, 0.7691477,-0.7056967019,-0.42121938, 0.91804539,-1.05250606,-0.82159030, 1.514385077, 1.18131729,-0.7701498837, 1.22719838,-1.44413777,-0.15575454
2004,red-legged kittiwake,St. Paul,red-legged kittiwake_St. Paul,Arctic,Eastern Bering Sea,0.26315789,0,31, 0.61588930,9.279094,10.556966,5.072508,72.52266,138.4752, 0.18768137, 0.47748730, 1.2773194,-0.6756162950, 0.50022101, 0.16894821,-0.83710558,-0.01243765, 1.070028505, 0.48253203,-0.7228064307, 1.74032473,-1.29244104, 0.67709727
2005,red-legged kittiwake,St. Paul,red-legged kittiwake_St. Paul,Arctic,Eastern Bering Sea,0.00000000,1,31, 0.68294403,8.648566,12.545285,6.069992,74.51623,134.5062,-1.00460561, 0.57582847, 0.6566495,-0.2903032631,-0.15453312, 1.01638346, 0.64887525,-1.20607224, 1.207167047, 1.36489672,-0.3206459712, 1.10952017, 0.15114383,-0.06206166
