year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1995,rhinoceros auklet,Middleton,rhinoceros auklet_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,0.48,0,26,3.835783, 9.567379, 9.700904,3.890657,344.8869,474.4925,-1.23068583,-0.78405778,-0.82828597, 0.78019622, 0.15534507,-0.53448535,-0.531571243,-1.4867649982,-1.0001933, 0.12195585, 0.18519551,-1.11163046,-0.2392599,-0.45303805
1997,rhinoceros auklet,Middleton,rhinoceros auklet_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,0.71,0,26,4.339370,11.265874, 9.547158,3.363919,331.5966,492.5178, 0.30574450,-0.06727021, 1.33471793, 0.17675520, 0.75291159,-0.77356014,-1.647884748,-0.0077098755,-0.1399964,-0.35664110,-0.19271398, 1.18936467,-1.4898813, 0.37386879
1998,rhinoceros auklet,Middleton,rhinoceros auklet_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,0.66,0,26,5.150686,10.080113, 9.808511,5.098889,338.2835,497.5449,-0.02826210, 1.08752644,-0.17532887, 0.48037337, 0.91956911,-0.36715694, 2.029029373,-0.3868252750, 1.1405295,-0.16406782, 0.31194422,-0.19872413, 2.0681155, 0.74500479
1999,rhinoceros auklet,Middleton,rhinoceros auklet_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,0.83,0,26,3.881602, 9.289405, 9.999055,4.726223,321.2161,446.3575, 1.10736032,-0.71884077,-1.18228150,-0.29456934,-0.77737493,-0.07086080, 1.239240252, 0.7159547302,-0.5577885,-0.05590936,-0.28644997,-1.09975201, 1.1747997,-0.77232258
2000,rhinoceros auklet,Middleton,rhinoceros auklet_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,0.82,0,26,3.906156, 9.967584,10.520232,4.049117,305.2267,452.0060, 1.04055900,-0.68389182,-0.31863175,-1.02056262,-0.59011855, 0.73956808,-0.195747517, 0.6285773985,-0.4324705, 0.59207408,-0.86038624,-0.14621072,-0.3483242,-0.43031135
2001,rhinoceros auklet,Middleton,rhinoceros auklet_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,0.80,0,26,4.594304,10.193225,10.096864,4.445206,321.7394,449.9729, 0.90695636, 0.29559269,-0.03128246,-0.27080555,-0.65751671, 0.08123119, 0.643682784, 0.4866651451, 0.6197029,-0.20301600, 0.01693633, 0.21499686, 0.4183606,-0.36781649
2002,rhinoceros auklet,Middleton,rhinoceros auklet_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,0.92,0,26,3.846837,10.041966,11.191750,3.848304,300.2746,441.1843, 1.70857219,-0.76832361,-0.22390831,-1.24541060,-0.94887535, 1.78377737,-0.621329305, 1.2922377481,-0.3892045, 1.38846921,-0.85459473, 0.08019607,-0.9040064,-0.55414393
2003,rhinoceros auklet,Middleton,rhinoceros auklet_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,0.73,0,26,5.237775,10.542364, 9.683310,4.139402,335.6151,470.7879, 0.43934713, 1.21148645, 0.41334010, 0.35921700, 0.03253235,-0.56184450,-0.004406645, 0.0392358733, 1.6279343,-1.04252137, 0.82861536, 0.75923630,-0.3290481, 0.50743315
2004,rhinoceros auklet,Middleton,rhinoceros auklet_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,0.72,0,26,4.351353,10.992754,10.499365,4.021102,325.4658,493.3174, 0.37254581,-0.05021468, 0.98690465,-0.10161298, 0.77941809, 0.70711954,-0.255118875, 0.0009241289, 0.3858819, 0.16676620, 0.42187635, 1.35855944,-0.6063341, 1.30962644
2005,rhinoceros auklet,Middleton,rhinoceros auklet_Middleton,Cold Temperate Northeast Pacific,Gulf of Alaska,0.85,0,26,4.776286,11.390292, 9.259742,3.526232,354.3468,488.8066, 1.24096296, 0.55462034, 1.49316196, 1.20972148, 0.62987816,-1.22049219,-1.303895623, 0.9100972409, 0.9926855,-1.79482976, 1.76281027, 1.87454211,-1.6662940, 1.19053225
