year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,rhinoceros auklet,Teuri,rhinoceros auklet_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.90,0,33,6.479612,16.24735,10.74669,1.865222,253.4794,519.9620, 1.1459541, 0.98077991,-2.8331976,-0.55742673,-2.121202521,-1.83645026, 1.68269544, 0.004706988, 0.85464422,-1.41372146,-0.30158749,-1.63281307, 1.31577309,-1.57911425
1994,rhinoceros auklet,Teuri,rhinoceros auklet_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.88,0,33,5.856129,17.82592,13.84595,1.802967,245.8885,573.6339, 1.0724527,-0.48314679, 0.4224612,-1.09753839, 0.336896735, 1.43853041, 1.19882934, 0.009184971,-0.54030370, 1.80195680,-0.94253361, 1.47808255, 0.90731236, 0.80223154
1995,rhinoceros auklet,Teuri,rhinoceros auklet_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.84,0,33,6.255292,17.20061,11.93660,1.515735,263.6028,549.7579, 0.9254498, 0.45408144,-0.8671935, 0.16288856,-0.756593549,-0.57908059,-1.03361150,-0.058811047, 0.45879018,-0.27174244, 0.22679742, 0.04995575,-1.25538477,-0.36380568
1996,rhinoceros auklet,Teuri,rhinoceros auklet_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.77,0,33,5.256483,16.62701,13.04286,1.583889,252.3352,526.3604, 0.6681948,-1.89110166,-2.0501932,-0.63883386,-1.828167794, 0.58990232,-0.50389980,-0.236031782,-1.83164038, 0.84436641,-0.65628237,-1.26522487,-0.66159103,-1.50372035
1997,rhinoceros auklet,Teuri,rhinoceros auklet_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.67,0,33,5.834294,17.11167,11.26112,1.678752,262.3575,561.7533, 0.3006877,-0.53441479,-1.0506200, 0.07427989,-0.207220128,-1.29285766, 0.23340107,-0.522477232,-0.42731410,-1.08805345,-0.01478746,-0.39154153, 0.13413021, 0.05309343
1998,rhinoceros auklet,Teuri,rhinoceros auklet_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.93,0,33,6.250945,18.00561,11.44559,1.490923,290.2900,613.7773, 1.2562063, 0.44387390, 0.7930560, 2.06176148, 2.175406699,-1.09792288,-1.22645732, 0.515130493, 0.59150087,-0.93956438, 1.91081383, 1.33253567,-1.27296948, 2.37579289
1999,rhinoceros auklet,Teuri,rhinoceros auklet_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.83,0,33,6.011813,17.57139,12.56998,1.731325,276.1565,589.7900, 0.8886991,-0.11760227,-0.1024840, 1.05612019, 1.076820695, 0.09021395, 0.64201201, 0.230739901, 0.06343786, 0.20534093, 0.85303080, 0.32368808, 0.64259688, 1.22148604
2000,rhinoceros auklet,Teuri,rhinoceros auklet_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.42,0,33,5.944134,17.70043,13.49669,1.712558,259.2063,545.4025,-0.6180802,-0.27651223, 0.1636405,-0.14993706,-0.956064273, 1.06947151, 0.49615072,-1.191895432,-0.06917207, 1.14458114,-0.39542966, 0.48279598, 0.53817095,-0.86291325
2001,rhinoceros auklet,Teuri,rhinoceros auklet_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.93,0,33,5.851142,17.90363,12.99513,1.650261,252.9860,573.2353, 1.2562063,-0.49485466, 0.5827409,-0.59253072, 0.318640972, 0.53946521, 0.01196301, 0.767562462,-0.26832759, 0.57777167,-0.87068799, 0.80117102, 0.08975693, 0.36448420
2002,rhinoceros auklet,Teuri,rhinoceros auklet_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.92,0,33,6.512590,17.70919,10.79814,1.436029,289.5624,595.8178, 1.2194555, 1.05821031, 0.1817118, 2.00998841, 1.352888703,-1.78208381,-1.65310497, 0.817010594, 1.29681117,-1.77736635, 1.70890502, 0.30570757,-1.54519903, 1.35563066
2003,rhinoceros auklet,Teuri,rhinoceros auklet_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.71,0,33,6.078019,17.49537,13.23766,1.537155,267.2945,584.1554, 0.4476905, 0.03784753,-0.2592728, 0.42556217, 0.818764377, 0.79575036,-0.86712951, 0.132471853, 0.28140905, 0.77009301, 0.11129120,-0.22342024,-0.73477322, 0.78261159
2004,rhinoceros auklet,Teuri,rhinoceros auklet_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.41,0,33,6.294342,17.85032,12.65513,1.617450,262.2886,592.7317,-0.6548309, 0.54576959, 0.4727892, 0.06937821, 1.211547410, 0.18019234,-0.24305456,-0.881795896, 0.78717865, 0.12737436,-0.24834180, 0.42678967,-0.09190959, 1.14070640
2005,rhinoceros auklet,Teuri,rhinoceros auklet_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.70,0,33,5.738340,17.69935,12.94824,1.680653,259.2353,544.4746, 0.4109398,-0.75971292, 0.1614167,-0.14787374,-0.998560877, 0.48992583, 0.24817778, 0.273255981,-0.52756945, 0.41316138,-0.45930424, 0.03985622, 0.41244976,-1.09988359
2006,rhinoceros auklet,Teuri,rhinoceros auklet_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.62,0,33,5.183658,17.30380,13.60811,1.811004,250.5981,545.4374, 0.1169341,-2.06209429,-0.6543764,-0.76243990,-0.954467761, 1.18720423, 1.26129538, 0.069558825,-1.84632953, 1.08970750,-1.05784236,-0.84520679, 1.43303270,-1.08206565
2007,rhinoceros auklet,Teuri,rhinoceros auklet_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.65,0,33,6.651554,17.67782,11.24922,1.490489,283.3243,565.3566, 0.2271862, 1.38449549, 0.1170191, 1.56613061,-0.042192738,-1.30543549,-1.22982974, 0.271146965, 1.57676842,-1.42045032, 1.29649475,-0.13678997,-1.05628875,-0.19185928
2008,rhinoceros auklet,Teuri,rhinoceros auklet_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.70,0,33,6.626069,17.97489,12.25375,1.448277,263.9674,564.3860, 0.4109398, 1.32465777, 0.7297046, 0.18883132,-0.086645930,-0.24394297,-1.55791314, 0.547263966, 1.48632575,-0.37326172,-0.04529942, 0.41920780,-1.38823015,-0.25417460
2009,rhinoceros auklet,Teuri,rhinoceros auklet_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.69,0,33,6.294217,16.95222,12.66460,1.699169,265.6243,554.3433, 0.3741891, 0.54547629,-1.3794755, 0.30672135,-0.546589066, 0.19019725, 0.39208899, 0.603904104, 0.66942618, 0.04978874, 0.11783429,-1.74036876, 0.55225231,-0.72777334
2010,rhinoceros auklet,Teuri,rhinoceros auklet_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.36,0,33,5.734347,18.02295,13.40998,1.925304,256.6743,555.3605,-0.8385845,-0.76908733, 0.8288283,-0.33009428,-0.500002643, 0.97783632, 2.14966411,-0.514451214,-0.68996865, 0.82955224,-0.46399912, 0.42382960, 2.29464609,-0.69063600
2011,rhinoceros auklet,Teuri,rhinoceros auklet_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.71,0,33,5.759059,17.33251,12.46660,1.684725,263.2697,556.1261, 0.4476905,-0.71106437,-0.5951464, 0.13918303,-0.464938030,-0.01903092, 0.27982099, 0.867269530,-0.68389002,-0.17197639, 0.06999895,-1.03795946, 0.40395996,-0.66081395
2012,rhinoceros auklet,Teuri,rhinoceros auklet_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.55,0,33,5.896506,18.32745,13.35591,1.580328,237.1293,567.7229,-0.1403209,-0.38834070, 1.4568334,-1.72077860, 0.066180174, 0.92070788,-0.53157521, 0.375731229,-0.42022380, 0.76631520,-1.71550338, 0.98249712,-0.43394092,-0.13073177
2013,rhinoceros auklet,Teuri,rhinoceros auklet_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.42,0,33,5.402689,17.99066,13.38448,1.873424,247.7324,564.2284,-0.6180802,-1.54781360, 0.7622266,-0.96634262,-0.093861926, 0.95089872, 1.74644375,-0.004527497,-1.64586728, 0.79827300,-0.87686956, 0.26265827, 1.81191169,-0.28760338
2014,rhinoceros auklet,Teuri,rhinoceros auklet_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.00,1,33,6.054214,17.80512,11.01566,1.571334,260.4040,556.8147,-2.1616102,-0.01804744, 0.3795551,-0.06471968,-0.433400113,-1.55223112,-0.60147941,-1.449529535,-0.18938482,-1.69987570, 0.11868977,-0.13895421,-0.57383949,-0.61976456
2015,rhinoceros auklet,Teuri,rhinoceros auklet_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.00,1,33,5.863922,17.32855,12.40856,1.604033,252.9496,566.4670,-2.1616102,-0.46484706,-0.6033262,-0.59511835, 0.008660875,-0.08035824,-0.34734059,-1.349974105,-0.71658126,-0.21980751,-0.30803397,-1.13448544,-0.36319035,-0.16612003
2016,rhinoceros auklet,Teuri,rhinoceros auklet_Teuri,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,0.00,1,33,6.525295,18.13945,11.70061,1.613578,277.5545,606.6613,-2.1616102, 1.08804296, 1.0691003, 1.15559356, 1.849507267,-0.82845256,-0.27315070,-1.249391246, 0.74879881,-0.95649232, 1.55609141, 0.53158231,-0.33815182, 1.69051642
