year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1995,thick-billed murre,Aiktak,thick-billed murre_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.63,0,26,4.433012, 9.273131, 7.775324,3.617406,500.6985,625.3427, 1.2140375,-0.62729148,-0.41651623, 0.5640213, 0.22872237,-0.535292323,-0.32248399, 0.29127753,-1.00747634,-0.76295170,-0.87495259,-0.32238704,-0.51714176,-0.7235110
1996,thick-billed murre,Aiktak,thick-billed murre_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.32,0,26,5.314457, 9.733697, 7.403619,3.860932,537.4917,674.5766, 0.1607391, 1.45860096, 0.40515941, 1.9075180, 1.86209003,-0.910142475, 0.43122050,-0.52894526, 1.27769287,-1.13596242, 0.84162275, 0.58909931, 0.16610613, 1.2029184
1997,thick-billed murre,Aiktak,thick-billed murre_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.63,0,26,5.133124, 9.784360, 8.176469,3.577357,521.4161,636.5778, 1.2140375, 1.02948512, 0.49554395, 1.3205187, 0.60145302,-0.130754629,-0.44643447, 0.73782085, 1.02518782,-0.35228646, 0.59389061, 0.75593149,-0.77008953, 0.2066714
1998,thick-billed murre,Aiktak,thick-billed murre_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.00,1,26,4.467263, 9.231064,11.174495,4.387532,489.1140,608.1318,-0.9265367,-0.54623668,-0.49156650, 0.1410193,-0.34226201, 2.892633160, 2.06103055,-1.20889378,-0.39658917, 2.67783813,-0.28015295,-0.16809438, 1.69075072,-0.5013252
1999,thick-billed murre,Aiktak,thick-billed murre_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.00,1,26,4.058391, 8.410713, 9.938417,3.707759,479.4865,606.2866,-0.9265367,-1.51380977,-1.95511666,-0.2105260,-0.40347837, 1.646098959,-0.04284332,-1.03464215,-1.23288344, 1.44048942,-0.36005395,-1.58192305,-0.44783201,-0.3554948
2000,thick-billed murre,Aiktak,thick-billed murre_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.66,0,26,4.130923, 9.265554, 8.459841,3.839144,493.1500,616.2233, 1.3159697,-1.34216725,-0.43003319, 0.2883925,-0.07382088, 0.155014906, 0.36378772, 1.36250786,-0.95262809,-0.03896046, 0.37669751,-0.02048116,-0.06399391, 0.1525378
2001,thick-billed murre,Aiktak,thick-billed murre_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.64,0,26,4.406398, 8.997483, 8.264696,4.234483,472.8734,611.6930, 1.2480149,-0.69027099,-0.90828799,-0.4520017,-0.22411765,-0.041780759, 1.58734764, 1.42958873,-0.21478498,-0.22167326,-0.15967517,-0.47574060, 1.14868897, 0.1519445
2002,thick-billed murre,Aiktak,thick-billed murre_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.00,1,26,4.582302, 9.207126, 7.535081,3.660984,469.2018,572.7008,-0.9265367,-0.27400426,-0.53427220,-0.5860685,-1.51771127,-0.777567622,-0.18761010,-0.62953532, 0.26476262,-0.94092857,-0.12353196,-0.09209253,-0.62522989,-1.0206174
2004,thick-billed murre,Aiktak,thick-billed murre_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.00,1,26,4.783606, 9.706960, 8.385156,3.729539,454.4270,612.3297,-0.9265367, 0.20237116, 0.35745852,-1.1255691,-0.20299529, 0.079698079, 0.02456420,-0.53371572, 0.78175292,-0.06468263,-0.52663394, 0.79590741,-0.40010080, 0.3864587
2005,thick-billed murre,Aiktak,thick-billed murre_Aiktak,Cold Temperate Northeast Pacific,Aleutian Islands,0.00,1,26,4.924605, 9.741516, 7.779293,3.928207,489.2338,625.4225,-0.9265367, 0.53603818, 0.41910834, 0.1453920, 0.23136999,-0.531289917, 0.63943610,-0.45750414, 1.13336884,-0.65424171, 0.84691442, 0.84046336, 0.23964181, 0.8845125
