year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,thick-billed murre,Coats,thick-billed murre_Coats,Arctic,Hudson Complex,0.7812500,0,28,-1.495713,2.408804,0.3465150,2.955824,399.3117,501.4288, 0.239330468, 2.54445319,-0.60342993, 3.17577425, 3.33745645,-2.31165279,-0.85875747, 0.43881063, 0.97017575,-0.4219058074, 1.11365614, 0.30980339, 0.41031580, 1.27962796
1994,thick-billed murre,Coats,thick-billed murre_Coats,Arctic,Hudson Complex,0.7857143,0,28,-1.529704,1.894085,0.4776568,2.750065,348.4653,431.4986, 0.279568212, 1.42458662,-1.43590610, 2.05122261, 1.79483339,-1.49157783,-1.37244128, 0.39006020, 0.07631806, 0.1275022568, 0.32537429,-0.62507441,-0.20491741, 0.08310637
1995,thick-billed murre,Coats,thick-billed murre_Coats,Arctic,Hudson Complex,0.8627451,0,28,-1.527517,2.363554,0.4885596,2.893999,327.8592,417.1150, 0.973866548, 1.49663381,-0.67661453, 1.59548424, 1.47754022,-1.42339896,-1.01310505, 1.00490869, 0.36222207,-0.0604847168, 0.18450275, 0.03495055, 0.05166876, 0.08912014
1996,thick-billed murre,Coats,thick-billed murre_Coats,Arctic,Hudson Complex,0.5666667,0,28,-1.555658,2.224838,0.5421948,2.714755,297.3683,389.2672,-1.694763782, 0.56949948,-0.90096478, 0.92112586, 0.86323117,-1.08799971,-1.46059183,-1.73363316,-0.36320751, 0.0332497501,-0.19639181,-0.28553132,-0.49976873,-0.22467649
1997,thick-billed murre,Coats,thick-billed murre_Coats,Arctic,Hudson Complex,0.6956522,0,28,-1.573223,2.516829,0.5658499,2.867787,266.0737,367.0835,-0.532184545,-0.00917867,-0.42871666, 0.22899326, 0.37387219,-0.94007615,-1.07854249,-0.63142711,-0.75233300,-0.0459904225,-0.61646355, 0.09372018,-0.22287076,-0.43631757
1998,thick-billed murre,Coats,thick-billed murre_Coats,Arctic,Hudson Complex,0.7540984,0,28,-1.559613,3.140032,0.6020913,2.887801,253.6133,349.0228,-0.005394175, 0.43921692, 0.57921508,-0.04658889,-0.02453753,-0.71344628,-1.02857823,-0.15547160,-0.12653681,-0.0320232230,-0.64138781, 1.01179031,-0.27925852,-0.57980392
1999,thick-billed murre,Coats,thick-billed murre_Coats,Arctic,Hudson Complex,0.6595745,0,28,-1.552142,3.141611,0.7574478,2.929012,249.4995,330.4868,-0.857362099, 0.68533933, 0.58176909,-0.13757199,-0.43343349, 0.25805106,-0.92569339,-1.04873606, 0.28483413, 0.7413124935,-0.50311601, 0.92761772,-0.28392636,-0.75657105
2000,thick-billed murre,Coats,thick-billed murre_Coats,Arctic,Hudson Complex,0.9090909,0,28,-1.597870,2.412260,0.7051636,3.058764,229.8434,326.5260, 1.391593149,-0.82117903,-0.59783945,-0.57229959,-0.52080646,-0.06889992,-0.60176280, 1.16846098,-1.06858778, 0.2307009498,-0.72999169,-0.33558241,-0.06874909,-0.63460971
2001,thick-billed murre,Coats,thick-billed murre_Coats,Arctic,Hudson Complex,0.8965517,0,28,-1.563123,3.049463,0.6952185,3.174273,242.5644,343.5036, 1.278574281, 0.32358433, 0.43273453,-0.29095239,-0.14628771,-0.13109008,-0.31339302, 1.03322224, 0.21711996,-0.0006487179,-0.26219555, 0.61453496, 0.10966670,-0.07355118
2002,thick-billed murre,Coats,thick-billed murre_Coats,Arctic,Hudson Complex,0.7727273,0,28,-1.597689,1.883244,0.7054041,3.250256,230.5337,321.0492, 0.162512955,-0.81524304,-1.45343950,-0.55703283,-0.64162080,-0.06739560,-0.12369781,-0.09552064,-0.79291510,-0.0916126928,-0.36323003,-1.34896066, 0.18820728,-0.40513901
2003,thick-billed murre,Coats,thick-billed murre_Coats,Arctic,Hudson Complex,0.7692308,0,28,-1.584109,2.576537,0.6632309,3.507485,237.5350,333.8118, 0.130998079,-0.36783030,-0.33214840,-0.40218756,-0.36008362,-0.33111935, 0.51848102,-0.13017873,-0.22886212,-0.4954938395,-0.06474176,-0.30185613, 0.71803083, 0.01734890
2004,thick-billed murre,Coats,thick-billed murre_Coats,Arctic,Hudson Complex,0.7600000,0,28,-1.598767,1.625821,0.8001308,3.370181,231.3067,317.1390, 0.047798804,-0.85074057,-1.86977994,-0.53993687,-0.72787850, 0.52496283, 0.17569867,-0.20698290,-0.60728422, 0.2349319904,-0.08025106,-1.91053926, 0.26169253,-0.23228978
2005,thick-billed murre,Coats,thick-billed murre_Coats,Arctic,Hudson Complex,0.5238095,0,28,-1.593694,2.789055,0.7844719,3.742133,232.5284,334.0236,-2.081046129,-0.68360757, 0.01156562,-0.51291553,-0.35541164, 0.42704240, 1.10428769,-2.31989440,-0.34781513, 0.0258562771, 0.04760731,-0.09711028, 1.07552496, 0.23553876
2006,thick-billed murre,Coats,thick-billed murre_Coats,Arctic,Hudson Complex,0.9200000,0,28,-1.559783,3.735371,0.9268764,3.490228,239.3222,329.1887, 1.489919565, 0.43361834, 1.54208054,-0.36266038,-0.46206698, 1.31754653, 0.47539872, 1.27654306, 0.84959480, 0.8197061718, 0.27729650, 1.36862308, 0.33067875, 0.20145056
2007,thick-billed murre,Coats,thick-billed murre_Coats,Arctic,Hudson Complex,0.8484848,0,28,-1.586860,2.916385,0.7559048,3.514633,241.3198,329.4630, 0.845335285,-0.45847075, 0.21750115,-0.31848049,-0.45601612, 0.24840261, 0.53632736, 0.66696888, 0.02553765,-0.3315909293, 0.37950747,-0.01760288, 0.27444949, 0.25727405
2008,thick-billed murre,Coats,thick-billed murre_Coats,Arctic,Hudson Complex,0.8461538,0,28,-1.580200,2.981344,0.6793897,3.464224,240.1177,354.8837, 0.824325368,-0.23903504, 0.32256341,-0.34506689, 0.10475087,-0.23007302, 0.41047832, 0.69050738, 0.30085324,-0.8777186772, 0.38954916, 0.02894781, 0.03024189, 0.84501913
2009,thick-billed murre,Coats,thick-billed murre_Coats,Arctic,Hudson Complex,0.7600000,0,28,-1.569936,2.383298,0.6871120,3.334386,241.6845,335.2148, 0.047798804, 0.09911260,-0.64468212,-0.31041440,-0.32913519,-0.18178295, 0.08633523,-0.03193243, 0.68272868,-0.8825796742, 0.43942677,-0.99367428,-0.41346040, 0.41531664
2010,thick-billed murre,Coats,thick-billed murre_Coats,Arctic,Hudson Complex,0.8928571,0,28,-1.527479,3.903941,0.9397919,3.251873,269.8188,360.4615, 1.245274079, 1.49790653, 1.81471616, 0.31182373, 0.22779303, 1.39831156,-0.11966134, 1.22916792, 2.11309834, 0.6588648155, 1.05548704, 1.41348245,-0.74021684, 0.95363390
2011,thick-billed murre,Coats,thick-billed murre_Coats,Arctic,Hudson Complex,0.5600000,0,28,-1.579636,3.569442,1.0199548,3.306244,259.4010,346.5839,-1.754852147,-0.22045152, 1.27371723, 0.08141551,-0.07833801, 1.89959808, 0.01607615,-1.69779489, 0.41416395, 1.1360023852, 0.79749798, 0.82337697,-0.72643986, 0.60609737
2013,thick-billed murre,Coats,thick-billed murre_Coats,Arctic,Hudson Complex,0.8000000,0,28,-1.603853,2.907158,0.7574169,3.486968,227.9120,312.0997, 0.408328994,-1.01830013, 0.20257899,-0.61501647,-0.83904136, 0.25785810, 0.46725923, 0.54808798,-0.37641307,-0.5153855018, 0.05208219,-0.29373282,-0.39841794,-0.21880599
2016,thick-billed murre,Coats,thick-billed murre_Coats,Arctic,Hudson Complex,0.6600000,0,28,-1.609237,3.049924,0.7384833,3.541386,220.9563,319.3045,-0.853526671,-1.19569148, 0.43348031,-0.76885335,-0.68010787, 0.13945980, 0.60311600,-0.62152762,-0.55868491,-0.6289306477,-0.17214149,-0.10566803,-0.38692299,-0.14686704
2017,thick-billed murre,Coats,thick-billed murre_Coats,Arctic,Hudson Complex,0.7200000,0,28,-1.592836,3.859160,0.8291626,3.447538,217.3346,316.8602,-0.312731386,-0.65533084, 1.74229039,-0.84895213,-0.73402723, 0.70650848, 0.36882183, 0.02104606,-0.03535682,-0.0425277585,-0.34403005, 1.16344051,-0.74677964,-0.31057547
