year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,thick-billed murre,St. George,thick-billed murre_St. George,Arctic,Eastern Bering Sea,0.6827309,0,40,2.4680669, 8.683920, 9.552710,5.289674, 95.76838,144.4813, 1.24344603, 0.4824272,-0.2238448, 0.93560671,-0.05068970,-0.02799297, 0.51250279, 0.6085061, 0.004461635, 0.21698856, 0.02809817,-0.027518619, 0.97021463,-0.09758228
1994,thick-billed murre,St. George,thick-billed murre_St. George,Arctic,Eastern Bering Sea,0.5358650,0,40,1.5898702, 7.969362, 8.140654,5.146619,102.83049,154.1298, 0.32094641,-0.5613145,-0.9665685, 2.19319920, 1.33467194,-0.89411324, 0.26507169,-0.2538500,-0.851629941,-0.65479852, 1.43462389,-0.712745563, 0.58252995, 1.37017039
1995,thick-billed murre,St. George,thick-billed murre_St. George,Arctic,Eastern Bering Sea,0.5245283,0,40,1.6626042, 8.743361, 7.420101,4.133314, 97.89165,150.8315, 0.24973807,-0.4748697,-0.1620601, 1.31371038, 0.86109585,-1.33608283,-1.48755372,-0.2648601,-0.595641104,-1.10401627, 0.69457331, 0.140547736,-1.29774365, 0.96953126
1996,thick-billed murre,St. George,thick-billed murre_St. George,Arctic,Eastern Bering Sea,0.5043860,0,40,2.3884148, 8.533341, 9.488168,4.581799, 89.35049,140.6831, 0.12321930, 0.3877603,-0.3803588,-0.20726465,-0.59604045,-0.06758168,-0.71184829,-0.3311259, 0.418426988, 0.15565537,-0.69645846,-0.037677846,-0.63708101,-0.42412215
1997,thick-billed murre,St. George,thick-billed murre_St. George,Arctic,Eastern Bering Sea,0.4791667,0,40,2.3557924, 9.203365, 7.360556,4.517850, 93.75854,139.5930,-0.03518905, 0.3489884, 0.3160758, 0.57770334,-0.75256396,-1.37260622,-0.82245575,-0.4292265, 0.512987084,-1.15978004, 0.20895779, 0.690117914,-0.85012586,-0.52661684
1998,thick-billed murre,St. George,thick-billed murre_St. George,Arctic,Eastern Bering Sea,0.4491979,0,40,1.5898185, 8.074747,10.134385,5.483176, 93.05333,139.3420,-0.22343019,-0.5613759,-0.8570293, 0.45212256,-0.78859723, 0.32879230, 0.84718605,-0.5571052,-0.282151206, 0.52962628, 0.19433030,-0.460337779, 0.72968395,-0.51807536
1999,thick-billed murre,St. George,thick-billed murre_St. George,Arctic,Eastern Bering Sea,0.6324786,0,40,0.8595611, 7.434539, 8.613336,5.348089, 91.65019,133.9002, 0.92779954,-1.4292911,-1.5224728, 0.20225740,-1.56994616,-0.60418191, 0.61353719, 0.6545418,-1.052946354,-0.41692150, 0.04592344,-1.111843771, 0.41880849,-1.26430360
2000,thick-billed murre,St. George,thick-billed murre_St. George,Arctic,Eastern Bering Sea,0.6243094,0,40,1.7030328, 8.330327, 9.749620,5.389856, 89.19492,141.9566, 0.87648662,-0.4268201,-0.5913750,-0.23496729,-0.41319131, 0.09278661, 0.68577825, 0.6637009, 0.028538582, 0.26489211,-0.29933794,-0.175520323, 0.42642836,-0.08188214
2001,thick-billed murre,St. George,thick-billed murre_St. George,Arctic,Eastern Bering Sea,0.5552486,0,40,2.1960577, 8.278387,13.187927,5.904661, 80.96599,135.4938, 0.44269962, 0.1591428,-0.6453626,-1.70034054,-1.34113132, 2.20175971, 1.57619231, 0.2904408, 0.675409374, 2.35712894,-1.68224286,-0.232994176, 1.26482661,-0.99360960
2002,thick-billed murre,St. George,thick-billed murre_St. George,Arctic,Eastern Bering Sea,0.5539773,0,40,2.3235277, 9.258852,11.392094,5.048096, 81.63704,136.4093, 0.43471400, 0.3106415, 0.3737498,-1.58084379,-1.20969086, 1.10023990, 0.09466531, 0.3430367, 0.869710079, 1.23729152,-1.48977276, 0.773920204,-0.25611079,-0.85541066
