year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
2005,tufted puffin,Chowiet,tufted puffin_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.63,0,15,5.786934,12.324531, 7.738764,2.992001,360.5263,501.2810, 0.68142023, 0.792757263, 1.2321625, 0.71277735, 0.43656666,-1.16107807,-0.93279467, 0.6568285, 1.023976158,-1.43617123, 0.761816327, 1.13705923,-1.26002579, 0.728817119
2006,tufted puffin,Chowiet,tufted puffin_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.36,0,15,4.880208,10.730562, 9.616205,3.662004,339.5164,476.8618,-0.28352800,-0.360945224,-0.4450400,-0.03413674,-0.22481592, 1.03297767, 0.97036363,-0.1142268, 0.002750124, 0.73279786, 0.222259834,-0.29984666, 0.57772416, 0.181454084
2007,tufted puffin,Chowiet,tufted puffin_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.13,0,15,4.081790,10.430664, 9.763151,3.717370,295.1128,440.8182,-1.10552094,-1.376836830,-0.7605983,-1.61271093,-1.20103794, 1.20470480, 1.12763357,-0.7862148,-0.922677176, 0.89629050,-1.202682277,-0.43152467, 0.69852364,-0.720493687
2009,tufted puffin,Chowiet,tufted puffin_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.40,0,15,4.305578,10.412084, 8.598579,3.301708,332.6961,458.2270,-0.14057271,-1.092093147,-0.7801490,-0.27660223,-0.72952991,-0.15626217,-0.05306302, 0.2848502,-0.589481336,-0.45605879, 0.233332997,-0.32361149,-0.48970550,-0.214456692
2010,tufted puffin,Chowiet,tufted puffin_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.26,0,15,4.915583, 9.947363,10.018434,4.006660,311.9436,446.2374,-0.64091623,-0.315934308,-1.2691359,-1.01436721,-1.05426142, 1.50303867, 1.94936840,-0.1532646, 0.193117513, 1.22871190,-0.458250924,-0.74155081, 1.53413127,-0.544404526
2011,tufted puffin,Chowiet,tufted puffin_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.00,1,15,4.772449,10.440091, 8.962531,3.441946,322.0198,468.1690,-1.57012564,-0.498055480,-0.7506797,-0.65615258,-0.46025553, 0.26906714, 0.34528495,-1.0641333,-0.024575796, 0.03706240,-0.107580758,-0.20846328,-0.01960893, 0.004639756
2012,tufted puffin,Chowiet,tufted puffin_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.43,0,15,4.051620, 9.702118, 9.478703,3.724521,307.4382,435.2657,-0.03335624,-1.415225175,-1.5271872,-1.17453780,-1.35142602, 0.87228636, 1.14794521, 0.4470888,-1.019329777, 0.69945582,-0.687235943,-1.02675589, 0.86233248,-0.971237631
2013,tufted puffin,Chowiet,tufted puffin_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.29,0,15,4.638640,11.018025, 8.709033,3.072535,330.1655,483.7711,-0.53369976,-0.668312141,-0.1425670,-0.36656653,-0.03768024,-0.02718115,-0.70403558,-0.1226902,-0.392013176,-0.12398533, 0.005739842, 0.25966291,-0.88142926, 0.218055963
2014,tufted puffin,Chowiet,tufted puffin_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.76,0,15,5.687111,11.988663, 7.088130,2.940782,347.4707,506.0276, 1.14602493, 0.665743227, 0.8787556, 0.24864274, 0.56512548,-1.92143542,-1.07828296, 1.4437110, 0.780433612,-1.92536106, 0.452228108, 1.12636781,-1.11851969, 0.656664213
2015,tufted puffin,Chowiet,tufted puffin_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.31,0,15,6.124220,11.892541, 8.007260,3.020326,387.0186,543.1708,-0.46222212, 1.221912886, 0.7776142, 1.65459379, 1.57113040,-0.84730231,-0.85233661,-0.3217476, 1.132982542,-0.74149725, 1.635732648, 0.81419242,-0.72647849, 1.458726382
2016,tufted puffin,Chowiet,tufted puffin_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.81,0,15,6.543307,12.588146, 8.684368,3.196171,368.4582,535.3109, 1.32471905, 1.755152562, 1.5095424, 0.99475927, 1.35824886,-0.05600624,-0.35284530, 1.2640940, 1.420589341, 0.17638169, 0.699726102, 1.27867023,-0.03195443, 1.002156793
2017,tufted puffin,Chowiet,tufted puffin_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.02,1,15,5.165834,11.310576, 8.373605,3.073257,329.2517,461.6010,-1.49864799, 0.002479879, 0.1652604,-0.39905510,-0.63814572,-0.41917670,-0.70198544,-1.8042608,-0.619728366,-0.04335371,-1.023985816,-0.38947848,-0.15712391,-1.277671125
2018,tufted puffin,Chowiet,tufted puffin_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.61,0,15,5.274671,10.925059, 9.318533,3.451961,347.2230,491.2221, 0.60994258, 0.140962891,-0.2403869, 0.23983771, 0.16412555, 0.68510543, 0.37373189, 0.0154541,-0.810902526, 1.22121563,-0.768716063,-1.17540890, 1.17150197,-0.798578476
2019,tufted puffin,Chowiet,tufted puffin_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.77,0,15,6.066439,12.438810, 7.894791,2.884207,387.8322,544.3090, 1.18176376, 1.148393599, 1.3524089, 1.68351826, 1.60195576,-0.97873803,-1.23898406, 0.2545115,-0.175141137,-0.26548844, 0.237615923,-0.01931241,-0.15936752, 0.276327827
