year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1995,wedge-tailed shearwater,Kaena,wedge-tailed shearwater_Kaena,Hawaii,Hawaii,0.390625000,0,26,23.39388,26.44863,0.8733149,0.8799487,525.0276,737.3341, 0.06624136,-1.31843886,-0.06340849, 0.62774643, 0.8529714,-0.386602756,-1.15848736, 1.06853981,-0.51503838, 0.78287376,-0.343248939, 0.09282441, 0.16827006,-0.03773340
1996,wedge-tailed shearwater,Kaena,wedge-tailed shearwater_Kaena,Hawaii,Hawaii,0.197044335,0,26,23.76347,26.65837,0.8058271,0.8958395,551.4701,758.1435,-0.98352937, 0.06207917, 0.54074620, 1.32755726, 1.2751115,-1.146083965,-0.81501059,-0.07369196, 0.75985765,-0.22021213, 0.623996870, 0.81605502, 0.16394901, 0.70401239
1997,wedge-tailed shearwater,Kaena,wedge-tailed shearwater_Kaena,Hawaii,Hawaii,0.041044776,0,26,23.35737,26.51339,0.8270542,0.8820400,530.3851,742.4889,-1.82950111,-1.45479532, 0.12313648, 0.76953315, 0.9575417,-0.907202688,-1.11328420,-1.01133631,-0.85798376,-0.20532287, 0.307813071, 0.49848138,-0.44966763, 0.67195790
1998,wedge-tailed shearwater,Kaena,wedge-tailed shearwater_Kaena,Hawaii,Hawaii,0.008163265,1,26,23.34268,25.81322,0.9019267,0.9138977,466.9602,644.3989,-2.00781462,-1.50966741,-1.89371173,-0.90903433,-1.0323166,-0.064616425,-0.42468555,-1.28053398,-1.00916769, 0.43288403,-1.154508762,-1.43737060,-0.04395722,-1.06647541
1999,wedge-tailed shearwater,Kaena,wedge-tailed shearwater_Kaena,Hawaii,Hawaii,0.222383721,0,26,23.77653,25.90773,0.8282875,0.9483244,499.0601,626.5296,-0.84611613, 0.11086768,-1.62148173,-0.05949630,-1.3948151,-0.893323267, 0.31944179,-0.20893123, 0.51971066,-0.58058951,-0.114319757,-1.10318421, 0.44973665,-1.21163937
2000,wedge-tailed shearwater,Kaena,wedge-tailed shearwater_Kaena,Hawaii,Hawaii,0.338235294,0,26,23.93026,26.25822,0.8635750,0.9267901,495.9748,663.8284,-0.21786335, 0.68509359,-0.61189987,-0.14114912,-0.6381685,-0.496211122,-0.14601923, 0.33001425, 1.00693490,-0.34863140,-0.030916260,-0.05068581,-0.23370303,-0.27174853
2001,wedge-tailed shearwater,Kaena,wedge-tailed shearwater_Kaena,Hawaii,Hawaii,0.516666667,0,26,23.92468,26.27927,0.9070697,0.9772490,503.4088,664.1884, 0.74975412, 0.66424250,-0.55125928, 0.05559552,-0.6308665,-0.006738914, 0.94464075, 1.20911286, 0.90373724,-0.00470056, 0.305290015, 0.03383148, 0.67143306,-0.11529260
2002,wedge-tailed shearwater,Kaena,wedge-tailed shearwater_Kaena,Hawaii,Hawaii,0.555703803,0,26,23.52482,26.43507,1.0390262,0.9522978,456.4641,666.3153, 0.96144903,-0.82935248,-0.10246093,-1.18681648,-0.5877207, 1.478248521, 0.40532550, 1.33307735,-0.66754923, 1.35435817,-0.823255007, 0.48746669,-0.02095128, 0.04291669
2003,wedge-tailed shearwater,Kaena,wedge-tailed shearwater_Kaena,Hawaii,Hawaii,0.233811555,0,26,23.70657,26.42291,0.8335632,0.9017979,505.8329,701.4578,-0.78414401,-0.15045243,-0.13748598, 0.11974882, 0.1251816,-0.833952507,-0.68622088,-0.49945768,-0.06168560,-1.06415891, 0.571582603, 0.43823865,-1.23311198, 0.83679217
2006,wedge-tailed shearwater,Kaena,wedge-tailed shearwater_Kaena,Hawaii,Hawaii,0.225225225,0,26,23.91040,26.39436,0.8237808,0.9367132,527.2274,703.1179,-0.83070691, 0.61090973,-0.21972499, 0.68596477, 0.1588600,-0.944040078, 0.06846854,-0.63217413, 0.63129524,-1.26094987, 1.200476185, 0.32275680,-0.56658208, 0.91735330
