year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,western gull,SE Farallon,western gull_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.690,0,50,13.18141,15.07384,3.430201, 4.139821,529.6692,602.6715,-0.6856817, 0.25128782, 0.88119415,-0.36695519, 0.46533317,-1.0520927,-2.73575022,-0.09557419,-0.65067064,-0.01820092,-0.7643674, 0.002933136,-1.32360527,-0.19129879
1994,western gull,SE Farallon,western gull_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.860,0,50,13.39882,14.49998,2.669073, 6.630283,562.7065,567.2212,-0.3073439, 0.53127941,-0.01830242, 0.49259613,-0.35646103,-1.4651153,-1.33525160, 0.30971048,-0.14353276,-0.62417903, 0.1331694,-0.683058207,-0.17682605,-0.93809865
1995,western gull,SE Farallon,western gull_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.910,0,50,13.33780,14.82821,2.559918, 6.535106,547.5888,616.7425,-0.1960680, 0.45269173, 0.49618071, 0.09927023, 0.79152302,-1.5243481,-1.38877352, 0.44458883,-0.01390592,-0.86275638,-0.2230609, 0.027416547,-0.46665623, 0.28194163
1996,western gull,SE Farallon,western gull_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.550,0,50,13.84416,14.62410,4.580084, 9.903074,595.5092,616.7879,-0.9972540, 1.10481236, 0.17625264, 1.34604563, 0.79257547,-0.4281139, 0.50518642,-0.33633901, 0.82749743, 0.06774440, 1.0599203,-0.114033495, 1.20840659, 0.35211222
1997,western gull,SE Farallon,western gull_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.600,0,50,13.13908,15.31799,7.424938, 9.492478,610.3900,656.0574,-0.8859782, 0.19677011, 1.26389349, 1.73320811, 1.70290498, 1.1156338, 0.27428988,-0.20814930, 0.08980613, 1.45936966, 1.4823988, 1.134571779, 0.77602407, 1.32862177
1998,western gull,SE Farallon,western gull_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.520,0,50,14.09862,15.04478,3.901271, 5.815439,575.3162,637.6664,-1.0640195, 1.43251380, 0.83564550, 0.82066993, 1.27657188,-0.7964684,-1.79347468,-0.37262108, 1.47696898,-0.59124387, 0.6042867, 0.849774598,-1.47581531, 0.96553060
1999,western gull,SE Farallon,western gull_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.310,0,50,12.01737,13.42227,9.029808,12.644592,501.1421,510.8892,-1.5313781,-1.24782739,-1.70756463,-1.10916526,-1.66232610, 1.9865097, 2.04686559,-0.82975436,-1.07088484, 2.06683397,-1.2920122,-1.567498318, 2.19786127,-1.91306355
2000,western gull,SE Farallon,western gull_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.620,0,50,12.55432,14.47519,5.001560, 9.404942,505.0817,594.8709,-0.8414679,-0.55631469,-0.05716415,-1.00666631, 0.28450399,-0.1994015, 0.22506422,-0.13296326,-0.26581656,-0.23036652,-1.1568668, 0.191325779, 0.22680736, 0.09113226
2001,western gull,SE Farallon,western gull_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.320,0,50,12.19879,13.99968,4.926167, 9.829920,501.2683,535.5487,-1.5091229,-1.01418578,-0.80250804,-1.10588150,-1.09067878,-0.2403134, 0.46404851,-0.79708169,-0.62906384,-0.36895664,-1.2243253,-0.463108102, 0.33395026,-1.22962288
2002,western gull,SE Farallon,western gull_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.940,0,50,11.99865,13.76790,7.144416, 9.891079,523.3120,563.8163,-0.1293025,-1.27193896,-1.16581253,-0.53235498,-0.43539063, 0.9634095, 0.49844073, 0.58293096,-0.81112501, 0.75069919,-0.6199320,-0.753016189, 0.25391223,-0.52284521
2003,western gull,SE Farallon,western gull_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.810,0,50,13.53734,14.71854,4.185420, 9.157798,586.4073,617.7388,-0.4186197, 0.70966548, 0.32428009, 1.10923408, 0.81461867,-0.6422766, 0.08608389, 0.29046175, 1.22723966,-0.92544303, 1.0516340, 0.792959234,-0.25546371, 0.77571550
2004,western gull,SE Farallon,western gull_SE Farallon,Cold Temperate Northeast Pacific,Northern California,1.340,0,50,12.77656,14.92307,5.079459, 9.857680,588.5322,658.1943, 0.7609042,-0.27010597, 0.64486561, 1.16451944, 1.75244138,-0.1571303, 0.47965903, 1.46348925, 0.28529665,-0.49714183, 1.1360064, 1.151913958, 0.05850347, 1.75915152
2005,western gull,SE Farallon,western gull_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.820,0,50,13.16322,14.96060,3.207038, 8.840832,557.4191,634.9020,-0.3963645, 0.22786461, 0.70370289, 0.35503097, 1.21248817,-1.1731910,-0.09216027, 0.29637987, 0.80216389,-1.55643650, 0.3547152, 1.231606840,-0.57551265, 1.26187352
2006,western gull,SE Farallon,western gull_SE Farallon,Cold Temperate Northeast Pacific,Northern California,1.070,0,50,13.11784,14.57780,6.335915, 8.894742,592.2518,610.1509, 0.1600147, 0.16941269, 0.10367396, 1.26129572, 0.63871826, 0.5246804,-0.06184437, 0.83957406, 0.74367685, 0.11181195, 1.2882874, 0.634919901,-0.58998242, 0.72784072
2007,western gull,SE Farallon,western gull_SE Farallon,Cold Temperate Northeast Pacific,Northern California,1.200,0,50,12.25172,14.13715,8.497148,10.965475,491.3134,545.2072, 0.4493318,-0.94602294,-0.58702327,-1.36488270,-0.86678134, 1.6974638, 1.10262221, 1.11236191,-0.39072569, 1.26858343,-1.3114734,-0.069948932, 0.54710963,-0.74085988
2008,western gull,SE Farallon,western gull_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.860,0,50,11.60402,13.37128,8.469028,10.721731,527.4257,526.9329,-0.3073439,-1.78016429,-1.78748315,-0.42532681,-1.29040804, 1.6822046, 0.96555377, 0.33581259,-1.26276574, 1.25092340,-0.3463897,-1.302094020, 0.40007782,-1.13062568
2009,western gull,SE Farallon,western gull_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.340,0,50,12.11525,14.03659,5.596939, 9.201017,524.3628,531.2039,-1.4646126,-1.12177130,-0.74464445,-0.50501579,-1.19139910, 0.1236780, 0.11038791,-0.84467407,-0.66120323,-0.29639306,-0.4014408,-0.308454129,-0.44764029,-1.00069394
2010,western gull,SE Farallon,western gull_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.300,0,50,13.04155,13.64440,3.442611,10.101395,555.4490,566.7055,-1.5536332, 0.07116699,-1.35939342, 0.30377210,-0.36841425,-1.0453586, 0.61671130,-0.96025701, 0.45597279,-1.44060845, 0.4310952,-0.989915518, 0.08354201,-0.14972439
2011,western gull,SE Farallon,western gull_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.095,1,50,12.35746,13.80636,6.503101,10.030270,531.6194,581.2381,-2.0098642,-0.80984035,-1.10552846,-0.31621629,-0.03152576, 0.6154033, 0.57671456,-1.44639454,-0.51972860, 0.25858574,-0.1660350,-0.820276574, 0.08581532, 0.21221069
2012,western gull,SE Farallon,western gull_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.340,0,50,12.41329,13.84164,6.933430, 9.838004,501.5810,531.1377,-1.4646126,-0.73794394,-1.05021408,-1.09774420,-1.19293401, 0.8489191, 0.46859426,-0.93439385,-0.56145803, 0.54414490,-0.9255944,-0.866701807, 0.03737622,-0.92708907
2013,western gull,SE Farallon,western gull_SE Farallon,Cold Temperate Northeast Pacific,Northern California,1.080,0,50,12.11918,14.02855,6.795106, 8.819140,503.2481,527.6773, 0.1822698,-1.11670373,-0.75724034,-1.05437092,-1.27315143, 0.7738584,-0.10435833, 0.67589330,-1.07277544, 0.53473862,-0.8611426,-0.692981294,-0.45848404,-0.98813611
2014,western gull,SE Farallon,western gull_SE Farallon,Cold Temperate Northeast Pacific,Northern California,0.760,0,50,13.11275,15.13538,3.750752, 7.141180,525.4554,584.8800,-0.5298955, 0.16286432, 0.97765669,-0.47658883, 0.05289848,-0.8781473,-1.04795115,-0.07621160, 0.05530320,-1.03800174,-0.2631718, 0.905148910,-1.30757337, 0.35414609
