year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,whiskered auklet,Buldir,whiskered auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.5909091,0,33,3.235652,6.354105, 9.549704,4.486852,490.1095,557.1741,-0.5775342,-0.31897872, 0.05066150, 1.18103927, 1.09732434,-1.854673058,-1.329986823,-0.53046345,-0.77870903,-0.50432238,-0.70325679,-0.04699097,-1.30769342,-0.431791849
1994,whiskered auklet,Buldir,whiskered auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.7843137,0,33,3.436276,5.938424, 9.875392,5.674739,489.4666,559.5499, 0.6379267, 0.22347516,-0.93091676, 1.15747179, 1.18052039,-1.581190534, 0.453490755, 0.70927543,-0.05808877,-0.49924219,-0.34157961,-0.92054908, 0.44653787,-0.003692812
1995,whiskered auklet,Buldir,whiskered auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.7213115,0,33,3.156012,6.005566,11.077390,5.196731,492.9155,529.6678, 0.2419859,-0.53431235,-0.77236890, 1.28390701, 0.13407655,-0.571864427,-0.264184214, 0.33339631,-0.65538338, 0.26172838, 0.14078766,-0.66650705,-0.29695054,-0.733055373
1996,whiskered auklet,Buldir,whiskered auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.7272727,0,33,3.833493,6.751292,10.316544,4.983518,501.0959,576.2343, 0.2794497, 1.29748696, 0.98856785, 1.58379683, 1.76479428,-1.210752240,-0.584299867, 0.38670535, 1.31923532,-0.60546820, 0.76729690, 1.17739786,-0.63944679, 1.186921915
1997,whiskered auklet,Buldir,whiskered auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.8000000,0,33,3.868299,6.711209,10.508163,5.569346,503.9639,552.7672, 0.7365078, 1.39159806, 0.89391683, 1.68893415, 0.94299834,-1.049848902, 0.295255181, 0.85539236, 1.53849232,-0.65282684, 1.16974103, 1.15318901, 0.22116053, 0.626563830
1998,whiskered auklet,Buldir,whiskered auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.6363636,0,33,3.386924,6.041458,12.788437,7.647894,468.0244,519.9779,-0.2918729, 0.09003608,-0.68761549, 0.37141304,-0.20525574, 0.864913206, 3.415958520,-0.16557585, 0.34440274, 1.07372008, 0.12021409,-0.37042714, 3.32634898,-0.288074108
2000,whiskered auklet,Buldir,whiskered auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.4915254,0,33,2.600265,5.806726,13.581601,5.478861,466.1741,528.0053,-1.2021158,-2.03696421,-1.24190584, 0.30358265, 0.07585697, 1.530938331, 0.159401694,-1.07262252,-1.69279864, 1.57157680, 0.29106525,-0.87932730, 0.05771012, 0.198833028
2001,whiskered auklet,Buldir,whiskered auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.3809524,0,33,2.898437,6.006509,13.171943,5.484037,429.2146,516.1698,-1.8970175,-1.23075529,-0.77014388,-1.05133456,-0.33861197, 1.186945900, 0.167172960,-1.76854440,-0.81446431, 1.07946274,-0.85448302,-0.37470115, 0.05683221,-0.037663195
2002,whiskered auklet,Buldir,whiskered auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.5802469,0,33,2.913617,6.252678,12.315580,4.999067,444.1528,500.0347,-0.6445412,-1.18971079,-0.18884681,-0.50370813,-0.90364783, 0.467851969,-0.560954278,-0.52130468,-0.71896789, 0.23229397,-0.12680029, 0.22693411,-0.67651135,-0.452548044
2003,whiskered auklet,Buldir,whiskered auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.6315789,0,33,3.528867,6.408699,10.298132,5.606863,434.3636,508.8152,-0.3219425, 0.47382686, 0.17957778,-0.86257398,-0.59616481,-1.226213055, 0.351581732,-0.20815890, 0.98134818,-1.56979910,-0.33492245, 0.60317089, 0.23424119,-0.022735734
